ax,ay,az,gx,gy,gz
-0.2894,0.1046,-9.7751,0.0019,-0.0162,-0.4260
-0.2948,0.1245,-9.7790,-0.0030,-0.0658,-0.4153
-0.2998,0.1152,-9.7749,-0.0049,-0.1277,-0.4532
-0.2932,0.1518,-9.7790,-0.0057,-0.1102,-0.4261
-0.2963,0.1203,-9.7892,-0.0060,-0.0611,-0.3732
-0.2918,0.0962,-9.7904,-0.0061,0.0006,-0.4364
-0.2957,0.1183,-9.7708,0.0360,0.0252,-0.4616
-0.2887,0.1156,-9.8061,0.0106,-0.0072,-0.5137
-0.2830,0.1203,-9.7914,0.0005,-0.0201,-0.4080
-0.2951,0.1048,-9.7884,0.1229,-0.1095,-0.4503
-0.2798,0.0987,-9.8016,0.0452,-0.0608,-0.4249
-0.2852,0.1164,-9.7781,0.0564,0.0007,-0.4570
-0.2816,0.0889,-9.7745,0.0187,-0.0169,-0.4276
-0.3032,0.1039,-9.7932,0.0037,-0.0240,-0.4581
-0.2945,0.1185,-9.7690,0.0399,-0.0268,-0.4280
-0.3055,0.1301,-9.7737,0.0964,-0.0700,-0.3739
-0.2839,0.1174,-9.7756,0.0346,-0.0872,-0.3524
-0.2811,0.1296,-9.7822,0.0100,-0.0519,-0.3860
-0.2944,0.0999,-9.7819,0.0424,-0.0379,-0.4415
-0.2795,0.1140,-9.7702,0.0553,-0.0744,-0.4215
-0.2851,0.1196,-9.7685,0.0604,-0.0890,-0.4135
-0.2758,0.1075,-9.7851,0.0625,-0.0526,-0.3682
-0.2807,0.1170,-9.7859,0.0211,-0.0382,-0.4344
-0.2856,0.1035,-9.7920,0.0047,-0.0324,-0.4608
-0.2789,0.1039,-9.7858,0.0403,0.0120,-0.5134
-0.2820,0.0782,-9.7948,0.0544,-0.0124,-0.4079
-0.2832,0.0967,-9.8013,0.0179,-0.0643,-0.4502
-0.2866,0.0839,-9.8010,0.0877,-0.0428,-0.3828
-0.2821,0.1048,-9.7951,0.0312,-0.0343,-0.4402
-0.3121,0.1390,-9.7553,0.0930,0.0113,-0.4631
-0.3009,0.1238,-9.8202,-0.0089,0.0294,-0.4300
-0.2763,0.1178,-9.8633,-0.0073,0.0366,-0.4590
-0.3069,0.0894,-9.7853,0.0355,-0.0869,-0.4706
-0.2989,0.1243,-9.7745,0.0525,-0.0940,-0.4752
-0.2957,0.1237,-9.7529,0.0593,-0.0546,-0.3927
-0.3030,0.1293,-9.7846,0.1042,0.0032,-0.4442
-0.3060,0.0998,-9.7886,0.0799,-0.0159,-0.4647
-0.2755,0.0996,-9.7729,0.0280,-0.0236,-0.4728
-0.2835,0.0995,-9.7753,0.0496,-0.0266,-0.4339
-0.2867,0.0937,-9.7820,0.0160,-0.0278,-0.4184
-0.2764,0.1173,-9.7818,0.0448,-0.0283,-0.4544
-0.2867,0.1094,-9.7933,0.0141,-0.0706,-0.4266
-0.2880,0.1236,-9.7949,0.1283,-0.0032,-0.4577
-0.2885,0.0975,-9.7898,0.0473,-0.0185,-0.4279
-0.2973,0.1044,-9.7849,0.0151,-0.0667,-0.5003
-0.2806,0.0928,-9.7945,0.0444,-0.0438,-0.4870
-0.2683,0.1054,-9.7954,0.0982,-0.0346,-0.3974
-0.2777,0.0816,-9.7987,0.0354,-0.0310,-0.4039
-0.3017,0.1096,-9.7884,0.0525,0.0126,-0.4065
-0.2853,0.1179,-9.7872,0.0171,-0.0122,-0.4075
-0.2643,0.0952,-9.7839,0.0031,-0.0221,-0.4079
-0.2733,0.0949,-9.7854,0.0396,-0.0260,-0.4502
-0.2596,0.0890,-9.7832,0.0120,0.0146,-0.4249
-0.2829,0.1183,-9.7823,0.1275,-0.0114,-0.4149
