ax,ay,az,gx,gy,gz
29,-1.4545,-8.1935,24.2956,-20.9573,27.8356
4.8476,-1.5620,-9.0259,17.0391,-57.9639,33.5473
4.2878,-1.6883,-9.0055,14.8683,-66.9984,35.3985
3.9123,-1.8596,-10.0117,11.3914,-75.0608,34.7020
3.4430,-2.3888,-10.7895,6.5519,-68.1111,31.9382
4.4896,-2.7895,-11.1941,-1.4430,-27.5814,20.4280
4.3153,-2.4245,-11.7008,-9.7240,8.3965,3.1195
4.5428,-2.1554,-11.0755,-8.6355,28.0645,-13.0398
4.4431,-2.0743,-11.9476,-13.6816,15.0269,-21.5768
4.0663,-2.1543,-12.0295,-18.8927,7.4791,-9.1260
4.9018,-2.0594,-13.4279,-34.3691,-5.2602,-8.6817
4.2315,-1.8776,-15.4221,-64.0033,-34.0583,-16.9346
3.9389,-2.3931,-16.2012,-99.9030,-43.5779,-9.5127
4.2835,-2.6039,-17.0990,-151.1929,0.8516,-10.8587
3.6887,-1.4200,-16.3152,-201.3990,-14.1773,-20.2875
3.4751,-0.3985,-12.9576,-246.2005,-48.1011,-18.1384
3.4823,0.6101,-10.0627,-262.5513,-62.2312,-18.4213
3.6264,0.6974,-6.9140,-251.8607,-141.2750,-34.4657
3.6808,0.9742,-5.7361,-233.9933,-159.4489,-20.6186
1.9995,1.6836,-5.1954,-214.0290,-153.2349,-5.2464
0.8897,2.1676,-3.7182,-193.1882,-213.4785,22.7026
1.3673,1.5793,-2.6434,-150.3346,-293.5896,61.6829
1.4651,1.0427,-3.1350,-114.9073,-264.1397,73.9051
1.9824,0.5929,-4.6993,-76.1125,-239.2718,36.0724
0.5515,-0.1048,-4.3161,-38.2539,-121.1414,26.2456
-0.2340,0.2372,-2.4088,-0.4727,10.4942,41.9343
-1.0450,1.8168,-0.7710,58.6045,42.8500,63.7293
-1.8950,2.1630,-0.0848,115.7867,61.4561,83.4861
-0.8501,1.8685,-0.9730,170.5290,72.6947,76.8904
-0.7542,0.4431,-2.5568,215.3231,49.3910,75.9519
-1.7591,0.0201,-4.6191,244.1888,42.3104,89.9931
-2.8159,-0.0301,-5.7163,248.7197,70.9354,124.2405
-2.1674,-0.2633,-6.5332,246.6449,158.9077,193.1651
0.5860,-1.5923,-6.4692,253.0688,178.3160,240.3988
4.6409,-3.4465,-7.2448,278.8482,109.3713,244.6094
7.7209,-7.2445,-9.9912,300.1062,123.1598,223.6513
10.1221,-8.3580,-12.7580,281.3369,222.7622,188.2112
12.5528,-7.3776,-13.3403,223.6707,258.4309,129.9813
14.5804,-7.0019,-9.5292,163.6781,334.4961,74.4849
17.3177,-7.4719,-9.1770,112.9596,213.8720,1.7839
18.9399,-7.7540,-8.8293,47.1331,145.5620,-90.5754
18.2167,-7.7136,-8.3913,-4.9793,134.9885,-168.7132
15.8052,-6.2077,-6.1683,-32.2050,48.1716,-196.1364
14.4078,-4.5453,-5.2925,-43.1642,-56.6744,-182.5177
14.0390,-3.5352,-6.4913,-64.2574,-228.7968,-176.5511
12.9040,-3.5886,-6.9828,-137.7686,-366.1097,-194.0287
11.3343,-3.7020,-6.8152,-199.2609,-411.2193,-210.9297
9.9404,-3.6002,-5.7141,-231.0617,-421.8341,-239.1920
8.2447,-3.1908,-5.4719,-236.1703,-452.3158,-265.5261
1.4353,-2.7859,-3.9175,-240.2682,-443.7072,-248.3973
-0.5738,-1.3512,-4.0367,-113.0526,-436.6995,-171.9115
-1.6845,-0.2299,-3.3321,-120.9364,-294.2331,-171.6988
-3.7832,0.4611,-3.1295,-116.4024,-179.1305,-161.4565
-5.8602,0.9320,-2.5619,-94.7888,-141.6358,-149.9210
-8.0842,1.0934,-1.9528,-58.8351,-155.2091,-110.4749
-10.0381,2.0221,-2.8919,-45.7097,-169.7980,-79.2273
-13.8584,2.1294,-0.4792,-23.5017,-144.6240,-46.1839
-17.7585,2.3133,0.7373,54.3728,-63.4199,-5.2187
-20.2555,2.2337,-0.2857,132.5216,106.6296,50.2362
-21.4594,2.1358,-1.8108,173.4365,285.1811,139.2318
-18.4402,1.6992,-3.9476,197.8084,387.9619,215.5676
-10.8391,0.0934,-5.7661,203.3752,375.6243,250.0290
-5.1753,-2.7730,-6.7662,186.6236,352.5496,257.2922
0.2537,-5.3283,-8.1813,147.5887,295.3620,238.5602
6.2894,-8.0595,-7.1135,98.7183,239.9011,224.0683
11.8001,-9.1289,-7.4579,42.0989,213.2819,196.4274
14.8053,-8.2231,-6.5087,2.6274,185.3676,154.1979
15.5342,-6.6871,-5.5633,-5.7863,134.7684,88.4194
13.3001,-5.1164,-5.6770,-6.6051,90.5691,46.8630
11.6187,-4.1543,-6.9181,-20.0810,68.3465,11.1931
10.2985,-2.8148,-6.7319,-24.9793,58.7879,-16.1917
8.6898,-1.2935,-6.1535,-16.4335,42.0031,-41.6710
6.9489,-0.2675,-5.9147,4.4582,17.2854,-44.3909
6.0517,-0.2310,-6.9089,12.2228,-14.9722,-33.2502
5.8042,-0.6285,-7.8059,7.6835,-15.9635,-25.1506
6.0544,-0.7175,-8.5864,8.3219,-11.8903,-39.3349
5.9292,-0.8308,-8.9718,5.5834,5.6623,-66.4741
4.8276,-0.0459,-8.4336,4.5360,11.4240,-75.1229
4.4210,0.5084,-7.2571,14.4033,5.3712,-54.7506
4.5992,1.0862,-7.1405,27.6019,-7.2791,-45.9282
4.8459,0.8839,-7.0998,36.3939,-38.3598,-42.7972
5.6644,-0.0783,-6.6399,44.6548,-42.6341,-45.4290
6.5088,-0.5879,-6.1890,63.8315,-34.1350,-59.1627
6.0495,-0.3614,-6.1651,98.7735,-25.6534,-86.0383
4.4692,-0.3692,-6.8875,122.7919,-53.0466,-100.1457
2.5437,-0.6547,-7.3479,126.7851,-79.0771,-82.8726
1.5125,-1.2726,-7.9661,124.0326,-72.5752,-54.3780
0.8544,-0.4465,-6.7944,125.8878,-38.0401,-37.1396
1.3388,-4.6936,-15.9467,138.4274,-244.9432,-3.4747
-2.0098,-9.9710,-16.1391,24.6019,-199.8121,63.0266
-0.7257,-6.4000,-12.0461,-65.1539,13.5005,23.4408
1.1510,-2.2129,-7.6167,-42.1967,116.3298,-50.6425
1.9899,1.0120,-5.7016,21.5191,143.8413,-91.2464
2.0673,0.2579,-5.7897,75.3629,96.8344,-67.3617
