ax,ay,az,gx,gy,gz
1.6384,1.3681,-8.9955,24.3658,-1.6944,-12.7983
1.3050,1.1719,-8.8032,26.4238,4.6614,-10.8594
1.9590,0.7307,-8.6115,32.6798,17.0950,-6.8005
2.5592,0.5091,-8.6965,38.2879,26.7206,-6.7028
2.9796,0.4641,-9.0128,41.5730,10.5303,-8.5605
2.6973,0.2244,-8.6776,39.7611,10.2419,-6.9816
2.7781,0.1664,-8.6306,42.3277,10.5065,-5.5104
3.3145,0.0051,-8.7272,49.0811,16.3018,-6.4423
3.8593,-0.1485,-8.8233,56.1094,28.7231,-14.8213
4.1855,-0.2297,-7.9221,66.5346,39.3133,-26.1632
3.8860,-0.1094,-6.6617,80.4610,39.1014,-38.3048
2.8563,-0.0701,-5.6299,125.3261,55.6655,-25.0544
1.8011,0.5132,-5.8390,176.2634,57.7042,-2.8809
0.7012,-0.1163,-5.5389,223.2104,47.3040,23.5595
1.8859,-3.0091,-6.7306,264.5655,29.1307,47.7779
3.1900,-6.3731,-10.0200,275.9203,52.8784,85.7374
4.9796,-9.4347,-15.6683,267.1617,-19.0602,83.8133
4.3288,-12.1859,-21.6155,148.9080,-16.3678,47.7699
3.8105,-12.6783,-22.8466,28.0976,16.9466,24.2826
2.8435,-12.0242,-19.6250,-108.3976,6.3041,13.0407
1.3955,-11.2279,-17.0148,-184.1184,-20.5216,9.8321
2.6837,-11.2713,-17.7628,-229.9680,-81.3512,0.4209
5.2191,-12.0147,-19.9074,-316.1533,-101.8034,24.9154
6.2538,-11.5901,-17.0177,-360.0972,-153.9856,25.3467
4.4323,-10.0093,-12.1162,-393.5560,-135.0028,42.7147
2.1199,-7.5419,-7.1404,-421.9156,-25.4519,70.0248
2.4187,-5.2058,-5.2009,-439.1424,-26.1604,94.5049
3.9581,-4.3772,-2.5274,-429.1376,-152.7595,95.0991
6.2765,-3.1225,0.7724,-346.6774,-188.7171,56.8967
4.5336,-1.3410,0.2412,-264.0488,-208.0398,26.3124
2.6299,0.2265,2.0958,-190.7942,-197.7309,46.7237
1.6534,1.1210,4.4935,-94.1262,-98.9228,56.0252
1.1755,1.8256,4.5975,6.5892,12.7174,48.7677
0.0922,1.8697,4.0165,88.1782,58.7393,19.3269
-2.0361,1.7115,1.8431,152.3367,24.0288,-2.4185
-4.1277,0.6774,0.6441,187.4321,-6.3884,15.1453
-2.2312,-0.9125,-0.1701,220.8684,19.1049,42.1961
-2.4563,-2.5911,1.1139,288.5853,80.2473,64.0863
-4.1566,-3.5241,-0.6056,352.6191,154.1411,100.4452
-3.6143,-4.6964,-2.7103,396.5159,198.5049,152.4235
0.6875,-7.7447,-7.3542,402.6020,210.4246,177.1091
8.1362,-11.2570,-11.2046,420.9555,318.8933,157.0905
11.4745,-13.2048,-14.9553,376.3740,385.4437,136.6496
11.9441,-12.5939,-17.0672,301.8203,395.2748,138.9690
16.2918,-11.8667,-15.8357,219.7244,280.5402,117.5957
23.3871,-11.8741,-14.8876,137.9571,136.3891,-7.8267
23.4295,-12.0644,-14.4585,11.8547,-20.9837,-125.0830
19.2654,-10.5063,-11.7808,-94.7138,-95.1910,-170.5998
16.0352,-8.0796,-7.5948,-149.6339,-99.2177,-174.1694
14.8162,-5.7829,-6.1712,-171.6546,-122.5682,-158.3090
14.4263,-4.5578,-6.6393,-196.0953,-187.6207,-159.1635
12.5682,-4.0271,-6.2982,-169.6992,-215.2745,-209.8702
8.0397,-3.1907,-4.3587,-165.4344,-218.3116,-233.7970
5.2841,-2.4919,-2.2154,-135.3299,-160.5130,-229.2397
2.8680,-1.0095,-2.0339,-82.0046,-131.0670,-204.4980
1.5176,-0.4830,-3.0769,-30.9464,-121.3740,-176.6143
0.9717,-0.2937,-4.6992,-6.8798,-102.6390,-179.0492
-0.6632,-0.6246,-4.6474,5.3934,-70.8653,-179.0486
-3.0138,-0.4106,-4.2839,39.3588,-64.3765,-146.7631
-3.8742,-1.3829,-6.2889,63.7052,-118.6522,-101.5896
-4.8965,-2.8330,-9.5416,59.8207,-169.4563,-62.6261
-7.4961,-3.4821,-11.2220,39.4350,-134.2883,-24.2788
-8.1415,-3.7201,-11.5621,25.0860,-90.3282,2.1061
-8.3118,-3.4748,-11.4035,23.5493,-32.8809,15.7655
-8.4862,-3.2562,-11.3692,30.3559,13.8324,17.9128
-10.1145,-3.1404,-11.2576,30.2824,63.7770,53.4971
-10.9497,-2.8811,-11.2074,19.5476,144.8060,100.4466
-9.5675,-2.5964,-11.2394,0.5667,220.7959,147.7878
-5.8594,-2.8116,-10.6844,-11.7904,272.6953,174.8010
-1.8454,-3.0096,-9.8383,-19.0674,307.6757,174.1271
1.5210,-2.9587,-10.1385,-35.8295,312.8693,157.8428
3.3560,-2.7022,-9.7277,-69.8950,250.2810,135.4737
4.1928,-2.2371,-7.8872,-116.0718,143.2738,132.8955
6.7531,-2.5822,-5.4116,-181.1869,-43.2381,172.5002
14.4223,-4.5118,-4.2969,-201.4897,-159.5967,237.8665
19.0586,-4.3027,-5.0464,-109.8461,-187.8971,193.6566
14.6966,-3.6058,-7.1109,-44.2580,-44.6012,74.4053
11.8084,-2.6024,-7.4396,-19.8473,68.8083,17.1784
10.4720,-1.7911,-7.2996,-34.9175,121.5612,-1.4188
9.8653,-0.6413,-6.3880,-45.7608,107.5261,-17.8802
8.6759,0.0324,-5.1321,-43.3315,55.8740,-24.8936
8.1018,0.4704,-5.1078,-20.7431,34.0579,-35.5658
8.0837,0.5842,-5.7983,-4.6324,19.8140,-47.2302
7.1861,0.9176,-6.5140,7.5521,8.3723,-61.9025
5.5352,1.3902,-7.0436,8.8175,-19.6144,-66.0545
4.4374,1.8002,-7.3466,9.9111,-29.9492,-57.3381
4.3003,1.9201,-7.5219,14.3503,-22.7235,-44.2181
5.4387,1.8986,-7.5340,17.7604,-0.8398,-40.0937
6.3268,1.9103,-7.2881,24.4700,17.7301,-50.8441
5.5218,1.9380,-7.1355,34.2205,16.0992,-56.3439
4.7289,1.8625,-7.7059,39.5753,-4.1485,-55.9611
4.4365,1.7259,-7.9760,41.1579,-20.7187,-52.6056
4.8301,1.3834,-7.8616,43.0100,-20.1888,-51.6498
5.3181,0.9964,-7.3926,49.0153,-13.9929,-59.3619
4.9303,0.5802,-7.7332,55.0717,-28.7240,-65.0436
