ax,ay,az,gx,gy,gz
1.0123,1.2796,-7.7555,-4.7493,4.3060,-5.1887
0.1309,1.3124,-6.9037,4.5552,12.6967,-3.7855
0.0626,1.3399,-5.9856,14.2845,19.3228,4.8231
0.3178,1.0627,-4.6694,25.3630,21.7485,11.3251
0.7997,0.9178,-3.0709,48.0631,24.3152,18.2113
1.4958,0.7622,-2.0372,79.4336,22.3019,17.3686
1.0465,0.3775,-1.5107,119.1009,7.2126,18.5928
-0.1638,-0.4210,-1.7449,162.2801,-7.2207,33.7052
-1.4118,-1.6377,-2.4663,210.7765,6.3401,66.1029
-0.5656,-4.1879,-4.8885,252.4531,-8.9588,86.4958
2.3414,-6.6231,-3.1754,290.9105,30.5158,65.6543
4.9042,-7.5979,-2.6061,312.7451,104.3021,43.2421
4.4054,-9.5129,-5.8662,371.7152,100.5746,34.2404
6.7311,-12.8912,-9.8835,346.7508,144.8641,30.9958
10.3420,-15.9874,-16.2652,268.6225,190.9361,21.9075
13.6344,-17.2885,-20.6515,198.9287,39.4116,-37.7653
9.1613,-16.0888,-18.0600,55.4182,-66.3978,-57.1250
6.5199,-13.5425,-15.9830,-19.1320,-47.0042,-33.4278
7.3189,-11.7600,-15.6838,-70.7115,-77.0944,-4.4845
8.0776,-11.3303,-16.2276,-129.4625,-158.7795,4.1656
9.3679,-10.8827,-14.3980,-191.5726,-127.8484,-50.5145
8.2244,-10.0188,-12.4455,-240.6891,-58.7682,-112.0165
5.6400,-8.9691,-11.5677,-282.8232,-63.1879,-144.4955
2.1538,-7.2750,-8.1929,-343.8431,-74.4719,-167.4918
-1.2936,-5.1140,-5.1990,-362.5165,-83.4715,-111.9026
0.0664,-2.7357,-2.3422,-333.7835,-50.7209,-67.6146
1.7284,-0.6252,-2.1709,-273.1223,-122.4492,-52.2689
2.7124,0.3499,-3.1314,-221.0840,-195.7922,-52.4852
0.1735,1.5736,-0.7070,-156.7556,-149.3611,-62.3918
-4.1562,2.4091,-1.9092,-103.6376,-93.0380,-46.6925
-8.4378,2.4793,-5.0616,-71.5020,-71.5128,14.6413
-10.4064,1.3864,-7.3331,-65.2907,-69.7341,94.4697
-11.7458,-0.1031,-9.7641,-50.7650,-68.8156,166.4415
-12.7658,-2.2057,-12.0511,-54.0051,-84.3820,237.5632
-8.3998,-2.8607,-10.7826,-75.3567,-28.9555,259.7081
-0.2311,-1.9573,-4.0279,-12.3272,44.0548,237.0769
4.7480,-0.8687,-3.1182,45.8375,188.8428,184.3227
7.4437,-0.5538,-0.6614,70.3292,221.5848,153.1749
11.3661,-0.1720,-1.0295,112.6123,240.3867,109.0863
14.8516,-0.1123,-1.8387,141.8277,167.1124,62.8414
17.0539,-0.1347,-1.3020,156.8240,53.0295,14.5161
18.1838,-0.4490,-0.3479,205.1916,-5.0070,-59.7571
16.1523,-1.3261,-0.8011,244.2881,-59.5834,-137.6531
10.4023,-2.6779,-5.1106,270.1282,-117.7988,-201.8594
-0.2419,-4.8524,-11.1533,244.4996,-203.6359,-204.5622
-9.2431,-6.5216,-18.4244,183.2613,-165.2528,-126.1888
-13.1444,-8.3960,-23.8042,72.9558,-33.5682,-30.8981
-9.1614,-7.7759,-20.0406,-81.9088,59.5001,10.0094
-8.5332,-6.8895,-18.3241,-54.3847,106.1827,61.4794
-7.6032,-7.0728,-16.5808,-97.1717,166.7364,138.6898
-3.5074,-6.5954,-13.1439,-180.2419,158.0810,175.1850
2.6203,-4.8033,-6.7655,-200.9873,132.1302,181.8665
5.4330,-2.6524,-2.3576,-154.2386,122.0576,150.2588
2.4518,-0.6756,-2.2519,-80.5085,122.6861,172.6231
2.7063,0.2636,-2.5470,-43.5013,51.7905,205.3351
5.0033,-0.8034,0.6234,9.4094,-11.4428,215.5269
6.7068,-2.1674,3.5965,110.8801,40.6124,208.7079
8.8973,-2.2202,1.0277,182.0641,45.3083,193.8983
11.6650,-4.0047,-3.6280,205.8775,-73.7456,160.1881
13.1033,-6.5675,-5.9645,167.0932,-93.8459,87.9790
12.5259,-6.4635,-5.1076,134.2543,-88.5249,16.6363
9.9679,-6.0936,-3.8619,171.2599,-101.9602,9.3240
10.5320,-6.2490,-4.5246,200.0191,-95.7575,-23.4262
