ax,ay,az,gx,gy,gz
2.1366,4.3968,-8.4379,3.7520,-2.1494,3.2296
2.1977,4.2902,-8.3566,7.6006,4.6489,2.5987
2.2277,4.3285,-8.5202,9.9748,12.0323,1.0832
2.4645,4.0643,-8.3807,10.4981,-0.4982,2.9670
2.8266,3.8496,-8.1495,18.1664,-9.3194,0.8083
2.6912,4.2224,-8.9276,17.8036,-14.1358,-8.6488
1.4559,4.3649,-9.2488,10.7891,-32.4899,1.4550
1.3650,4.2200,-8.8637,5.0056,-28.0335,9.3949
2.4583,4.0816,-8.1831,12.4828,-6.4930,11.4583
2.2248,4.2052,-8.6327,15.8372,12.3618,1.3630
1.9389,4.3581,-9.4830,10.6811,13.5417,1.7296
1.4966,4.2460,-9.8934,-0.7695,0.0181,5.5001
0.6867,4.2965,-9.6330,-16.0732,2.8560,23.4381
0.6324,4.5616,-10.0193,-35.1439,1.4985,44.6949
1.3831,4.6641,-11.1009,-64.7753,1.8856,63.5211
2.8286,3.5783,-10.7532,-91.4434,12.1551,58.2831
3.8331,3.5439,-9.8455,-100.6634,35.2499,20.9212
3.5441,4.0028,-8.2021,-98.8949,34.9558,-13.9227
3.7806,4.6521,-7.5338,-95.5359,22.7001,-44.1400
4.7306,4.9941,-6.3544,-75.7386,32.7863,-72.6429
6.0825,5.2713,-5.6777,-40.8026,48.3480,-110.9164
4.9088,5.7130,-6.6994,-12.4874,75.7823,-157.6715
3.1998,6.0011,-6.3567,4.6796,124.6312,-189.7621
1.8975,6.2195,-4.8689,19.7289,152.7078,-189.7176
2.8949,6.3208,-4.9080,47.8023,152.2042,-182.5769
3.3437,6.0528,-6.8628,59.8997,143.0685,-192.1272
1.7501,5.7646,-7.8999,49.6662,129.1915,-186.7810
1.0008,5.7825,-7.4135,38.8087,139.6441,-172.5574
1.8639,6.1181,-6.0588,45.0256,151.4319,-157.0354
1.8529,6.2401,-5.8598,69.2053,149.6313,-147.0661
1.4682,5.7153,-8.6592,70.0173,98.6324,-138.8004
0.8771,5.2096,-9.5598,48.5077,88.1189,-122.4035
1.1058,5.3340,-8.6244,30.0867,84.8208,-91.4758
2.8191,6.0405,-6.3532,34.1793,73.9832,-80.6031
3.0916,6.1920,-5.5389,64.0890,83.2426,-86.3082
1.3732,5.4079,-8.5344,73.1236,61.5538,-83.5626
0.5310,4.9634,-9.2652,62.3880,51.0274,-61.7755
0.5359,5.0517,-7.8271,55.0819,34.4898,-31.2741
1.4628,5.1675,-6.5317,66.0836,15.6446,-9.7811
2.7796,4.9196,-6.6818,88.5425,26.3121,-8.5631
2.3440,4.5674,-8.2256,98.3216,22.5063,-14.7378
0.6089,4.2256,-8.7966,99.5151,13.6162,-8.8072
-0.0728,3.9311,-8.7385,102.4767,-2.2283,17.0288
0.6213,3.6180,-8.3754,105.4675,-34.9172,35.2746
2.4102,3.2600,-8.0897,116.3093,-34.8578,39.2469
3.1566,2.8237,-8.0798,126.2288,-17.0478,26.7921
3.2461,2.4483,-9.2342,130.1756,-12.4481,-0.6704
1.5442,1.8869,-8.7685,130.3552,-15.5071,4.7559
0.6710,1.7644,-10.3611,128.1085,-30.8438,18.1264
0.8596,1.1106,-10.5799,117.0569,-57.0928,31.5387
1.6377,0.4009,-10.3471,107.5597,-55.1876,31.6911
1.7859,0.0580,-9.6782,105.4247,-39.0034,28.9278
1.3407,-0.2945,-9.8269,103.5636,-16.3791,19.4831
0.9589,-0.6480,-10.7045,92.2019,1.3474,23.1432
0.6802,-0.8521,-10.4197,79.2516,4.4808,26.4961
1.1514,-1.3655,-9.7215,73.5509,19.3834,28.6310
1.7336,-1.4977,-9.7779,71.6620,18.3586,22.1046
0.9741,-1.5734,-9.6966,62.3123,22.7136,21.9945
-0.0082,-1.6957,-9.4885,58.2550,25.2893,37.3769
0.3502,-2.2141,-9.5930,60.6446,14.9764,57.9540
1.3687,-2.9131,-9.0410,56.3270,18.6282,64.8348
1.3418,-2.8223,-9.3976,53.3025,22.6101,70.7759
0.9766,-2.7257,-8.9056,49.6123,19.8111,81.3586
0.4568,-3.0216,-9.0038,50.0407,16.4635,96.6542
0.1058,-3.3179,-8.7662,53.6251,25.4578,116.7332
-0.2931,-3.4819,-9.4410,51.6374,36.0752,137.7461
-1.5526,-3.9074,-9.8133,39.7616,28.4140,166.7172
-3.2985,-4.3274,-9.4888,31.6223,30.2971,223.1740
-3.9932,-5.0852,-9.0975,23.2840,41.9204,267.7652
-3.7683,-6.1157,-9.9417,12.2532,49.0741,318.6778
-1.2381,-7.8512,-10.0586,-7.1405,29.8771,344.9203
1.7367,-8.6311,-10.0503,-26.9956,24.8942,337.9969
4.2804,-7.7110,-9.4246,-41.8922,37.5790,269.9551
5.2809,-6.7888,-9.9422,-52.5400,54.5540,200.3971
5.6358,-6.1884,-8.8284,-56.5237,42.1730,104.2305
4.9846,-5.1370,-7.7887,-50.9436,33.6642,35.1148
2.5730,-3.8110,-7.7180,-35.3203,21.0482,-11.0570
-0.6629,-3.1767,-8.8770,-24.0042,-3.2331,-4.0130
-0.9304,-3.5266,-8.8224,-21.3561,-21.6610,10.9283
-0.1723,-3.3978,-8.4606,-11.9993,-17.6555,2.7959
-0.9888,-2.9230,-8.7143,-5.7897,-7.8008,-6.7200
-1.7170,-2.7312,-9.2619,-5.0470,-5.1863,-4.9005
-1.5515,-2.7759,-9.5460,-8.3340,-0.5635,-0.4676
-1.3675,-2.9032,-8.9618,-7.2816,-3.5711,-0.3054
-0.9226,-2.7320,-8.9339,-4.3340,-4.5992,-5.7622
-0.9905,-2.6091,-8.8594,-1.3910,2.2412,-10.8416
-1.3143,-2.4939,-9.0574,3.6154,1.5067,-9.9966
-1.3826,-2.6268,-9.4589,4.3009,2.2261,-5.6985
-1.4242,-2.8727,-9.3046,2.4240,-0.0166,-0.0264
-0.7895,-2.7688,-8.9291,5.4706,-2.2577,-1.1414
