ax,ay,az,gx,gy,gz
-1.7875,3.4215,-11.0949,-50.1163,-9.7043,14.3240
-1.6689,4.0088,-9.3504,-64.3683,-16.4385,12.7451
-2.2988,4.1445,-8.4143,-63.7167,-36.6515,17.9333
-2.8981,3.6049,-9.9292,-76.1862,-53.9665,32.5156
-2.8196,2.9782,-10.0305,-96.5316,-39.6977,55.2190
-1.1892,3.7662,-8.2555,-112.5927,-10.3754,59.0682
0.0849,5.4916,-5.3910,-108.8677,-6.0000,43.1084
0.5976,6.4173,-4.9832,-76.8284,-12.6886,29.0029
0.2166,6.1805,-6.2876,-69.3910,-53.5781,15.9725
-0.6899,5.9105,-6.0027,-66.3053,-45.2753,12.7267
-1.7047,6.2958,-4.8462,-63.0544,-31.8983,15.9029
-1.9327,7.0975,-3.7752,-38.2003,-25.8593,9.4536
-2.4614,7.2695,-3.1502,-14.1073,-21.7284,5.2016
-2.9369,7.2630,-3.1954,5.8895,1.4528,4.4792
-2.9129,7.3527,-2.3259,25.6896,4.1856,5.2033
-2.5431,7.5439,-0.6833,60.2474,16.9900,3.5948
-2.5141,7.8794,1.7049,105.6505,31.0201,6.5373
-1.9753,6.9668,3.9980,217.6635,24.8853,16.9806
-1.2393,4.4052,3.7462,319.5532,37.2383,7.0164
-1.9608,0.3459,4.4846,417.2463,41.8162,10.6383
-3.1872,-5.0353,6.9020,537.5048,-8.2463,25.4404
-0.5171,-11.4670,5.6883,614.2254,-24.9202,7.5585
3.0868,-20.4172,-9.2539,649.7250,129.1975,51.9061
6.5983,-21.5464,-21.5270,536.7318,127.2129,1.7355
3.3131,-19.6675,-21.0940,361.3677,83.1795,-26.4878
-1.2242,-16.5974,-15.3805,229.4244,83.6563,-16.3484
-0.8079,-14.1915,-12.8249,165.9674,65.1324,5.4723
2.2738,-13.7155,-12.9577,115.3456,37.8260,4.7555
7.2200,-13.8430,-17.7362,43.9942,-47.3878,-45.8122
7.2084,-13.9399,-18.8365,-56.8479,-129.7211,-120.2189
0.7608,-12.8662,-12.8716,-151.9325,-171.2052,-119.2250
-1.9920,-11.6292,-10.7691,-191.9993,-165.7942,-64.5009
-1.3555,-10.7250,-10.0420,-208.7843,-130.2602,-19.4191
0.9984,-9.4028,-9.9256,-225.9156,-89.8213,-15.6012
2.3182,-8.0642,-9.6286,-237.1995,-73.9420,-40.8881
1.5755,-7.0417,-8.9053,-250.6668,-78.2872,-69.1152
-1.0339,-5.9087,-7.5629,-247.3006,-84.9896,-68.0814
-1.9741,-3.8414,-7.1440,-219.7453,-37.5004,-55.4893
-2.2445,-2.3993,-6.2397,-195.4205,-28.3412,-47.3601
-1.6404,-1.4106,-6.3236,-169.3464,-27.7736,-40.4166
0.3376,-0.6080,-7.8064,-161.5851,-54.0588,-64.9235
-1.6849,-0.4760,-7.8345,-166.7157,-97.5192,-87.2768
-3.8151,-0.0373,-5.7912,-151.7716,-68.8282,-80.0703
-7.0370,0.5522,-4.5891,-129.9357,0.8782,-65.3594
-12.2753,0.9135,-1.4513,-64.7694,-45.2297,27.7400
-9.6541,0.7576,-3.6548,1.1579,-83.1742,116.9621
-4.9574,0.5428,-8.4705,8.4651,-80.9490,141.7569
-4.3219,0.5813,-8.0036,-22.4301,-58.3996,135.0584
-6.2907,0.5620,-6.1697,-26.9255,-45.6342,148.7886
-5.7456,0.1336,-6.9038,12.5907,-58.2571,209.8869
-4.0218,-0.0887,-9.9938,12.4240,-51.3939,234.2393
-2.2928,0.4482,-8.8662,-1.3826,-88.7458,253.3699
1.5620,1.9094,-7.7605,11.9219,-79.7098,231.5204
3.0669,3.8020,-6.7674,9.7555,-65.1139,164.0726
0.7035,4.8316,-2.1739,37.1325,-9.9090,123.6222
-3.5016,5.1087,1.6795,109.6457,16.8612,143.6482
-0.5615,4.2825,1.2216,223.2150,11.4965,171.2572
5.6366,3.6454,-2.1878,284.3347,-1.3436,115.0588
4.7861,1.5593,-2.9076,320.9607,26.8443,9.1610
1.0245,-1.7459,-2.3209,358.6729,45.6465,-24.2497
1.9137,-4.8677,-4.7730,394.5834,71.7571,-37.6278
5.4890,-7.6918,-7.5439,394.2465,100.3962,-67.7337
6.2459,-9.2218,-10.0727,381.1730,102.8138,-95.6022
5.3167,-10.6229,-10.4968,348.6172,49.7000,-118.4500
5.5723,-11.5752,-11.1900,314.8427,-19.5240,-148.5304
3.8672,-12.8185,-10.5841,264.1033,-31.0934,-159.7826
2.9871,-13.5409,-14.0169,190.7663,-125.4717,-120.7209
10.8838,-13.3154,-15.2070,82.6434,-244.6640,-161.6569
11.2365,-13.8942,-12.8653,-4.2111,-234.4309,-235.5188
5.6369,-14.5164,-8.5939,-56.3872,-161.0259,-305.4960
-0.2189,-14.1761,-4.7505,-73.8178,-141.7660,-311.8857
-3.9032,-12.9140,-4.8868,-76.2433,-105.6528,-279.6983
-6.0059,-11.2247,-4.6298,-71.0970,-81.6320,-212.4784
-6.6841,-9.3366,-5.3834,-62.1371,-57.7020,-142.2780
-6.4180,-7.7007,-5.2769,-48.2880,-31.7850,-82.8195
-5.0903,-6.6896,-5.3326,-31.1026,-22.6531,-19.5005
-2.8822,-6.3305,-6.0405,-16.7624,-19.2725,16.0616
-1.1507,-6.3980,-7.2154,-6.7154,-21.5943,37.9666
0.0570,-6.7504,-9.0286,-24.0447,-39.6723,58.1044
1.5777,-6.7725,-9.3149,-42.6148,-48.3405,63.5459
2.4824,-6.4499,-8.6249,-53.7547,-44.7508,60.9905
3.2257,-5.7885,-7.4081,-48.6196,-8.5926,50.9119
3.0949,-5.3438,-7.8201,-45.3962,1.3688,39.3994
2.7000,-5.3628,-9.7417,-54.5664,-19.2400,32.7957
2.3441,-4.9324,-9.8580,-77.6453,-23.1830,23.7195
1.1103,-3.9140,-8.1264,-66.4706,-36.3004,17.0736
1.6049,-3.8805,-7.1521,-43.1843,-55.0069,15.6515
1.1217,-4.8382,-9.1475,-25.9951,-43.2728,19.6377
0.9870,-5.4527,-10.9816,-44.5288,-40.6270,18.2734
0.9623,-5.1554,-10.0171,-66.3598,-35.9074,14.0637
0.4914,-3.8500,-7.4606,-70.2413,-40.6467,10.6185
-0.3530,-3.1462,-7.2186,-52.0604,-53.1537,14.7690
-0.6601,-2.9266,-8.4708,-40.9489,-48.6468,19.5816
