ax,ay,az,gx,gy,gz
3.1582,-1.4000,-9.8059,13.7927,7.6151,5.6759
3.0796,-1.4394,-9.4311,10.1205,4.9094,4.2464
2.8870,-1.2217,-8.9132,11.9469,-0.2555,4.4785
2.6922,-1.0746,-8.6523,18.8693,-5.7667,7.1840
2.6089,-1.1111,-8.2201,29.0838,-7.6645,12.2645
2.7083,-1.2064,-8.1576,37.1943,-7.0287,16.0140
2.8315,-1.2615,-7.8705,49.4831,-5.8485,16.7473
2.1255,-1.2979,-8.6149,58.6296,-10.9424,17.6712
0.4557,-1.2720,-10.2539,55.6095,-7.0264,36.7525
-0.5026,-1.2790,-11.3383,23.5135,-13.6028,83.8794
1.3695,-1.8639,-10.9687,-1.8172,-30.1283,104.8645
3.7654,-2.9322,-11.1357,-15.8579,-32.1516,99.9797
4.7389,-4.3399,-13.8272,-47.8712,-26.2551,69.5442
4.8237,-5.1622,-15.8894,-88.5951,-11.7282,45.7172
4.1716,-5.1926,-15.8166,-138.7277,14.3671,22.3279
4.0390,-4.3316,-14.1365,-176.5455,28.1219,3.3697
4.8276,-3.6691,-11.6988,-197.1141,31.0659,-30.1366
5.9856,-2.9676,-10.3572,-199.3974,31.5208,-58.0515
5.5301,-1.1324,-9.7859,-192.8035,39.8363,-93.7729
4.4988,-0.3907,-8.2850,-178.0413,50.0151,-117.5956
4.6158,1.3768,-6.2931,-155.3085,56.6361,-129.7298
4.6393,1.9879,-5.3335,-112.6294,65.8034,-133.1247
4.8388,2.6057,-5.7556,-81.7391,44.7945,-140.1234
4.9585,2.7160,-4.6989,-48.5429,35.1709,-153.1500
4.9745,2.9155,-3.0884,-3.1335,20.2147,-163.3065
4.7849,3.0929,-2.4303,44.3535,20.1224,-177.2103
4.1994,2.1059,-2.4624,113.5304,55.3634,-188.7696
3.8714,1.2378,-3.4260,158.1249,68.1631,-196.7829
3.3259,0.4083,-3.3801,193.2756,55.6381,-208.6537
1.8727,-0.7660,-3.5203,232.3396,22.2048,-211.4803
