ax,ay,az,gx,gy,gz
1.7266,1.4198,-10.6984,-30.4586,-2.7970,-10.3309
1.3862,1.5036,-10.7919,-40.6569,-1.2144,-14.1346
0.8243,1.8741,-10.5928,-53.4815,-11.6696,-14.6365
0.5229,2.3587,-10.2600,-64.5271,-24.3013,-15.5527
0.4952,2.6293,-9.6464,-68.7112,-17.9052,-12.9669
1.0086,3.0453,-8.9441,-68.6901,6.4723,-16.2372
0.7720,3.6545,-8.3160,-68.1338,12.7157,-20.3201
-0.0857,4.0698,-7.3313,-63.1076,1.0803,-14.2316
0.1522,4.3244,-7.0720,-48.2526,-1.8212,-9.9967
0.0394,4.4372,-6.9257,-35.6405,1.2812,-10.5034
-0.3109,4.6060,-5.8877,-18.8209,9.7230,-7.6282
-1.2456,4.6645,-4.3884,9.4933,35.3780,4.7693
-1.3005,4.2786,-5.4084,40.4422,3.7330,12.5260
-0.7086,2.8918,-6.5835,49.5531,-20.5752,10.5967
-0.3607,1.7493,-5.8150,47.4883,19.6559,11.2621
0.4404,2.2053,-4.5640,50.5865,58.5075,12.3698
0.9465,3.3491,-2.2683,70.5329,72.7859,15.4237
0.5139,3.8302,-0.2714,109.6166,62.7881,25.0684
-0.0962,2.7797,1.4309,186.2819,30.1074,36.4925
-0.0767,0.9526,-0.0097,280.5137,-23.2735,53.3452
-0.4666,-2.0853,-1.0728,338.5755,-34.7348,65.6564
-0.3739,-5.2909,-1.5246,392.9091,2.5578,83.2835
-0.1642,-8.9350,-3.4534,423.5053,18.0704,120.6857
2.3714,-11.5145,-8.3731,366.5566,19.2271,135.7362
4.6626,-12.6762,-11.2613,318.5665,3.9661,92.6223
4.0672,-13.0607,-14.6149,300.9471,46.4905,48.9568
-1.2210,-11.2427,-12.1687,241.7153,19.7452,36.3455
-1.8325,-11.3204,-7.8759,237.7465,29.4610,73.4756
-0.0875,-13.7055,-9.6198,234.1864,36.2350,103.1695
5.7012,-16.7090,-14.8608,173.0042,47.6971,71.8249
7.4801,-18.0194,-16.5052,80.2967,35.9464,27.1102
7.5338,-17.1662,-15.1395,-4.0911,-24.7435,-38.2662
4.3711,-15.6656,-11.1902,-71.1334,-75.7816,-58.0408
4.5678,-14.2501,-11.8030,-129.5039,-74.0879,-64.0965
5.4184,-12.8830,-11.6002,-191.9684,-81.3377,-77.3380
5.7078,-11.8319,-10.3554,-228.1601,-107.4880,-87.0743
5.7797,-10.7970,-8.7652,-256.7641,-120.7168,-107.9338
4.8258,-9.6879,-7.1354,-269.0726,-143.8089,-119.6054
3.8382,-7.8520,-5.6311,-257.4058,-128.9727,-137.1466
2.9813,-5.7269,-3.0818,-206.1482,-4.7183,-165.7901
2.5251,-3.7834,-2.4796,-147.2724,46.3648,-204.8781
0.1479,-2.6615,-2.1131,-100.6230,17.8407,-228.3967
-1.8900,-2.1575,-2.4918,-66.2985,-39.2813,-223.2556
-5.0551,-2.1961,-2.4580,-34.0961,-70.1018,-198.9980
-9.2420,-2.3988,-4.1187,0.2544,-64.5785,-131.7723
-12.7463,-2.9145,-5.9494,23.2788,-41.5177,-34.5527
-14.3683,-4.0706,-7.0409,36.3597,-12.6168,92.4295
-18.3735,-5.6890,-8.2532,42.2809,42.3791,213.9734
-24.0243,-8.1252,-9.4271,19.6432,90.3508,427.0480
-16.9078,-13.6127,-7.8079,-9.0049,125.2014,589.8014
-5.9792,-16.6058,-5.3224,-13.8286,196.7264,640.1021
2.7462,-15.2351,-6.5090,-7.3183,261.2217,553.6085
7.0189,-11.7823,-5.7969,-8.8585,223.1981,411.3373
13.0643,-10.9761,-6.3779,-7.9961,186.7000,299.0520
14.5505,-10.8974,-5.4652,-8.3273,148.1958,162.3663
11.7243,-9.7884,-4.6467,21.0866,131.4845,90.8266
11.6228,-8.8025,-6.9144,24.4025,77.7561,36.5252
13.6254,-8.9174,-8.4968,12.9090,-11.7748,-23.3088
17.1567,-9.5106,-12.5323,-18.4281,-65.5217,-113.2460
16.0174,-9.4556,-14.0083,-81.6006,-104.9040,-218.3220
8.7782,-8.2609,-13.3335,-126.4192,-67.5096,-249.9306
5.8488,-7.0479,-16.9953,-190.0246,-47.4887,-250.1158
6.2969,-6.9687,-16.1241,-251.9167,3.4260,-285.5094
2.9367,-6.4905,-15.9042,-313.2958,-35.7442,-318.4744
-4.5033,-4.6405,-10.3361,-340.7945,-24.0177,-302.0450
-8.9504,-0.9250,-4.5908,-344.8237,-3.8414,-209.3577
-7.5387,4.0486,1.2221,-230.9838,71.0751,-84.7267
-1.0786,7.2263,1.0367,-144.9734,77.3228,-42.2185
0.4141,7.5455,-2.6014,-100.6777,-27.6263,-51.0995
0.7026,6.7331,-3.7695,-90.5974,-77.4344,-53.8323
-1.0066,6.4214,-2.0587,-58.2211,-47.3494,-44.4670
-1.5282,6.5596,-0.2427,-14.6131,-0.9441,-8.7504
0.0941,6.2948,0.5980,48.1733,39.6476,15.1127
-0.6839,5.0166,-0.4622,101.9001,-11.8909,30.8032
-1.1664,3.2316,-1.5525,127.1971,-104.2596,65.6647
1.0218,1.7548,0.3967,156.1447,-100.8872,85.5628
1.1403,0.8388,0.6132,227.0911,-1.5936,81.5521
-0.9736,0.5261,0.4746,270.6194,12.3302,95.2139
-0.4892,-0.8373,2.2406,337.3361,6.3219,108.6999
0.4844,-2.6621,1.0299,398.4431,-7.7859,107.1536
1.2118,-5.3072,-1.4112,414.0322,-94.0281,83.0620
0.5935,-8.2557,-2.2932,388.8348,-124.5074,34.5738
-4.1072,-10.0714,-4.0099,392.0013,-53.3504,48.9992
-5.5598,-11.8226,-8.1854,401.5222,4.0019,90.1853
-2.1037,-13.9514,-12.3104,359.5379,3.7246,99.1968
1.7525,-15.5736,-14.5914,279.6531,26.0370,77.7465
0.6156,-15.0924,-12.5137,197.5434,44.3138,65.1234
-1.1853,-13.6071,-9.7075,142.5768,47.4554,59.8901
0.3486,-12.9527,-8.9482,132.8449,43.3526,39.3049
0.8812,-13.4128,-8.3378,121.1331,47.8737,24.0335
2.0900,-14.0741,-10.9591,86.1689,25.2690,5.9871
1.6951,-13.8964,-11.0455,4.3568,-18.9186,-23.8688
0.0078,-12.4714,-6.2418,-38.4793,-31.2739,-16.6130
