ax,ay,az,gx,gy,gz
-4.9272,1.8504,-9.5266,7.0423,46.8911,-45.1911
-5.7737,2.0409,-8.7696,5.7908,29.2193,10.8553
-5.0674,2.1427,-8.0708,12.9638,10.8501,66.5787
-5.0342,1.9930,-8.5736,24.7953,-17.5327,118.5911
-9.6688,1.5761,-9.1540,28.3649,-32.4506,207.5235
-11.9220,-0.2639,-9.2236,25.4861,-89.7223,336.1819
-8.6462,-3.6211,-10.4817,33.3182,-109.7704,443.1351
-3.4815,-6.4956,-12.6190,26.4876,-91.2363,480.2955
1.1725,-7.6364,-13.6538,5.8148,-53.5575,454.9142
7.5973,-7.1971,-13.7486,-22.5152,-24.4460,374.0912
11.1794,-5.6305,-11.6626,-32.0593,53.3936,245.4141
9.8874,-2.7568,-10.9220,-48.7962,59.3291,137.6105
7.0653,-0.8757,-9.6965,-57.1415,-5.3665,95.4333
7.0835,-0.4355,-9.7276,-55.5728,-45.8177,64.3212
7.2895,-0.1768,-9.5268,-33.3268,-16.0137,27.4964
6.2535,0.6436,-9.2451,-30.0389,9.9645,0.0313
7.1120,0.7251,-10.4009,-23.8415,12.7986,-25.6485
8.1279,0.4521,-11.3305,-33.3035,17.3824,-78.1405
6.9386,0.5509,-10.9022,-43.6434,37.3719,-130.6373
5.2177,1.1205,-9.4956,-42.6998,52.9964,-169.6066
3.0980,1.6179,-8.6737,-33.0939,57.6116,-193.2044
1.9549,1.9686,-8.9201,-29.5248,61.8082,-203.0994
0.9497,2.3646,-7.7215,-21.8668,67.9035,-198.2697
-0.6518,3.2281,-5.9825,-1.9184,64.3438,-179.1517
-2.0296,3.8771,-4.5356,39.2734,54.6664,-144.9496
-2.7564,4.0777,-4.7062,80.1089,33.9146,-102.4697
-3.1177,3.7311,-6.2033,110.8136,2.6028,-72.2909
-3.4977,3.1177,-4.8367,148.5722,-24.4811,-49.4511
-3.8938,2.1936,-1.5353,206.3338,-1.3705,-23.5043
-3.1149,0.7396,0.1125,282.9707,21.1436,1.4449
-2.2950,-0.9771,0.3676,341.4076,9.6600,10.3603
-2.5105,-3.9855,0.0974,392.5608,-45.5710,20.1455
-2.6193,-7.7701,0.1858,453.5446,-68.6846,29.5182
-2.0114,-11.3766,-4.6113,477.9357,-65.9956,39.8225
-0.6197,-13.9296,-9.0298,460.4552,-47.6872,36.4201
0.6803,-15.5851,-14.3465,397.9069,-12.6270,12.1801
0.2092,-16.4224,-17.5972,279.9150,-1.5852,-2.6068
0.3704,-16.2600,-16.3175,168.6078,2.8925,-1.8731
0.9849,-15.1090,-13.4022,60.7610,-17.9172,-12.7082
2.4627,-13.6512,-9.2110,-8.3659,-29.4846,-29.7480
3.9756,-11.9675,-6.5405,-42.4878,-40.8730,-59.3299
4.7217,-10.7213,-5.2850,-63.0189,-68.3748,-96.3468
4.7621,-9.7068,-5.1600,-75.8242,-93.3527,-138.3871
3.2798,-9.2714,-4.4561,-84.9655,-118.1693,-177.3264
2.1339,-8.4700,-3.4067,-69.7204,-129.2658,-183.9688
1.6606,-7.9495,-3.7096,-53.4548,-135.5776,-185.3894
1.4637,-7.8778,-5.1527,-45.1284,-152.6300,-191.9818
0.0310,-8.2238,-5.6058,-47.2104,-153.7672,-195.9114
-2.5330,-8.1656,-5.0687,-44.8777,-123.5360,-175.4738
-5.3282,-7.4422,-5.2641,-41.3364,-94.3532,-139.0185
-7.4489,-6.8461,-4.1979,-24.9648,-56.0199,-73.3881
-9.4309,-6.3409,-3.8947,-2.8139,-1.4858,4.0616
-11.4470,-6.1745,-3.1545,22.9009,50.9385,93.8849
-15.3468,-7.0073,-0.7681,64.7856,129.9193,233.3925
-14.1553,-9.8369,0.8759,95.6970,164.2109,358.0234
-7.8203,-13.6714,1.2966,118.7861,172.6287,419.3717
0.5239,-16.0990,-0.1035,148.2461,187.7795,405.5533
8.4543,-15.8806,-4.1847,141.5914,211.4678,301.4712
11.9526,-14.3847,-7.1426,100.5047,190.9680,167.6279
9.2701,-12.8299,-8.1525,48.9212,149.4303,54.2705
4.2148,-11.4246,-5.6468,9.3880,77.9421,-1.2856
0.6992,-10.1451,-3.3042,4.4060,71.9206,-1.5160
-0.1954,-9.2211,-3.9310,8.9567,65.0570,9.0136
0.7483,-9.2943,-4.6818,11.1045,66.9202,7.6397
1.5041,-9.4502,-5.3983,6.4798,72.2135,-3.1067
1.4677,-9.6563,-6.5306,-4.8014,66.1851,-15.3907
0.8308,-9.3522,-6.7390,-20.2485,15.2742,-16.9065
0.5053,-9.0814,-5.5685,-27.6591,7.4089,-11.3982
0.1280,-8.3368,-5.0884,-23.1475,10.6016,-6.1719
0.3323,-8.0146,-4.9579,-20.8045,5.5919,-4.3874
0.6643,-7.9354,-5.1998,-18.1442,1.5755,-7.4707
0.6178,-8.0681,-5.8753,-22.3542,-7.2299,-16.4106
-0.3344,-7.9711,-5.3776,-24.5350,-10.4384,-20.1784
-1.4941,-7.4830,-4.6580,-15.4137,-4.0019,-9.7075
-1.1285,-7.4732,-4.7693,-7.5275,-7.8053,0.9073
0.2156,-7.8352,-5.7040,-4.5162,-6.3682,-2.4558
0.7447,-8.0513,-6.3035,-10.1038,-11.8236,-22.0861
-0.7622,-7.9183,-6.1473,-15.2352,-25.7535,-28.8431
-2.5144,-7.5081,-5.3907,-11.9242,-16.1228,-11.1320
-2.2232,-7.3679,-5.4066,-7.1928,-8.7082,7.2106
-0.3986,-7.7213,-5.3755,-3.4557,-2.3863,8.6504
0.3850,-7.8331,-6.0259,-4.5820,-7.7525,-6.6244
-0.7468,-7.7191,-6.5526,-11.1415,-30.7509,-15.1044
-1.9925,-7.6622,-6.0908,-14.2994,-22.7474,-8.5738
-1.9204,-7.6079,-5.7428,-15.2609,-10.5012,4.5617
-0.6614,-7.6583,-5.0742,-7.9725,-3.5633,6.5848
-0.1374,-7.6524,-5.1424,-1.1106,-0.4656,-2.4306
-0.6608,-7.5665,-5.6306,3.8534,5.4032,-8.3359
-1.7853,-7.5035,-6.2484,2.9204,4.0293,-2.7196
-1.7199,-7.7003,-6.5028,-2.9722,2.6818,5.5844
0.0063,-7.8305,-6.3044,-8.0986,-3.6707,6.4860
0.2608,-7.8679,-5.6636,-7.8202,-3.3323,-3.2708
-0.3727,-7.6234,-5.0023,-1.3451,2.4081,-9.1759
-1.4575,-7.3475,-5.2982,3.8023,3.2591,-6.6364
-1.5894,-7.5144,-5.9173,4.7124,3.0919,3.8152
-0.6795,-7.8574,-6.2760,1.2812,-0.2622,8.2688
0.1407,-8.0717,-6.3582,-3.5823,-5.0950,-0.4540
