ax,ay,az,gx,gy,gz
1.4441,0.1044,-9.7491,-3.3005,6.4144,-0.4020
1.3574,0.0899,-9.7370,-2.2021,5.7382,-0.5322
1.3949,0.0495,-9.6198,-0.3741,7.1551,-0.2889
1.4300,0.0421,-9.5963,0.1846,6.7916,0.5665
1.3921,0.0363,-9.5465,1.0813,6.9842,0.4011
1.5297,0.0339,-9.3510,3.4190,4.9534,2.4005
1.7142,-0.0131,-9.2271,5.6979,3.3867,1.9316
1.6608,-0.1067,-9.0856,9.4707,2.7633,2.5459
1.8729,-0.0921,-9.2972,11.8569,0.8715,2.3688
1.8363,-0.0690,-9.3325,11.9634,1.2147,-0.4834
1.8823,-0.0684,-9.1707,11.2471,-1.7256,-3.3042
1.9956,-0.0625,-8.8874,14.9240,-7.1103,-5.4381
2.0090,-0.3655,-9.1607,26.4182,-12.4982,-4.6855
2.3429,-0.6215,-9.7507,46.4599,-15.7378,-2.2787
4.3660,-0.5909,-11.7922,69.3967,-37.3842,-12.4059
5.5455,-1.3595,-15.4197,77.3850,-56.4919,-55.9280
3.5454,-2.3685,-19.6177,87.8972,-54.4849,-93.8973
-1.0915,-3.8591,-26.3047,39.9007,-48.0806,-84.0533
-5.2387,-4.8038,-29.0576,-54.4725,-88.3126,-37.6936
-6.2895,-4.9405,-27.7959,-144.2016,-126.4480,23.6168
-3.5581,-4.1852,-21.7672,-230.7340,-147.6487,84.8486
-0.8952,-3.4899,-14.7436,-287.7132,-136.4012,112.6260
1.0951,-2.8271,-7.4942,-297.2766,-106.8058,125.2377
4.1461,-1.7825,-2.3449,-275.2450,-87.5278,107.3695
5.3629,-0.7358,2.8851,-237.0598,-64.7263,78.1323
5.4178,-0.1609,6.9255,-175.4615,-46.6342,39.4402
4.3158,-0.0647,9.0978,-97.8038,-35.9373,8.7033
3.1944,-0.5681,8.8442,-37.2749,-22.2400,-12.8412
2.4860,-1.3735,8.6597,17.7032,-12.4910,-26.8927
2.0111,-2.0599,9.3960,53.9508,-7.6004,-28.1424
3.3003,-2.5780,11.4956,109.1723,14.8715,-46.4682
2.1709,-3.6486,12.6308,180.9631,56.3931,-70.7032
1.5745,-5.1839,11.2555,280.3362,90.3211,-80.2617
1.5101,-7.5640,6.8673,383.3924,89.8276,-90.7665
1.4470,-10.4446,-2.8576,446.3561,75.8488,-101.4369
2.8050,-13.5242,-15.1093,480.2597,81.6246,-122.6682
0.0432,-15.1702,-31.7406,375.6090,94.0382,-128.7134
-4.5452,-16.2026,-38.4732,208.7906,90.6322,-112.8265
-7.2901,-16.1639,-39.5615,63.0933,48.1406,-69.9631
-7.7886,-15.2293,-40.6169,-44.9073,29.2107,-45.9961
-11.2633,-14.4972,-40.0398,-186.1683,-11.1967,21.1984
-10.3291,-13.6584,-30.4280,-295.7335,-25.6726,94.0019
-8.2573,-11.9935,-24.6240,-332.6687,-35.4365,155.7184
-3.8397,-10.2072,-20.0498,-365.2355,-34.9380,170.5384
-4.1163,-8.8251,-15.1610,-392.9873,-15.6045,191.1026
-3.2381,-7.0937,-8.1214,-395.0519,-28.0587,234.7312
