ax,ay,az,gx,gy,gz
-8.2226,4.1987,-0.6809,4.5748,67.1097,-45.8742
-8.7677,4.1394,0.0779,9.9089,75.9136,-27.4339
-8.3996,4.1331,-0.2916,23.0740,68.7953,-13.1002
-8.0889,4.2574,-0.5885,30.4197,52.9815,-10.0102
-8.7491,4.2377,-1.1993,28.4111,29.6616,-7.1790
-8.8043,4.1780,-1.2493,20.4889,0.0676,-3.0179
-9.1086,4.0447,-1.2058,20.7086,-11.2016,3.5269
-9.2355,3.7698,-1.5257,19.6159,-10.4592,13.2118
-8.8307,3.6143,-1.3993,19.8133,-5.4011,23.9776
-8.2748,3.4775,-1.4701,18.7117,5.5890,37.7444
-6.8031,3.3309,-1.5962,14.6066,3.2603,49.6285
-4.8690,3.1314,-1.4101,13.5211,-6.8967,46.3068
-2.7682,2.9598,-1.0566,16.2503,-19.2833,33.4788
-1.0044,2.6869,-0.8208,23.7848,-32.4728,6.2892
0.0229,2.6734,-1.1736,32.0091,-45.3073,-26.5725
-0.2685,2.3828,-1.0259,37.2623,-46.8314,-66.4960
-0.0848,1.3249,-1.0651,54.2729,-43.2231,-117.7431
-0.8934,1.1172,-2.5272,56.6157,-38.8791,-169.6603
-3.1947,1.1066,-2.0197,55.6512,-32.1773,-197.6091
-5.3062,0.5809,-3.5294,39.7570,-42.8716,-215.9790
-9.3535,0.0547,-4.9369,18.5125,-49.1920,-232.3500
-16.1678,-0.1172,-4.7218,-30.6974,-20.5595,-200.7199
-18.3115,-0.5832,-2.4866,-57.8640,3.8567,-145.6075
-18.4498,-1.3306,0.2555,-45.9134,33.6762,-100.9191
-19.3088,-1.7432,0.1969,-40.8212,53.5490,-48.9141
-16.8296,-1.7633,-0.3970,-25.8557,45.4821,8.0674
-14.2093,-1.5753,-1.1750,-25.8018,56.2655,21.9307
-12.1265,-1.0280,-1.0178,-21.1862,63.1271,26.8566
-10.9059,-0.1964,-1.7995,-4.6823,41.2851,36.2768
-9.9938,0.3361,-2.5946,2.8538,14.9766,45.7571
-9.7519,0.9140,-2.7640,6.6110,-1.2234,54.2076
-10.5115,0.9163,-1.3446,13.2901,-21.9573,66.3788
-10.5428,0.6463,-0.9642,35.3357,-53.1776,68.4820
-12.4110,1.2564,-2.5360,31.8001,-42.2499,44.7887
-14.0822,1.3349,-2.8848,21.9638,-22.0542,44.3390
-12.2315,1.1673,-3.3693,17.8815,11.5230,35.1826
-11.6767,1.1813,-3.9137,-0.4755,20.7946,15.1016
-11.7701,1.1177,-3.0555,-18.0636,37.0437,-0.5171
-13.7782,1.3834,-3.2327,-23.2915,38.5355,-1.6317
-14.2227,0.8783,-3.7556,-35.0235,43.3018,2.8562
-14.1259,0.2998,-5.5917,-52.3359,31.1208,-10.0678
-15.7183,0.6863,-5.3800,-81.5205,35.1252,-20.8579
-17.7840,1.1311,-4.3477,-86.9369,73.0921,-16.3001
-19.8478,1.4752,-3.7958,-78.2179,87.0607,29.1365
-18.1390,1.3614,-3.0979,-60.5449,84.1047,87.2556
-14.3442,1.8723,-2.8894,-39.9835,44.8691,101.7401
-12.6730,2.6605,-3.8264,-31.7603,-19.8867,101.5605
-11.6219,2.9395,-4.1906,-42.6922,-66.0518,108.5277
-9.3278,2.6472,-1.7364,-34.2289,-81.5121,134.0598
-5.9254,2.6691,-1.0337,-24.2864,-93.0585,148.8970
-2.1771,2.9401,-0.7310,-23.2807,-95.7560,139.0794
0.8098,3.5435,-1.2388,-13.6502,-96.0707,96.5657
1.5545,3.1065,-1.4754,-17.8265,-71.9608,54.1505
0.7702,2.7770,-1.6876,-9.0355,-59.2910,16.1580
