ax,ay,az,gx,gy,gz
-5.2039,0.8235,-8.8370,-4.0056,-1.9864,-3.6349
-4.9242,0.8024,-8.5241,-5.9387,-1.4819,0.9211
-4.4845,0.7998,-8.4399,-6.4972,-2.4614,2.9025
-4.0242,0.7469,-8.3027,-5.7921,-2.8511,3.6065
-3.9391,0.6423,-8.1962,-2.5612,2.3888,4.1817
-3.8389,0.6929,-8.3584,-2.0765,2.8299,3.6098
-3.8481,0.6986,-8.4806,0.2659,4.6913,3.6351
-3.7941,0.7585,-8.5984,1.9566,5.8535,3.7294
-3.7726,0.8429,-8.8066,2.5450,3.8291,1.7860
-3.7122,0.9053,-8.8750,4.1700,-0.2217,-2.9913
-3.9503,0.9070,-8.9829,5.5331,-7.5656,-10.0763
-4.4889,0.8443,-9.1469,5.9911,-9.9397,-13.2325
-4.7953,0.6062,-9.2323,6.0469,-11.2216,-15.5420
-5.1507,0.6526,-9.7734,2.4444,-9.8349,-16.7981
-5.2575,0.4175,-9.5104,5.6473,-7.3865,-18.8153
-4.7583,0.5689,-10.2299,13.7496,-3.7149,-29.7755
-4.9659,0.7040,-11.1299,18.8279,-8.9977,-48.8882
-5.7977,0.2190,-11.9519,25.6956,-10.4674,-67.1984
-6.6733,-0.1585,-13.5469,27.3744,-6.8795,-77.1392
-8.0331,-0.5507,-14.2996,9.4552,4.9586,-75.6995
-8.1765,-0.5655,-14.4435,-12.2157,2.6301,-60.7121
-8.4295,-0.6752,-13.7141,-23.6200,-8.7912,-38.9434
-8.1123,-0.5891,-12.6718,-21.4983,-38.3293,-16.3309
-7.8305,-0.5751,-12.0929,-21.1598,-72.1255,4.5098
-7.4850,-0.2900,-12.3466,-17.9905,-103.0639,31.7265
-6.4687,0.0540,-12.0701,-30.9333,-111.6649,46.6862
-6.2602,0.6548,-11.9428,-54.7546,-92.3694,58.4548
-6.6354,0.7757,-10.0710,-87.6249,-82.8375,78.3107
-6.1969,1.0716,-7.7904,-104.0333,-69.8988,93.0812
-5.1465,1.3968,-6.3845,-114.5238,-83.7593,109.3687
-4.2530,1.1372,-4.3267,-120.7210,-94.0369,125.7541
-2.8602,0.7918,-2.1364,-121.6694,-76.8837,135.7719
-1.2341,0.5420,-0.4580,-108.8967,-62.8093,131.3704
0.0785,0.4427,0.6362,-92.8561,-58.3894,115.7946
0.9581,0.4377,1.6393,-65.0205,-61.0563,92.3165
1.8959,0.6979,2.2256,-34.8099,-59.4199,56.6746
1.1798,0.9571,2.0815,-4.8767,-55.2284,19.7755
0.1486,1.2446,2.1624,17.8233,-42.1386,-7.6771
-1.2184,1.6500,1.4916,48.5193,-32.2519,-29.4321
-2.4826,1.7163,0.1642,65.3691,-24.5670,-44.1574
-3.2277,1.7916,-0.9258,78.7328,-10.9722,-53.7676
-4.5442,1.6775,-2.2153,84.9773,7.6292,-60.7525
-5.2957,1.5024,-2.6995,94.6692,20.4676,-65.4705
-5.9895,1.2829,-3.8691,108.6410,28.1890,-68.8650
-6.1474,1.0083,-6.3716,110.3226,31.0505,-78.2659
-6.8931,0.5590,-7.5114,107.3669,44.5384,-80.0255
-7.5644,0.0777,-8.4980,103.9571,49.3571,-76.9322
-7.5261,-0.3098,-9.4150,99.9872,44.4464,-73.3412
-6.1018,-0.7578,-10.4628,97.1432,55.8113,-81.3114
-5.9039,-0.8237,-12.1706,85.0110,56.4556,-93.7973
-7.8249,-1.4580,-12.4380,73.2715,64.6358,-88.7341
-9.4508,-1.3415,-12.2419,54.4388,55.6255,-73.4429
-9.4523,-0.8831,-11.9016,35.8606,32.7367,-58.5920
-7.3235,-0.2627,-11.2620,24.6753,3.5672,-63.8522
-6.0846,0.0158,-10.9441,13.2704,-8.6712,-79.6432
