ax,ay,az,gx,gy,gz
0.5128,3.7695,-9.0693,3.0554,5.4532,0.8127
0.2837,3.8274,-9.0891,2.8136,5.5665,-0.4703
0.3165,3.8303,-9.0105,4.1926,3.6728,2.1381
0.4044,3.7393,-9.3653,5.5420,2.7929,1.6586
0.3242,3.6713,-9.5267,3.8030,1.8527,0.8778
0.2634,3.6443,-9.4526,1.1722,0.2985,2.0001
0.2998,3.7257,-9.2300,-0.8439,1.3238,4.3434
0.4554,3.8187,-9.0205,-0.4660,0.9310,5.1493
0.4251,3.6741,-9.2079,0.5274,-2.8079,4.1212
0.3872,3.5244,-9.2681,0.5433,-0.4601,1.5626
-0.1063,3.5743,-9.4333,-1.5578,-1.3383,4.1271
-0.3055,3.4501,-8.9400,-4.5012,-2.4042,10.5003
0.0244,3.3574,-8.0435,-2.2162,0.2063,13.8790
0.8559,2.8711,-5.9752,10.1994,1.5400,11.1351
0.3396,2.0868,-3.8354,23.2739,4.8946,5.7442
-0.5027,2.2358,-2.6728,38.2123,12.6359,13.0825
-0.9963,2.4882,-3.0833,56.2946,15.2524,22.1981
-0.1554,2.1103,-4.1629,71.2867,13.7646,17.9012
-0.4316,1.7207,-5.0737,81.0031,23.9203,15.8965
0.0924,1.2459,-7.2947,83.0989,21.4704,19.1872
1.1999,1.1693,-9.5442,77.8635,31.5805,17.2090
1.5541,1.2570,-10.0906,70.9755,41.0402,16.7170
2.5336,0.9980,-10.3772,65.8324,38.1026,17.0270
3.1769,0.5924,-12.0472,57.7168,28.8414,13.3148
3.1648,0.1745,-13.0286,44.2879,21.5317,5.1785
2.4800,0.1725,-12.6959,36.0365,19.0027,2.4047
1.7580,0.3734,-12.3214,33.5963,16.1840,4.1672
1.9116,0.5139,-12.8698,30.3073,7.0123,9.6311
2.3588,0.3969,-13.2839,24.8681,-0.6411,6.7474
1.9980,0.2869,-12.9242,19.4585,-1.5789,5.6000
1.8428,0.4737,-12.1991,16.2946,2.3471,6.1129
1.5247,0.6921,-12.1727,13.5605,1.5489,6.8649
1.3318,0.8424,-12.1565,11.1239,-2.5620,7.9649
1.6037,0.7149,-12.0233,9.1008,-4.6613,6.4216
1.7378,0.4768,-11.9731,9.3073,-2.6727,0.7077
0.9383,0.2064,-12.1664,1.5078,-11.8284,2.5225
0.3868,0.0037,-12.1655,-4.5880,-16.3564,6.0685
-0.1208,-0.2211,-11.6955,-8.5729,-10.9086,11.3570
-0.4467,-0.3191,-11.0849,-9.1047,-5.2849,15.5687
-0.9279,-0.6233,-11.5335,-15.9757,-5.7869,20.9956
-1.3499,-0.8826,-11.3201,-26.7598,2.4008,29.5192
-1.4775,-0.5939,-10.4370,-30.3763,12.4023,38.4320
-1.5196,-0.2197,-9.6188,-28.6964,14.7801,48.0898
-1.4729,-0.2552,-10.0540,-28.1122,10.4156,59.4348
-1.1432,-0.2780,-9.9534,-31.2095,15.0012,68.8380
-0.8420,-0.1372,-9.4466,-30.6295,23.3586,75.8669
0.0386,0.2070,-9.2421,-25.8467,28.3699,83.8479
0.9278,0.3266,-8.9215,-23.2694,31.8390,91.3225
2.2498,0.3771,-8.4626,-20.5158,32.7135,94.3386
3.1878,0.4001,-8.5422,-19.5045,30.9119,92.7570
4.0423,0.4323,-8.8448,-20.2822,26.7811,87.7021
4.0970,0.5863,-8.4695,-20.1702,24.5896,82.1505
4.1159,0.6533,-8.3433,-17.0489,20.2193,81.5010
4.8697,0.4063,-8.6100,-13.9103,21.5573,77.6178
5.2849,0.3886,-8.8285,-13.1251,22.7218,67.7275
5.0698,0.5574,-8.5956,-11.8432,23.1431,60.2940
5.2608,0.6562,-8.3992,-8.3407,23.5635,53.7116
5.4837,0.7618,-8.1943,-0.1192,24.4474,45.3604
5.5148,0.7030,-8.2597,4.0372,24.7147,40.4781
6.4925,0.3597,-8.2540,3.6257,18.2882,26.7341
6.2476,0.3183,-8.5457,2.0711,9.9990,14.9434
5.8187,0.3536,-8.6098,1.4104,6.0687,5.7000
5.2764,0.4484,-8.9293,1.0211,4.7577,-0.8860
4.8618,0.5178,-8.9527,-0.2297,6.6385,-5.1924
4.4807,0.5079,-8.9389,-0.4323,7.7662,-9.0555
4.1475,0.5501,-8.9421,-1.1451,9.3529,-10.5082
4.1562,0.6274,-8.8166,-0.1643,9.2677,-11.1705
4.1654,0.6985,-8.5793,3.0498,7.1686,-12.8671
3.9616,0.6720,-8.8221,5.2981,2.5400,-14.0479
3.7652,0.5808,-9.1924,4.2960,-1.0297,-15.3607
3.4537,0.5301,-9.4435,2.8014,-1.3542,-16.1359
3.2375,0.5474,-9.2523,3.1762,1.4671,-14.7163
3.0449,0.6033,-9.1993,4.8426,2.7161,-11.7490
3.2305,0.5765,-9.2503,5.8007,2.6229,-10.1048
3.1573,0.5169,-9.5530,4.7067,0.0992,-9.3241
3.2262,0.4615,-9.5149,3.3442,0.5280,-8.2127
3.2479,0.4596,-9.4018,2.7178,0.8251,-7.7704
3.3429,0.4704,-9.3654,2.2156,0.8168,-7.1730
3.4326,0.4545,-9.4921,1.4258,1.3193,-8.0733
3.3963,0.4885,-9.4561,-0.1530,1.1821,-7.7150
3.3760,0.5280,-9.3957,-1.2869,-0.4320,-6.6030
3.4400,0.5091,-9.2391,-1.4430,-0.9478,-5.7812
3.4885,0.5102,-9.3151,-1.2944,0.0693,-6.5501
3.4790,0.5309,-9.2474,-1.9939,0.7269,-6.8982
3.6020,0.5708,-9.2780,-2.4409,-0.3181,-7.8796
3.5443,0.6241,-9.1202,-2.7030,-0.1016,-7.7222
3.4609,0.6280,-9.0517,-1.8379,-1.2799,-7.1960
3.5689,0.6008,-9.1109,-3.0110,-2.4232,-6.9444
3.6695,0.6245,-9.0508,-3.1827,-0.1806,-8.1931
