ax,ay,az,gx,gy,gz
-2.1184,1.5059,-10.5872,29.6638,0.4150,-25.2461
-3.9012,0.9270,-12.1106,31.3136,7.9874,-33.6408
-3.7460,0.6448,-12.9357,32.6444,15.3416,-30.1952
-2.2090,0.5988,-14.3129,35.6606,14.4323,-40.1620
-2.4791,0.5603,-16.6503,33.6575,4.7558,-56.5612
-3.9064,0.2108,-18.6407,8.0354,-5.0793,-63.2128
-6.9466,-0.2683,-20.5247,-24.3713,-10.3835,-41.6664
-7.7903,-0.6578,-21.4184,-51.2164,-18.3104,-15.0120
-7.8349,-1.3084,-21.8201,-95.9111,-40.1780,24.5912
-6.2131,-1.9188,-20.9282,-141.9758,-62.2398,61.9286
-3.2079,-1.8447,-17.1732,-176.1098,-40.0392,84.5820
-1.0036,-1.7777,-13.6822,-199.5539,-5.8750,92.3311
0.5880,-1.7079,-9.6854,-212.1274,-4.1672,92.7590
1.5700,-0.9453,-6.9022,-218.7319,-22.7071,85.7220
2.3094,-0.1059,-3.2015,-215.5433,-29.5359,73.5231
2.4480,0.7294,1.5703,-186.9206,-15.0989,58.4695
2.2092,1.7130,3.6188,-142.4881,-1.6415,38.4868
1.0624,2.2687,4.4598,-78.1934,23.9019,17.9758
-0.6098,2.5185,4.0885,-45.6148,24.0762,6.2744
-0.7594,2.9378,2.8256,-12.6740,25.2414,0.1855
-0.9745,3.0412,1.9485,8.7779,36.0313,-3.8810
-1.4088,2.7078,1.6773,26.7124,34.5501,-4.6982
-1.7804,2.3590,1.6587,47.6306,20.7685,-8.3109
-2.6313,1.7333,1.4006,65.9428,11.1124,-4.4377
-3.1601,1.1327,0.8888,74.7463,9.0827,4.8165
-2.5262,0.6518,0.8004,95.9512,20.4137,23.2925
-1.4355,0.2443,0.6788,111.5956,39.2946,34.4793
-0.2033,-0.5230,1.5063,142.3083,47.9029,32.1025
0.0132,-1.4651,0.8963,180.8709,54.8684,31.0725
0.6728,-1.7275,-1.8015,201.3565,72.0124,34.7088
1.7190,-2.5610,-3.2207,218.9065,81.8262,32.7417
1.3284,-3.8435,-5.6670,240.9362,82.1063,37.2696
1.0952,-4.5930,-11.2363,266.6028,83.2714,45.8571
2.9186,-4.4417,-16.1321,256.5000,80.3211,41.7294
8.3929,-4.6321,-19.1030,305.8815,133.3915,0.9739
8.8882,-4.6878,-18.1009,235.1648,110.7159,8.6556
7.3045,-4.6436,-23.3816,183.8883,58.6605,7.5394
6.9222,-4.2140,-27.6122,116.8283,28.8023,-2.3458
