ax,ay,az,gx,gy,gz
1.4544,-2.0603,-10.5913,-10.3550,-27.9879,-6.1705
0.9869,-2.2237,-11.2074,-14.9559,-28.8132,-3.2067
1.1927,-2.3838,-10.9742,-18.1352,-28.0036,-1.0581
1.4302,-2.4965,-10.9852,-25.5117,-34.0458,0.7663
1.7956,-2.4117,-10.7850,-32.4507,-38.2623,-1.3318
1.3676,-2.4615,-10.6967,-37.8249,-45.5878,-8.0673
0.2147,-2.2623,-10.5203,-39.7524,-42.9390,-0.3367
0.0556,-2.0159,-10.3291,-38.9178,-46.0577,7.1226
-0.0567,-1.9179,-10.4173,-38.2485,-48.0151,10.2170
-0.2339,-2.0518,-10.4466,-37.7293,-48.4146,10.2680
-0.7136,-2.2376,-11.1095,-43.0441,-46.5083,12.4379
-0.3858,-2.3490,-10.8719,-50.0058,-35.2971,10.7724
-0.6760,-1.9986,-10.2644,-52.8179,-20.6787,6.6536
-1.4831,-1.5595,-10.0660,-54.9905,-17.0961,10.2833
-2.3056,-1.2464,-10.0101,-59.6904,-22.6671,21.5479
-2.3620,-0.9922,-9.5671,-67.3347,-26.4011,41.0346
-2.0098,-0.7700,-9.0480,-71.6407,-23.9671,51.0641
-1.7977,0.0445,-7.7378,-59.4874,-12.2509,56.4878
-1.9582,0.4349,-7.5421,-43.0610,-2.4893,61.0482
-1.7685,0.3337,-7.4210,-33.6170,3.9658,66.4453
-1.1369,0.2215,-7.7157,-29.5643,7.4614,68.5506
-0.7789,0.2027,-7.7494,-28.7526,13.6993,69.2618
-0.9967,0.3941,-7.6245,-24.8471,20.2696,70.0927
-1.6597,0.5567,-8.0647,-20.1741,19.8071,79.9487
-1.1541,0.4542,-8.2081,-21.1388,19.1594,91.1198
0.4907,0.5777,-7.6543,-19.0358,20.5455,86.8821
0.7158,0.8718,-7.3735,-11.4555,32.6876,77.3987
0.0274,1.1386,-7.2012,-3.0444,43.5460,78.5566
0.1425,1.4638,-6.6601,3.7584,44.6210,90.5237
1.2112,1.4808,-7.1911,11.8179,30.2970,98.4464
2.9071,1.0236,-7.3620,16.5420,21.9845,90.4295
3.3341,0.8129,-7.1822,25.1232,27.8653,73.2466
2.1324,1.0201,-6.9637,33.9746,33.4084,67.7585
1.7840,1.1746,-7.1995,40.3204,33.7594,76.3647
2.8930,0.6799,-7.5671,40.7379,20.0746,76.2064
4.5070,0.4053,-7.7940,43.5593,19.3501,65.0585
4.5182,0.4949,-7.9391,46.9579,17.4181,48.2314
3.4680,0.5968,-7.9737,50.2490,10.3272,45.4138
2.9464,0.4644,-8.3189,50.2519,-4.2534,47.9595
2.9521,0.0574,-8.8308,51.2224,-7.2310,50.2369
3.5883,-0.1680,-8.6686,54.2218,0.0560,46.2117
4.4091,-0.2317,-8.6299,60.3465,5.5264,28.1303
4.0384,-0.4732,-8.3322,70.3700,0.0321,15.2460
2.7037,-0.9525,-8.7468,81.1441,-2.8705,8.0964
2.1899,-1.4314,-9.9059,63.9777,2.7604,23.7124
3.2735,-1.6018,-9.7735,53.5227,4.8744,26.8069
3.9640,-1.4016,-8.9312,55.0106,-9.3312,24.5820
4.0831,-1.4833,-8.3109,63.1471,-29.6088,16.9531
3.2200,-2.1526,-9.0120,74.3504,-34.8531,12.1475
3.0408,-2.5889,-9.5677,76.2792,-30.2382,8.3387
3.9146,-3.0939,-9.9069,74.1806,-23.9343,-3.5873
3.6860,-2.6782,-9.3128,70.0159,-5.6206,-29.9122
2.1543,-2.7462,-8.7998,75.9033,0.6125,-34.3173
1.8186,-3.6377,-9.6071,73.5253,-21.9855,-22.3719
3.5955,-4.8424,-10.4585,66.2147,-38.2263,-27.1023
3.6282,-5.5149,-11.0076,55.5508,-39.1670,-46.6023
2.8603,-5.4799,-10.8285,52.6143,-23.8623,-61.9477
2.8718,-5.1259,-10.2587,52.9211,-12.2935,-73.5326
3.8186,-4.9764,-9.7669,57.5530,-17.5952,-92.0088
3.8553,-5.3088,-9.8104,57.7943,-31.6746,-103.1535
3.0947,-5.6774,-9.9343,55.8672,-39.1312,-111.8027
3.2705,-5.5503,-10.0268,54.2575,-26.5876,-122.4514
2.8419,-5.5026,-10.1011,47.6742,-22.6082,-128.9222
1.8962,-5.5067,-10.1249,39.6598,-34.8073,-127.0713
0.2694,-5.6697,-10.8345,28.8844,-43.0329,-106.6096
1.4029,-5.8094,-11.0247,17.1368,-16.4230,-106.5606
3.9199,-5.7152,-10.0515,13.2213,-5.4559,-128.5001
3.6074,-5.4875,-9.2205,13.4335,-7.3301,-143.0039
1.1750,-4.9618,-9.2328,10.5255,-18.6549,-125.8463
-0.0723,-5.0351,-10.3355,-5.4255,-29.4410,-97.9034
1.3476,-5.3869,-10.5178,-19.7381,-37.7367,-79.6201
2.7655,-5.4232,-10.1754,-30.1535,-41.7961,-80.9858
1.2348,-5.6019,-10.5838,-37.2059,-38.2271,-79.7589
-0.2704,-5.8516,-11.8557,-56.7446,-27.8717,-54.2349
0.6291,-6.0144,-12.0159,-83.0218,-19.7052,-30.6762
1.8111,-5.8313,-11.2037,-104.5199,-12.7890,-23.6207
2.1114,-5.4992,-9.8778,-117.0356,-6.5810,-22.2885
2.0637,-4.3902,-7.8836,-110.9305,-3.8158,-14.0033
2.8747,-3.4101,-7.1246,-87.8068,4.4074,-11.6761
3.1253,-3.0748,-7.4278,-66.2990,10.2924,-22.8044
1.4788,-2.8464,-7.5974,-58.5842,6.9862,-21.2472
1.1262,-2.6287,-7.5727,-54.3345,-2.2531,-2.8412
2.1789,-2.3173,-6.8338,-43.1603,-7.2359,7.8120
2.8513,-2.0493,-6.6983,-28.2194,-2.2641,2.4832
2.3034,-1.9485,-7.1227,-20.5466,7.5115,-2.5874
2.8231,-2.1274,-7.0323,-16.0185,10.8953,-6.6281
2.6581,-2.0112,-7.3075,-14.0060,10.6401,-7.3507
2.6818,-1.3369,-6.9790,-10.0864,11.1707,-5.4465
2.4060,-0.8063,-7.2287,-1.8674,1.6879,-1.8650
2.6074,-1.0015,-8.4028,1.2763,-10.2619,4.7443
3.0708,-1.1224,-9.0688,-1.5611,-8.5680,3.6650
