ax,ay,az,gx,gy,gz
4.3073,3.4218,-8.0453,-8.4356,-8.8203,3.9293
4.1794,3.4989,-8.2581,-8.3336,-9.4274,4.1415
4.1631,3.5526,-8.3196,-9.5575,-11.1442,5.1532
4.1076,3.5596,-8.4565,-11.0138,-13.9346,5.1765
4.0740,3.5682,-8.1969,-9.9917,-15.5085,7.4195
4.2998,3.4563,-8.1541,-5.4123,-12.1307,7.1740
4.2571,3.3916,-8.6442,-5.4869,-12.1776,6.3598
4.3438,3.3803,-8.5021,-8.5091,-16.3268,5.8673
4.2372,3.4622,-8.1200,-7.3934,-20.1693,6.0928
4.1083,3.5265,-8.3886,-7.9611,-24.6065,7.1519
4.1953,3.5204,-8.5618,-8.6506,-23.8852,7.4047
4.0772,3.6332,-8.9476,-11.3695,-23.0925,6.4516
4.0072,3.7934,-9.2135,-17.3405,-21.9762,7.5897
4.1493,4.1510,-9.6882,-20.4749,-21.9114,7.8740
3.9782,4.8062,-9.7877,-31.2053,-13.2875,11.3589
4.2098,5.3637,-9.1184,-31.1336,-7.4958,14.4736
5.8234,5.4703,-9.1634,-26.6374,-1.3559,7.7469
6.8948,5.4839,-9.1294,-22.5724,17.8197,-5.8459
7.5775,5.5642,-8.3148,-27.2350,30.2122,-14.2046
9.1026,5.5011,-6.7199,-29.9754,29.3688,-32.7880
9.1130,5.5076,-4.4544,-17.7048,18.3698,-48.4852
9.0105,5.0146,-3.1899,2.7722,2.9928,-64.0034
9.3846,4.1327,-2.9433,26.6409,1.2157,-92.8957
7.9804,3.3985,-3.0929,52.3649,11.8886,-122.9787
4.4537,3.1467,-3.7144,65.8877,13.1848,-129.2163
2.1543,2.8391,-4.2873,68.9922,-6.9097,-110.1606
1.6515,2.1923,-4.3970,71.8713,-24.5991,-90.5664
1.2583,1.3442,-5.1784,77.0209,-32.4383,-82.4751
0.9233,0.7388,-5.7256,82.1045,-24.3039,-80.0565
0.3087,0.5555,-6.1652,89.3535,-7.0321,-77.5768
-1.2555,0.4480,-7.4091,91.0998,-0.8343,-63.6086
-1.9355,0.1027,-8.5380,79.9511,-2.3723,-41.3182
-0.8028,-0.0462,-8.5636,73.8714,5.8668,-32.7441
-0.3838,0.0357,-8.7207,74.1920,21.3680,-34.6432
-1.3783,0.1720,-9.5295,69.3461,21.7193,-24.1032
-0.6589,0.3243,-9.6756,64.4254,20.5946,-10.7213
0.7482,0.3041,-9.8432,63.4791,26.0478,-8.7264
0.8961,0.2788,-10.2413,60.7845,27.9647,-5.8675
1.1624,0.4705,-10.7051,55.6661,27.5051,0.4543
2.1155,0.5986,-10.4257,53.7560,28.2073,2.4217
2.2671,0.3701,-10.5163,53.3754,27.8967,0.5492
2.0479,0.1927,-10.8174,47.8290,27.2673,5.5784
2.1422,0.4679,-10.6779,42.5032,23.8558,11.2042
2.9289,0.6005,-10.5906,41.6486,22.6248,12.2625
3.0864,0.1922,-10.8355,40.1284,17.9624,11.5034
3.3219,-0.2325,-10.7801,34.2972,20.3221,10.6113
2.9632,0.2440,-10.6198,30.4175,23.1576,11.0150
3.0049,0.5517,-10.5128,27.7780,19.5231,15.0533
3.0849,0.0373,-10.2253,24.2411,11.9656,20.2426
3.3933,-0.4872,-10.0850,20.5578,10.0544,21.4644
3.4094,-0.5777,-9.5710,18.3757,16.3748,19.8853
3.2055,-0.1181,-9.0409,20.0786,19.1425,18.5826
2.6316,0.0215,-9.0143,21.5147,13.8372,20.9304
2.5214,-0.3119,-8.8338,22.0862,10.7991,29.8726
2.9127,-0.6406,-9.1193,21.0913,8.8737,34.5686
2.9416,-0.5523,-10.0627,16.1013,7.5176,40.3990
3.3161,-0.7304,-10.5217,13.2307,8.2424,42.1287
3.4364,-0.9656,-9.8485,16.8934,15.9067,41.5526
3.6600,-1.3530,-9.1599,20.9639,14.9943,41.2390
3.8066,-1.6830,-9.1626,21.3612,10.0793,40.0184
3.2166,-1.6874,-9.5526,18.8640,10.8633,41.6823
2.5323,-1.8074,-9.5176,17.4489,21.3329,50.0152
2.8363,-1.8090,-9.0974,19.0776,25.4143,55.2696
2.7095,-2.0719,-9.2069,21.1165,15.3212,60.0577
2.6100,-2.0583,-10.7517,14.5097,12.8647,65.8826
2.2593,-2.0385,-11.3260,6.3174,17.8723,75.2390
2.9553,-2.3562,-10.9580,2.6363,25.9762,83.3030
3.6011,-2.6094,-9.7541,6.4823,19.9702,89.5040
3.9647,-3.1107,-10.6092,4.0085,6.5378,91.4656
3.8442,-3.7856,-11.5776,-9.5780,0.4767,90.3494
3.0039,-3.8755,-9.8998,-19.7044,5.0195,93.5721
3.0960,-3.4992,-8.7683,-15.2198,8.8501,96.9197
2.8849,-3.1132,-10.0873,-13.6040,16.6964,101.1177
2.6654,-3.4005,-10.3326,-19.0725,25.0447,107.8036
3.3532,-3.5292,-9.7502,-25.1681,36.2480,112.6977
4.3530,-3.0905,-9.4320,-32.9884,54.9095,111.1889
4.2149,-2.9708,-10.2073,-33.6976,49.9432,110.7150
4.4855,-3.0384,-10.5129,-48.0571,40.9706,108.4190
4.8324,-3.2641,-9.7038,-63.6754,39.6766,108.8964
6.0164,-3.3798,-9.3790,-71.2806,31.7858,102.5534
6.5134,-3.6939,-9.8433,-75.5710,22.4082,94.0024
6.7025,-3.6373,-9.8465,-82.0830,29.0454,79.7260
6.5847,-3.2027,-9.1073,-87.3293,33.4986,67.5969
6.5205,-2.9895,-8.4962,-86.2557,28.4426,52.7397
6.1924,-2.6309,-9.2183,-85.0277,32.0365,40.3796
5.6441,-2.0934,-9.9408,-93.1794,43.1605,30.5304
4.6162,-1.4013,-8.3668,-93.7254,46.9965,32.6386
4.5760,-1.0394,-7.9595,-86.1874,31.7479,37.8609
5.6176,-1.4429,-8.5927,-82.0502,21.3816,38.1264
6.8964,-1.6611,-9.2337,-85.9254,18.6058,21.2885
5.9559,-1.2264,-8.4283,-91.6821,15.2674,10.5006
