ax,ay,az,gx,gy,gz
6.4470,4.1786,-9.7184,127.1819,-261.7011,59.7741
4.2902,3.4831,-10.6498,64.0034,-132.0045,17.7212
3.3773,3.7336,-8.4500,32.7118,-50.3906,0.1459
0.9596,3.0582,-6.8602,27.2579,4.1259,-6.7628
1.6314,3.1468,-7.2851,23.4019,40.3162,-13.3050
0.2966,2.5567,-7.9585,-0.0914,65.7586,-13.5056
-1.4044,1.4633,-7.2870,9.6118,2.1230,16.9296
-1.3205,1.9013,-6.6395,30.4581,-12.3226,34.5186
0.5253,2.0064,-7.7419,53.0408,-19.7563,41.2221
1.6891,1.7659,-8.6819,60.1716,-15.4646,31.9614
1.9332,1.7883,-9.1107,73.3351,-18.7305,17.1075
0.7221,1.9960,-8.8577,83.4197,-6.1633,15.7493
1.1911,2.3438,-8.9040,81.4472,6.1287,17.1056
2.4756,2.3669,-9.8099,88.0804,4.5708,8.5413
2.9406,1.8978,-10.2799,84.9876,2.6023,-4.8554
1.7453,1.6074,-9.7811,85.2743,10.5015,-1.3769
1.9123,1.6647,-9.6950,85.0512,7.5752,-2.2688
2.8259,1.2524,-10.0382,85.3839,0.6787,-20.7051
3.4027,0.4285,-10.1402,102.8391,26.9746,-59.1458
-1.3989,-0.9136,-13.6213,79.9014,44.3075,-48.2249
-2.1367,-0.9261,-14.6980,48.6050,7.5810,-16.8207
1.3244,-0.7754,-13.6252,14.4886,-55.1228,-3.5667
2.4249,-0.9546,-12.2532,3.2744,-68.2283,-12.7077
1.7822,-1.5936,-12.5689,-6.2875,-84.2326,-23.1727
-1.1764,-2.4731,-13.1296,-25.5604,-110.1150,-9.9717
-1.8925,-2.9844,-12.7332,-42.3749,-122.4786,1.1394
-0.9528,-3.3723,-13.1229,-60.3186,-104.7644,-1.9841
-2.0975,-3.6592,-13.6411,-88.7429,-101.3409,-5.2500
-4.8898,-3.0645,-10.8620,-99.6732,-95.5954,23.5862
-5.9231,-2.1305,-10.1107,-95.2977,-86.7342,53.6049
-7.4695,-2.5917,-10.6099,-94.0203,-67.0237,82.7031
-7.8860,-3.0806,-10.9007,-100.5508,-48.3491,119.9490
-6.1672,-2.7305,-9.3682,-103.3599,-47.7045,143.4511
-4.3278,-1.8103,-7.2515,-89.5994,-34.8459,146.3959
-5.4228,-1.2339,-6.4063,-74.5988,-2.0805,150.4336
-5.6741,-0.8547,-5.9375,-65.6378,6.0672,171.5968
-3.2211,-0.4358,-4.5638,-52.8420,11.0793,186.7610
-1.4872,0.3014,-3.4438,-31.7344,37.5193,183.3957
-1.6762,0.7647,-3.3382,-13.2627,64.8565,187.7045
-0.3942,0.7560,-4.4949,-3.4263,63.5950,189.4610
3.1444,0.9514,-5.6351,-0.5662,56.8973,169.8868
4.4947,1.5881,-5.4780,3.1007,61.0604,141.6146
4.2828,2.2708,-4.8535,8.8166,61.2416,118.3112
3.7662,2.5857,-4.8385,25.3369,62.4939,98.5442
2.3995,2.0597,-5.2935,38.2323,69.8622,98.8980
2.6596,1.6574,-5.9731,44.5433,59.7703,114.1699
4.7254,1.8575,-5.9611,50.3841,39.0643,120.0778
5.6511,1.9458,-5.0717,70.9581,22.8176,104.3470
4.9590,1.5602,-6.4006,86.3515,18.3763,92.8194
6.1474,0.9486,-8.2116,78.2725,12.5208,92.2790
7.8853,0.9012,-7.7796,71.3912,13.0570,70.0206
6.8766,1.0553,-6.5617,81.4239,15.1249,44.6844
5.0202,0.9033,-6.6852,90.3893,7.6024,39.8720
5.8145,0.5662,-7.4229,93.4929,-4.5789,41.9612
7.3234,-0.0549,-7.3995,101.5557,-25.9477,22.2243
6.4341,-0.4230,-6.9321,116.3545,-35.3352,-0.3384
4.2591,-0.9498,-6.9593,135.1821,-46.3619,-7.7563
3.5004,-2.0153,-9.5145,139.6809,-43.7528,-9.9070
4.6162,-2.8397,-10.4073,128.0258,-46.5501,-16.5370
4.7806,-3.2052,-10.1516,122.2082,-54.9547,-35.4441
3.7050,-2.9645,-9.7300,127.0164,-59.9847,-42.1240
4.9598,-3.2261,-10.7207,132.0485,-71.2164,-49.3760
5.8567,-4.6585,-12.6218,121.4906,-57.3511,-78.0559
5.2483,-5.2717,-12.2660,108.3123,-28.2736,-92.5020
3.1937,-4.7376,-11.9775,85.1981,-24.7542,-79.5784
4.0792,-4.4041,-8.9322,69.2997,-51.5509,-73.5090
6.3103,-4.3694,-5.9744,84.6801,-71.2747,-98.8695
4.2617,-5.9001,-6.4226,117.2265,-70.7773,-149.1271
-1.3482,-6.6762,-10.4190,107.4165,-65.3109,-129.2942
0.2118,-6.0658,-11.2714,69.7527,-98.9616,-102.5628
0.9765,-6.6730,-7.7378,-0.3205,-108.0938,-125.0971
1.1310,-6.7792,-11.4437,48.0438,-106.3325,-153.5355
-2.5477,-7.4323,-12.7856,15.6140,-79.6686,-153.6816
-2.4209,-7.1447,-15.1320,-40.7860,-76.9832,-141.4326
-0.6271,-7.3731,-12.9997,-77.2621,-61.7530,-137.5704
-0.4954,-7.3834,-9.4340,-70.5330,-60.5823,-128.7000
-2.0336,-7.3874,-11.6258,-73.4190,-47.1770,-111.4725
-0.7266,-6.6341,-13.8897,-98.2123,-39.2722,-98.5064
-0.4169,-5.8474,-13.6177,-133.6610,-43.5450,-84.7914
-2.1263,-5.0935,-7.2652,-115.6911,-52.1574,-41.0219
-0.7779,-3.0963,-5.5099,-71.6195,-48.1661,-10.8779
-0.4690,-2.9327,-9.7100,-86.4114,-66.1768,8.2811
1.7459,-2.5564,-10.3093,-102.8761,-65.7143,-15.6645
0.2355,-3.2712,-6.3638,-95.5605,-47.1959,-18.8700
1.2799,-2.3655,-5.4682,-52.1877,-32.8311,-21.2412
2.2977,-2.0339,-7.8522,-28.3552,-21.6785,-32.3424
2.7516,-1.9424,-9.6219,-34.2986,-15.1757,-56.0209
0.5809,-2.0990,-8.6664,-33.8396,-12.9677,-52.8401
-1.1904,-1.7867,-7.9663,-23.9629,-30.9293,-36.1484
-0.9386,-1.4550,-8.4485,-11.3085,-43.7238,-17.7477
0.0203,-1.3288,-9.8909,-8.3808,-48.7724,-18.4344
-0.2897,-1.2584,-11.6520,-16.9943,-59.0843,-23.1332
-1.0643,-1.4609,-11.9349,-27.5444,-57.8766,-24.9606
-2.6230,-1.6077,-11.0534,-26.0101,-37.1651,-21.7258
-2.9781,-1.5307,-10.9792,-11.5330,-26.9855,-11.5877
-2.1167,-1.8603,-12.6325,-3.3281,-27.4450,-8.0175
-1.3158,-2.2882,-14.8175,-14.8574,-32.1798,-18.3983
-2.5848,-2.6947,-14.7648,-37.3998,-36.2975,-16.7966
-4.3720,-2.5021,-13.6489,-56.9061,-29.6749,6.8534
-4.9909,-1.8491,-11.8535,-66.1004,-43.2668,33.1226
-4.1998,-1.6037,-11.1074,-66.5976,-59.9283,53.5217
-3.5248,-1.8231,-11.6289,-73.4970,-50.9630,63.3242
-2.4927,-1.6539,-10.8653,-90.3617,-28.7665,71.3549
-2.4134,-1.0794,-9.3686,-103.2677,-20.2298,75.9833
-2.8400,-0.7269,-7.3524,-95.9692,-22.6917,87.9403
-3.9433,-0.2928,-6.5877,-78.7349,-46.5154,109.6835
-3.7253,-0.1719,-6.7416,-67.5785,-64.7192,130.2627
-3.0566,-0.2506,-6.3879,-60.6107,-53.6279,144.8995
-2.9374,-0.0110,-5.1954,-53.7078,-44.0728,157.4670
-2.3252,0.3321,-3.8911,-35.7458,-40.0602,169.7169
-0.7763,0.7020,-3.9282,-18.6521,-31.5092,164.1382
-0.9380,0.6273,-5.1042,-9.1111,-10.6998,158.6732
-1.5355,0.8742,-4.8172,-6.5793,0.3196,166.1506
-0.4390,1.0676,-3.3862,-9.6181,18.9079,173.8885
0.3142,1.4586,-3.9060,0.9321,58.8421,158.6329
0.1442,1.6631,-5.2567,5.5935,78.4405,152.5208
0.6730,1.8656,-5.5637,13.2646,58.9266,158.4763
2.0850,1.9230,-5.4351,23.1869,33.9659,159.7079
4.0156,2.0986,-4.6175,34.8901,20.0724,154.5080
5.1352,2.4883,-4.4766,47.1754,16.6097,133.9361
5.3012,2.5771,-4.6741,66.8997,5.6643,109.0181
4.4654,2.0419,-5.7468,81.9550,4.0910,90.1260
3.9109,1.6100,-6.3004,89.7998,7.3848,79.5323
4.5432,1.3430,-6.1576,104.6383,6.1665,69.3744
4.7891,1.0524,-6.9825,115.4736,16.5559,49.0636
4.2385,0.5132,-8.2933,115.4436,26.2954,35.7137
3.7256,0.1286,-7.9648,111.5962,26.9252,30.8655
5.2244,-0.2031,-7.0648,116.6826,7.3241,26.1126
6.7861,-0.6923,-7.6230,127.4310,-0.7278,0.0708
5.7910,-1.2184,-9.0870,132.9300,1.9271,-20.0271
4.8591,-1.5948,-10.7530,129.6387,-24.6235,-23.3454
5.6985,-2.1451,-10.4159,116.3170,-28.6547,-27.3632
8.8880,-2.1624,-11.0397,107.5182,-33.5884,-56.6951
11.1023,-2.5986,-12.6767,92.4266,-45.1611,-101.1570
7.8743,-3.5674,-12.3455,71.5015,-36.0677,-142.6613
3.6824,-4.0797,-12.2915,60.8997,-25.1580,-136.8370
5.6770,-3.9234,-13.6416,47.4510,-44.1670,-130.5577
6.8596,-3.8323,-14.8156,30.2985,-51.9834,-154.1066
5.8721,-4.7441,-15.7640,33.7578,-38.4872,-180.3777
3.3324,-5.2279,-12.8305,23.9229,-47.9111,-186.5316
1.0195,-4.9824,-13.7984,12.1702,-42.5990,-195.4709
-0.8690,-4.1413,-14.5380,-11.5147,-36.4391,-184.5289
-1.2198,-4.2965,-14.8870,-39.4416,-43.8930,-178.3207
-3.5551,-4.9720,-12.5276,-48.4460,-55.9627,-176.3563
-7.2880,-4.5694,-11.2402,-38.4571,-32.1467,-132.1624
-6.9781,-3.3402,-10.3476,-24.8729,-27.3911,-74.3691
-4.2038,-2.8943,-10.1423,-18.3299,-37.5111,-49.2243
-3.2642,-3.6448,-10.1211,-21.7537,-38.9246,-31.9280
-3.5733,-3.7042,-9.7525,-18.5219,-16.9800,-6.7959
-3.0450,-2.9786,-9.6807,-25.0333,-18.5748,11.8441
-1.2760,-2.2462,-8.7445,-28.2985,-27.0909,21.6210
0.2607,-1.7992,-7.6199,-25.2564,-27.1497,15.0585
-0.2920,-1.2871,-8.0081,-15.7851,-22.4947,10.4242
-1.1142,-0.9853,-9.0097,-12.9016,-17.9029,16.8413
-0.5394,-0.8048,-8.6101,-10.7428,-16.3710,25.0002
0.6517,-0.3641,-7.9180,2.2548,-18.2060,24.2425
