ax,ay,az,gx,gy,gz
3.8681,-0.7288,-12.8824,-4.5814,-18.6737,25.6498
2.9500,-0.6969,-13.9257,-39.6754,-26.9617,13.6268
3.0774,-0.8197,-14.7241,-93.8901,-35.0643,1.0878
2.7881,-1.3958,-12.8374,-131.4776,-15.4019,-14.0168
3.7363,-0.6972,-11.9196,-141.6705,25.1283,-26.8125
4.2115,-0.2464,-11.9405,-164.2712,11.5405,-61.1123
3.6572,-0.0699,-10.1220,-181.3562,6.0498,-80.5340
3.9985,1.0204,-8.0902,-183.8128,-9.5379,-98.5879
4.6818,1.9037,-5.7546,-158.7429,-16.5409,-121.4081
5.4695,2.5030,-4.4449,-118.7164,24.6329,-142.1630
5.3708,3.3754,-5.9582,-79.0190,69.2967,-185.4881
3.5162,3.8867,-6.0358,-52.1812,86.5200,-213.6430
3.2077,4.3985,-5.2196,-11.8728,102.2661,-222.9488
2.8630,4.5215,-6.3096,11.7942,105.7073,-230.2761
1.5992,4.3975,-7.7663,12.9922,70.4501,-229.7355
-0.0793,4.3453,-7.6716,14.6490,41.7542,-207.8563
-0.8250,4.6184,-7.3112,26.2245,34.6777,-175.9696
0.0137,4.5773,-6.2197,50.5554,53.1889,-153.4618
0.1168,4.3822,-6.2955,86.4946,70.1218,-144.2533
-1.0898,3.5468,-7.6684,101.8901,62.9504,-123.3088
-1.2472,2.9695,-7.4194,117.3727,57.9474,-92.2996
-0.8747,2.3421,-6.0352,149.3696,74.2069,-60.6999
0.0832,1.8447,-5.5103,182.6268,69.2121,-39.7393
0.0696,0.8803,-7.4972,207.6608,33.5907,-29.3341
-0.9588,-0.5811,-9.6334,210.2457,27.7205,-10.9481
-1.9298,-1.1885,-9.4259,204.5305,13.7520,20.6869
-1.7313,-1.2516,-8.0668,208.3679,13.4205,46.8878
-1.1336,-1.8356,-6.6414,226.6697,-2.3904,61.9912
-0.3224,-3.0276,-6.9791,245.0366,0.4647,61.3834
-0.4462,-4.8504,-8.4908,252.9346,23.9812,62.6589
-1.5040,-6.2182,-11.3053,244.4443,45.6032,83.9032
-1.2593,-7.1774,-11.6557,221.0459,46.4511,101.8393
-1.3492,-7.5418,-10.5677,202.4213,68.1996,128.1110
-1.8086,-7.2949,-9.4173,173.7261,78.4547,144.9706
-1.0462,-7.3032,-8.6051,165.3433,74.4848,159.1812
-1.4027,-7.8598,-7.8036,159.6898,107.2136,168.4180
-1.2507,-8.7527,-7.6490,148.3785,152.1419,180.3963
