ax,ay,az,gx,gy,gz
4.0485,3.0502,-7.0792,-77.5999,-6.3290,-44.7860
5.3039,2.8382,-8.3231,-68.5178,-7.2139,-53.0905
6.5959,2.8345,-9.3397,-73.9660,13.0022,-88.6378
6.5509,3.2911,-7.7011,-63.8265,35.4605,-132.9174
5.1960,4.0780,-6.3922,-36.5687,36.4726,-153.0646
5.6107,4.2498,-6.4016,-13.8796,49.6040,-169.5526
5.1619,4.2837,-7.3735,-3.6296,77.2936,-205.7851
3.4331,4.3461,-6.5154,12.6295,79.2491,-201.9094
2.6703,4.4372,-6.0875,30.7316,83.6941,-187.6807
1.4764,4.4475,-6.3294,55.2148,85.4205,-159.3438
1.8918,4.3738,-6.7800,84.8502,69.9648,-118.4811
1.9159,3.9843,-7.4808,100.4350,52.7724,-96.7852
1.9773,3.5642,-7.8375,107.7740,39.1039,-78.2480
1.7482,3.1810,-6.6194,120.0510,36.8685,-47.1851
2.3399,3.0112,-6.1635,149.3394,53.9341,-25.8481
2.0711,2.1657,-6.8782,178.9479,59.2913,-10.5304
0.8605,0.7804,-8.5976,197.3460,44.5637,16.8490
0.5460,0.2119,-11.5466,190.8840,-9.7663,46.1615
0.2335,0.0145,-10.4810,162.9398,-50.2658,45.6860
1.2791,-0.0813,-9.3367,163.8333,-55.9695,50.3438
1.4675,-0.2866,-8.4780,169.1202,-14.3208,54.9789
0.7846,-0.8898,-12.3865,150.3605,-7.8227,55.3479
0.3688,-1.8243,-13.3855,105.5954,-5.7851,69.5722
0.0910,-1.9137,-14.0308,62.7060,-16.3543,92.4703
-0.2385,-1.5170,-12.3368,25.8313,-43.0245,123.9195
-0.1305,-1.6819,-11.6541,-3.4239,-68.7251,164.5876
0.0278,-2.1971,-12.5351,-23.3672,-52.6508,201.4213
0.4884,-3.0273,-13.6118,-68.2240,-54.6003,222.1042
1.3575,-3.4211,-10.6285,-98.8428,-62.4990,196.6996
1.2537,-2.5144,-7.9517,-73.1768,-28.0880,187.7716
0.4518,-1.8339,-7.3275,-53.7764,-20.4235,193.8711
0.1615,-1.6495,-8.8772,-34.3401,-21.7151,199.2484
0.5618,-2.1525,-8.5372,-32.0015,-24.7579,197.0046
1.1533,-2.0126,-7.7074,-2.7055,-3.9252,182.2873
0.6452,-1.6313,-8.1985,19.6144,6.9770,172.3431
0.9617,-2.1193,-9.4831,29.9704,-0.4444,168.8079
2.0587,-2.8379,-9.6571,36.9148,35.0837,140.3002
0.7893,-1.9856,-8.3058,46.4216,45.5531,116.6080
0.9816,-1.3497,-8.7132,61.9634,-14.8940,104.6945
1.7439,-1.7998,-8.6304,72.6993,-92.4730,90.0495
1.6639,-2.8433,-8.0903,94.9260,-126.2489,59.2287
0.3873,-3.3824,-7.9388,113.1265,-75.4545,48.6515
0.2136,-3.0754,-7.3224,131.2425,28.0402,41.6611
0.9398,-2.7688,-6.2127,152.7387,40.7274,37.1096
1.0443,-2.9666,-6.9727,172.2924,-11.6299,11.4428
0.5413,-4.8982,-7.7679,182.8121,-53.1990,-2.6472
0.5688,-6.2920,-6.7242,183.2467,-70.5396,-22.1201
0.6028,-6.6967,-7.1244,182.6609,-46.3762,-46.5166
1.1379,-7.7683,-8.0789,173.4503,-41.7354,-59.8483
2.1259,-9.2292,-8.4155,152.7999,-34.4517,-77.0386
1.6056,-10.3348,-8.4226,118.6625,-28.6455,-108.4927
2.2832,-10.3685,-8.3477,91.3815,-42.9837,-128.5945
2.4519,-10.2695,-7.8741,59.6636,-59.4364,-155.2643
3.0522,-9.9247,-8.8584,12.5665,-57.2581,-180.4590
1.9914,-10.1332,-9.4460,-36.3929,-107.9382,-196.2158
1.5233,-10.5505,-8.7606,-80.5719,-167.2586,-214.3709
1.4004,-10.3938,-6.2432,-100.2997,-188.9647,-241.6149
0.7118,-9.2883,-2.9537,-73.2507,-138.1307,-226.7868
-0.0924,-7.9091,-5.6760,-66.0287,-127.5563,-212.9210
-1.5851,-7.9049,-6.8889,-76.3895,-104.0031,-197.8364
-2.7870,-7.6929,-7.4464,-78.9525,-92.7770,-156.1352
-2.0176,-6.8796,-6.8902,-84.4821,-109.3842,-116.1928
-1.2533,-6.6136,-5.4788,-62.6580,-84.4654,-76.1917
-0.3786,-6.0928,-5.1391,-33.4906,-46.9015,-48.7694
0.2633,-5.6781,-6.0990,-10.3789,-13.1152,-31.9155
0.3026,-5.6341,-6.9217,2.2731,5.6386,-19.4775
0.8139,-5.3832,-7.1425,3.6403,-13.4527,-10.1452
1.4553,-5.4505,-7.3600,4.8587,-22.5241,-8.9608
1.6240,-5.9095,-8.0977,4.1212,-31.2334,-12.4936
0.9045,-6.1123,-8.7342,2.6476,-9.8736,-5.8069
0.7191,-5.9567,-8.3304,-2.7015,-8.1606,3.5130
1.1438,-5.4770,-7.8326,-1.0365,-13.0004,9.0337
1.6067,-5.3178,-7.7124,-0.6269,-11.6807,7.3526
1.7189,-5.3150,-7.9354,3.1608,-0.6186,4.2392
1.3774,-5.4147,-8.3411,1.1275,5.0473,2.4946
0.8871,-5.5005,-8.8310,-5.9616,-2.3924,7.1533
0.7784,-5.3474,-8.5188,-11.7326,-8.0921,10.6507
0.8591,-5.2000,-7.9825,-12.7644,-10.1071,14.0232
1.3177,-4.9367,-7.5156,-9.6345,-14.1542,15.9130
1.4972,-5.1000,-7.6525,-3.0785,-7.2085,14.4732
1.3209,-5.3292,-8.2026,-0.5121,-6.7630,12.8045
1.1787,-5.2677,-8.0901,-4.9702,-7.0915,9.4431
1.1740,-4.8744,-7.6765,-1.3491,-6.8850,10.8874
0.8955,-4.7611,-7.7252,2.2834,-1.9137,13.1058
1.0584,-5.0099,-8.2402,1.8321,5.5014,11.6704
1.1030,-5.2415,-8.6439,-0.8343,11.1492,9.1183
1.2044,-5.2962,-8.3781,-2.1902,15.2088,6.9648
1.1352,-5.1537,-8.0043,-4.0363,11.8506,5.8130
0.9578,-4.9615,-7.5358,1.8886,0.9468,9.7802
0.9334,-5.0580,-8.0294,5.6369,-3.1809,13.2132
