ax,ay,az,gx,gy,gz
1.3378,2.4384,-8.8605,52.7260,4.0845,-5.0081
1.4851,2.1711,-9.1558,52.6705,7.2136,-5.5260
1.4313,2.0331,-8.7085,55.8938,15.7924,-4.8469
1.7643,1.9033,-8.5392,63.0349,18.9950,-2.6801
2.2599,1.6124,-9.0309,66.0869,19.0470,-4.9369
2.4225,1.2230,-9.6241,63.0865,19.0677,-9.2488
2.2192,0.9124,-10.0215,54.3904,11.3207,-8.6463
1.8819,0.7110,-9.9232,45.7882,2.5062,-2.8852
2.2375,0.5819,-9.6824,42.3656,-1.0010,-0.3401
2.3502,0.4643,-9.3560,42.6054,1.3547,-4.5116
2.0406,0.4694,-8.9352,49.0229,7.0126,-5.9606
1.8713,0.3705,-8.9406,56.0019,3.5738,-3.3761
2.1671,0.0142,-9.6401,57.5987,0.5618,-2.4742
2.6218,-0.3638,-9.5380,58.1075,10.1111,-7.2152
2.5175,-0.3500,-8.9989,63.6628,18.2940,-10.7033
2.2945,-0.3762,-8.3609,73.4598,18.9788,-8.9721
2.2202,-0.7353,-8.4787,83.4272,10.8218,-4.9537
2.2799,-1.1116,-9.2171,88.3203,-2.3286,-1.7532
2.2000,-1.7223,-9.1565,88.9185,-6.7180,0.3632
2.2546,-2.0662,-8.3458,96.7853,-2.6059,3.9871
2.1582,-2.4162,-8.5274,104.5938,-12.0968,3.4902
1.8173,-2.7918,-8.9397,110.6932,-21.0152,5.1891
1.7796,-3.5175,-9.3170,111.8556,-15.8812,9.2369
2.3812,-3.9734,-9.1242,112.1917,-12.4476,6.9699
2.2576,-4.3219,-9.1657,110.6395,-16.6028,1.8109
1.5197,-4.4635,-8.7528,112.4243,-17.6239,1.8656
0.4913,-4.6985,-8.7412,113.4717,-22.5400,9.0526
0.3703,-5.1982,-9.2841,110.8116,-23.2737,22.8284
0.8581,-5.9331,-8.8777,102.7567,-6.9173,32.4823
1.1184,-6.1390,-7.6960,103.8929,8.4840,36.2392
0.8445,-6.3880,-7.8395,104.0922,-0.0977,32.5920
0.0123,-6.7839,-8.3347,102.2326,-0.7726,36.4514
0.1826,-7.3564,-8.5893,81.7254,0.7291,45.9951
0.5557,-7.5640,-7.9500,69.3932,12.9594,51.3519
0.3095,-7.5457,-6.4278,70.6399,23.0099,54.1577
-0.0248,-7.4319,-5.7242,80.2399,21.8246,53.5460
-0.4978,-7.8246,-6.7755,86.0828,6.1798,60.2570
-0.0838,-8.6378,-7.6750,73.5293,12.2621,66.7206
-0.3542,-8.7193,-6.7708,60.6107,26.9472,73.7179
-0.4243,-8.5904,-5.4601,60.5704,38.8174,78.2722
-0.1237,-8.5592,-4.8493,72.6930,33.8042,72.7927
0.2379,-9.2557,-6.3669,65.2514,20.4296,62.0144
-0.0187,-9.6135,-6.8410,49.4353,24.5070,56.7142
-0.5415,-9.3496,-5.7647,38.2532,37.5514,57.7665
-1.5679,-8.7403,-4.0427,39.4518,52.5621,65.6453
-2.4603,-8.4719,-3.7580,53.5003,61.6536,75.9875
-2.2161,-9.2383,-6.3678,48.0051,47.4846,89.5858
-0.4505,-10.4336,-7.7058,22.3001,54.0698,89.2221
0.3932,-10.6901,-7.0683,-8.8751,68.7442,80.0156
-0.5073,-9.8471,-5.0800,-22.9652,79.0928,72.3484
-1.0327,-9.3763,-4.6289,-24.2302,77.5626,65.7995
0.2163,-9.4252,-5.5530,-30.0021,67.3440,52.3196
0.2234,-9.6550,-5.2983,-46.7132,66.1442,40.3389
-0.2781,-8.9108,-4.8771,-52.8565,66.8892,31.0621
-0.7283,-8.3294,-5.0438,-52.2663,62.1278,26.6544
-0.0545,-8.0981,-6.5941,-57.0470,51.3823,15.6703
0.9138,-8.4095,-8.6171,-74.8389,32.5657,-9.8584
-0.1589,-8.6371,-6.3878,-100.2103,31.9490,-14.3259
-0.0181,-7.6788,-4.1696,-99.0518,33.7688,-10.5822
