ax,ay,az,gx,gy,gz
0.8447,1.6158,-9.7110,-2.0482,-9.1758,-2.3326
0.8336,1.6191,-9.7017,-2.2517,-7.6300,-2.9441
1.0050,1.6002,-9.6951,-3.2178,-6.0456,-4.0725
1.0242,1.6186,-9.7645,-3.6865,-6.6375,-5.6595
0.7725,1.6548,-9.7489,-2.5242,-6.5358,-4.2257
0.6147,1.6663,-9.7600,-2.6940,-8.5184,-2.7701
0.6499,1.7256,-9.7010,-2.2558,-8.2536,-2.5703
0.7186,1.7607,-9.5824,-1.7021,-8.0639,-4.4717
0.8123,1.7661,-9.3970,1.2157,-5.5439,-4.7646
0.6132,1.7768,-9.5220,2.3345,-5.6792,-6.1878
0.5398,1.7004,-9.6899,2.1896,-5.1430,-4.8995
0.4818,1.5663,-9.7682,0.9096,-3.0329,-2.9117
0.5480,1.6224,-9.5314,1.4540,-0.7182,-2.7531
0.5917,1.7399,-9.5726,2.4715,-2.2418,-2.6478
0.5744,1.7520,-9.8166,1.1061,-5.2083,-2.8166
0.2679,1.7972,-9.1991,2.7966,-1.3730,-1.0714
-1.0470,1.8814,-8.0140,14.0906,3.9041,11.0450
-1.4002,1.7363,-8.1246,32.5352,-0.7398,34.1582
-1.0624,1.3443,-8.4365,43.9203,-1.4074,48.7917
-2.1151,1.5197,-6.6099,72.0531,11.6035,73.4121
-3.2198,1.6241,-2.7941,133.7400,25.3364,113.5548
-1.8296,0.1499,-2.3968,214.8047,19.8000,144.0681
-0.4091,-2.1021,-2.2502,264.4243,18.1450,148.5801
0.9773,-4.3611,-2.0766,318.9393,29.4144,127.7842
-0.4564,-6.3780,-1.4284,362.5048,21.5911,126.0848
0.2612,-8.7999,1.2702,403.3576,27.7509,123.7649
1.8895,-11.9794,-1.7421,437.0616,33.0257,109.8181
3.3240,-14.5844,-4.6378,427.5857,36.9790,84.1222
3.1312,-16.8195,-10.7951,375.8510,59.2887,61.4644
1.5301,-17.6887,-14.2219,282.4771,100.8301,46.0427
0.8989,-15.6746,-11.1680,141.0930,102.5228,74.0043
2.3535,-13.0435,-5.3915,71.6037,75.8002,72.4433
4.3875,-10.7230,-2.7300,66.4617,41.7334,33.5941
2.3383,-10.5892,-4.3480,60.1588,14.1434,1.1930
0.2609,-10.3688,-5.1416,31.3507,-3.6201,-11.6568
-0.8221,-9.5291,-2.0572,13.1025,-5.2088,-3.3665
0.3029,-9.3938,-2.3427,22.1952,-7.7375,-2.4282
0.7247,-10.4609,-4.9229,2.1259,-20.2922,-22.4966
-1.3407,-10.5829,-5.9149,-33.9299,-24.7818,-42.7045
-4.0844,-10.2136,-3.9007,-61.0468,-23.4492,-12.0953
-3.2974,-10.8101,-5.8223,-80.3923,-13.1407,13.8660
-0.9816,-13.4247,-11.6122,-135.3374,-5.4143,18.6322
-1.9303,-15.8539,-14.3568,-232.0962,5.6680,-2.2312
-5.2728,-17.7886,-13.9620,-332.8056,53.4898,24.3238
-3.8970,-20.0971,-14.2170,-436.4777,93.1700,68.0179
-1.7878,-21.6035,-7.5728,-538.5469,140.6113,78.3645
0.1175,-19.9005,-1.5665,-573.0476,150.2572,58.4149
-2.6484,-14.2495,4.1111,-523.1316,133.2320,85.5021
1.4896,-10.6265,1.7972,-472.9242,85.3215,105.5944
5.3980,-4.5285,3.4152,-394.8675,63.7718,65.2453
4.7114,2.9866,8.6549,-272.1803,52.0785,42.9108
5.2478,5.8989,3.3631,-99.7448,27.7429,13.2453
4.0234,4.5969,-2.9408,-11.2833,19.7038,-16.7239
1.4702,2.8139,-8.5351,-4.2403,-0.0590,-19.2915
1.1488,2.6116,-8.8679,-12.1857,1.0130,-8.9753
1.6490,3.2169,-7.7987,1.1327,1.9453,-7.3152
1.9662,3.3108,-7.6787,16.9268,5.5195,-9.0571
1.3490,2.7372,-9.4521,23.5904,6.0565,-9.1180
1.5529,1.5841,-11.2987,10.0991,-0.5156,-8.0885
1.4871,1.5719,-10.3767,-3.2349,-0.1802,-3.2112
1.9882,2.0655,-9.0358,-2.8082,-1.4798,-3.2094
2.3893,2.3080,-9.3466,6.3391,2.0493,-8.3086
1.6672,2.2086,-9.7238,6.3118,1.2618,-8.4830
1.5066,2.1777,-9.6434,-0.9063,0.7377,-4.9276
1.9931,2.3671,-9.1676,-1.5866,1.7093,-3.8502
1.8813,2.6182,-8.7507,1.2616,2.5174,-7.2148
1.1740,2.6346,-9.0026,6.3990,1.5323,-2.6107
1.9443,2.3961,-9.5985,8.7802,4.2172,-3.7713
1.6947,2.3301,-9.7261,4.2906,2.7144,-4.4016
2.4714,2.1828,-9.5867,2.3778,-2.0983,-4.1467
2.1004,2.1732,-9.4102,1.1110,2.5197,-10.6203
2.2121,2.2817,-9.3659,8.7836,4.9473,-5.0615
2.5072,2.1030,-9.6076,8.2539,9.4536,-9.8885
1.6680,2.3316,-9.4876,6.0621,7.3268,-7.6364
2.0890,2.3246,-9.5379,7.2553,1.9286,-4.2536
1.7811,2.3477,-9.3908,6.2127,0.8344,-6.5745
1.4367,2.3886,-9.2775,6.1773,-1.4554,-5.7278
1.4495,2.3473,-9.3534,6.5425,-2.9144,-3.0727
1.6304,2.2098,-9.4989,9.0059,0.6355,-1.7634
1.5323,1.9822,-9.6720,7.2465,1.8794,-2.6333
1.5049,1.8398,-9.8591,4.9448,0.1405,-0.7035
1.6870,1.7918,-9.7837,2.1745,-1.4786,-0.1042
1.8228,1.8245,-9.7997,-0.4873,0.9961,-0.5401
1.8567,1.9701,-9.4546,10.1286,2.0650,-0.2921
1.6310,1.9906,-9.4095,4.1949,0.4672,0.7338
1.7055,1.9987,-9.5731,0.9910,1.0116,0.1726
1.6487,2.1115,-9.3615,-1.2110,1.2283,-0.1771
1.8969,2.1678,-9.4070,1.3268,2.7475,-1.0749
1.7421,2.1355,-9.3041,0.9456,0.4016,-0.7156
1.7295,2.1371,-9.3784,0.7519,0.6905,-0.6570
1.9637,2.1435,-9.3129,1.2648,1.2269,-0.6336
