ax,ay,az,gx,gy,gz
1.6933,2.2105,-9.5636,4.0272,29.5965,15.6034
2.2979,2.1381,-9.1877,7.2464,29.4188,8.8287
2.1149,2.2188,-9.2226,10.4662,20.0334,4.0257
1.9384,2.2451,-9.4814,8.7969,8.1646,2.4940
2.0525,2.1000,-9.7285,5.7303,4.2851,0.8308
1.8761,2.0884,-9.4551,4.3837,-1.1362,-0.3788
1.8894,2.0664,-9.2454,7.2618,-5.6956,0.1093
1.7766,1.9281,-9.4530,7.8591,-5.1073,0.1770
1.6683,1.7289,-9.6999,7.5067,-2.8080,1.0469
1.5935,1.7621,-9.6685,9.3053,-3.1997,4.7228
1.3477,1.7061,-9.2381,10.8639,-3.3556,7.8291
1.0164,1.5974,-8.4128,22.0631,-1.6474,17.0310
0.0836,1.7040,-7.1422,42.8725,-4.4660,32.9995
-2.4285,1.7665,-5.2708,86.6409,-23.8797,63.5039
-3.5693,1.5753,-3.6963,155.7712,-24.4811,85.4195
-4.4381,0.3438,-4.6892,212.7386,-24.7205,97.5535
-5.8960,-1.6562,-4.3668,255.9734,-17.5662,126.4478
-6.1678,-3.5584,-5.3738,282.7436,-25.5517,173.6860
-4.2618,-6.3352,-7.1778,293.6058,-20.2151,207.3175
-1.0138,-8.8405,-12.0738,261.3856,0.7062,208.7290
-0.6493,-9.1429,-12.7972,217.3761,41.9902,207.3097
-2.2015,-9.0874,-10.3216,168.5494,62.8842,221.4967
-1.8624,-9.8347,-9.4433,144.2749,69.8911,246.5296
0.4653,-10.9677,-9.1485,114.0060,83.2160,245.6157
3.5959,-12.2137,-10.8668,74.5242,100.1928,214.9899
6.1669,-12.4877,-12.4639,23.4527,134.1331,148.0542
5.2305,-11.8244,-11.9525,-37.8357,138.1542,75.8594
3.2587,-10.1198,-12.2158,-79.7129,144.1375,25.3015
3.3098,-10.2685,-13.7844,-152.0527,117.2676,-9.3559
4.4683,-10.9559,-12.9101,-226.1026,122.0868,-44.3461
3.9639,-9.9500,-11.6950,-279.8855,120.8853,-94.6418
1.7520,-7.9073,-6.8143,-291.0009,108.4794,-82.5372
2.6094,-6.2243,-6.2468,-286.7833,67.3383,-76.0350
4.0657,-4.6528,-4.7993,-261.3337,46.4167,-82.0882
5.9476,-3.0160,-4.7016,-223.6008,59.1663,-115.8125
6.2555,-1.2843,-4.4755,-167.4089,79.4967,-145.8794
2.5975,0.5430,-5.8695,-130.5098,94.7510,-162.4789
1.0556,1.7685,-6.0697,-108.4522,76.4591,-134.9017
2.3410,2.5990,-6.6652,-98.4957,58.5175,-115.9632
3.9589,3.3560,-6.4439,-82.4377,57.8274,-117.5738
3.8160,4.0577,-5.1428,-58.6834,50.5563,-109.3215
3.5920,4.7057,-4.5213,-37.9784,43.8699,-102.8348
4.0273,4.9434,-3.3779,-10.3100,49.2597,-92.7093
4.5838,5.2454,-2.0124,24.0067,58.4429,-86.0252
5.3181,5.4952,-1.1838,70.6205,60.7481,-88.8870
4.5556,5.1106,-0.3268,117.7017,42.9516,-90.8265
4.4626,4.0902,0.3052,191.8591,35.5335,-87.1306
4.8521,1.8371,0.8160,272.7437,24.8688,-86.2079
3.8602,-1.6239,2.7452,355.6306,-7.1921,-90.3928
4.7132,-7.3088,3.2651,457.6906,-45.8697,-150.0112
3.5110,-13.3023,0.0429,531.5537,-82.6702,-206.1865
2.4622,-16.7474,-10.2467,522.1668,-138.5332,-225.5033
-1.5138,-18.0116,-17.7381,422.5033,-110.8152,-201.5783
-3.3321,-14.1088,-20.2376,218.8511,-58.2287,-137.2666
-3.9086,-11.6799,-15.8351,123.7851,-33.2169,-46.8543
-1.3804,-10.4599,-11.8531,73.0624,-17.1536,2.9441
1.8673,-9.6057,-10.5223,43.2285,-7.7697,10.3668
3.3584,-8.9978,-8.8085,27.6912,-19.0406,-7.8381
1.9923,-7.7733,-8.0113,2.3739,-29.7630,-7.1578
1.5582,-6.8078,-6.7692,-2.6417,-37.9069,-6.3813
1.4085,-6.4957,-6.6265,1.7269,-33.8557,-3.3327
1.7293,-6.4666,-7.7886,-0.4968,-28.5769,-0.4338
