ax,ay,az,gx,gy,gz
-0.7142,3.4155,-9.2231,3.8133,1.8354,-1.1187
-0.5042,3.2313,-9.2396,2.9887,1.8089,-2.4611
-0.5820,3.2762,-9.4190,0.0896,-1.0255,-3.8803
-0.7973,3.3084,-9.1389,-0.0524,-2.4905,-2.9277
-0.8398,3.3011,-8.9928,2.5043,-1.2611,-3.2230
-0.9604,3.3500,-9.1768,3.9009,-1.0248,-3.2141
-1.1352,3.3666,-9.2586,2.8971,-1.5208,-1.5246
-1.1586,3.3127,-9.1125,2.9192,-2.0554,-0.0095
-1.2775,3.1385,-8.9996,3.1387,-4.4176,0.7199
-1.6648,2.9482,-9.0440,2.0459,-7.2120,2.7803
-3.2106,2.8149,-9.6755,-2.3508,-14.4353,11.4396
-6.3355,2.5226,-11.3531,-15.3958,-17.0986,39.7522
-6.2447,1.7234,-11.5393,-29.5216,-12.6370,62.0602
-5.8080,1.6965,-10.9536,-34.3413,12.1932,60.9894
-7.1500,2.5819,-10.8156,-34.3202,40.0699,66.8012
-8.0758,3.2569,-10.6282,-36.2927,52.9319,83.9497
-6.7498,3.2114,-9.7641,-45.0435,41.7805,119.7707
-4.2110,2.5940,-9.4491,-49.8319,34.4353,139.5447
-1.5295,2.4203,-9.4102,-52.0744,49.9735,138.0979
0.8542,2.8065,-7.8272,-48.3303,69.5168,135.3727
2.6038,2.8132,-6.3271,-43.6795,71.6450,138.6717
4.8530,2.4644,-5.3412,-39.8481,54.0310,136.8654
6.6960,2.2420,-4.9835,-35.2468,35.2213,123.5445
7.4840,2.4186,-5.0948,-31.5615,25.8826,100.2471
7.3394,3.1113,-4.6578,-25.9647,26.4659,85.2453
7.6795,3.9834,-3.1700,-13.1587,26.0658,72.8698
8.4977,4.2986,-2.0479,6.8992,15.4118,56.9030
9.5696,4.0409,-1.6417,33.9730,0.4671,36.8941
9.5466,3.8403,-2.5318,60.5507,-8.8510,17.4685
9.7276,3.1727,-3.2692,79.3445,-18.3328,-2.8628
10.8081,2.0513,-3.7500,96.0949,-28.0484,-31.9842
10.7972,1.1671,-4.9469,107.5223,-35.6231,-62.0320
8.7643,0.7807,-7.0137,113.3757,-43.3154,-93.8393
6.1113,0.7191,-8.8071,111.0263,-41.9505,-108.0124
4.5802,0.6370,-9.1058,102.7157,-36.0968,-109.0154
3.9105,0.6677,-9.3139,100.6312,-36.0016,-115.7788
2.8747,0.5561,-10.2208,101.0663,-37.2702,-124.4127
2.2954,0.1370,-11.1609,98.0783,-23.5712,-131.4728
0.7884,0.0135,-11.3015,84.8773,-12.5991,-130.2778
-0.6641,0.2439,-11.2941,73.4712,-23.5332,-116.5258
-1.1354,0.2952,-12.1181,65.6453,-27.7151,-105.0269
