ax,ay,az,gx,gy,gz
1.6406,2.6064,-9.7866,-8.1245,-27.9694,-3.8793
1.7381,2.7941,-9.6972,-10.6965,-31.6719,-2.7587
1.9210,2.8458,-9.8835,-13.8273,-47.1382,-5.9376
1.4520,2.7597,-9.3525,-17.8548,-49.6252,-10.0684
0.8044,2.9329,-9.0087,-12.2500,-30.7630,-8.3402
0.5438,2.9817,-9.3502,-11.4951,-26.4613,-5.8402
0.5208,2.8599,-8.9934,-10.0988,-16.6994,-5.7728
0.0967,2.9699,-8.6208,-5.9607,2.8216,-3.5121
0.1787,3.1952,-8.6109,-1.4903,6.5847,-1.4746
0.2430,3.2445,-8.8491,0.7520,4.7101,-1.2961
0.3838,3.2670,-8.8055,0.9699,1.4776,-1.6888
0.5667,3.2587,-9.0302,1.8995,-5.4565,-3.6573
0.6798,3.2784,-9.1686,0.4149,-11.6294,-5.7050
0.4395,3.4102,-9.3965,-1.3560,-18.9325,-5.5925
0.0010,3.3502,-9.4238,-1.0490,-28.7085,-5.7164
-0.5942,3.2082,-9.7488,-2.3599,-41.7443,-5.5128
-2.2084,2.8981,-10.2988,-4.3988,-35.2983,-1.8913
-4.5651,2.4319,-11.0421,-12.2910,-26.6642,9.4544
-6.9292,2.0821,-11.4963,-23.8607,-18.1710,30.1535
-8.6564,2.3838,-11.3399,-29.2650,12.1408,55.8386
-8.3092,2.5816,-10.8396,-30.5301,28.9642,84.6034
-7.2807,2.5854,-10.7184,-33.5203,34.1828,102.8766
-6.3845,2.6042,-10.0737,-38.8826,42.0335,121.3164
-4.2673,2.4763,-8.7798,-42.1121,43.7663,142.4357
-0.1631,2.1401,-6.4814,-35.7683,35.3097,153.7049
3.9423,1.5885,-5.2153,-24.3931,15.0436,150.3071
7.3738,1.0896,-5.0602,-17.8861,8.7924,129.6515
8.5893,1.2138,-5.4999,-16.0558,6.0100,95.1325
9.3698,1.2401,-5.6057,-10.9441,5.7881,79.7963
9.5679,1.3716,-6.4143,1.8375,19.6507,61.8085
9.6237,1.7006,-6.9233,8.0190,15.5989,42.4706
9.1733,2.0562,-7.5753,7.9496,7.3274,22.0898
7.7868,2.4110,-7.3535,6.2361,-0.9794,8.6278
6.9585,2.9584,-6.7553,16.5128,6.8004,-1.7864
6.3667,3.4356,-7.4480,26.6710,13.0570,-10.9456
