ax,ay,az,gx,gy,gz
-3.4376,-2.1577,-8.8345,0.0863,-0.1930,-0.4915
-3.4262,-2.1760,-8.8371,0.1149,0.5803,-0.2306
-3.4274,-2.1862,-8.9131,0.1263,1.0145,-0.2532
-3.4336,-2.1787,-8.9117,0.0887,1.3137,-0.3044
-3.4476,-2.1671,-8.8707,0.1158,1.5170,-0.2405
-3.4273,-2.1740,-8.8170,0.1267,0.2492,-0.2572
-3.4220,-2.1594,-8.8187,0.2153,-0.2552,-0.2638
-3.4344,-2.1623,-8.8625,0.1662,0.8506,-0.2665
-3.4335,-2.1692,-8.8858,0.1045,1.4592,-0.2675
-3.4389,-2.1777,-8.8720,0.1222,1.5328,-0.1836
-3.4353,-2.1782,-8.9183,0.1292,1.7728,-0.1503
-3.4397,-2.1871,-8.9080,0.1320,1.8683,-0.1791
-3.4414,-2.1704,-8.9471,0.0909,0.8526,-0.3171
-3.4449,-2.1523,-8.9540,0.1167,0.8699,-0.3719
-3.4233,-2.1681,-8.9193,0.1270,0.9190,-0.3095
-3.4406,-2.1513,-8.9400,0.1732,0.5170,-0.4111
-3.4302,-2.1504,-8.9368,0.1495,0.3992,-0.5779
-3.4405,-2.1530,-8.9239,0.1400,0.6474,-0.7286
-3.4417,-2.1626,-8.9448,0.1363,0.8726,-0.5778
-3.4393,-2.1780,-8.9473,0.1769,1.1729,-0.3071
-3.4470,-2.1812,-8.9397,0.0667,1.5032,-0.4944
-3.4328,-2.1681,-8.9654,0.0649,1.0024,-0.5689
-3.4214,-2.1830,-8.9757,0.0643,1.0138,-0.7250
-3.4370,-2.1688,-8.9711,0.0218,0.5126,-0.5764
-3.4374,-2.1603,-8.9693,0.0050,-0.1926,-0.6859
-3.4319,-2.1598,-8.9830,0.0825,0.0326,-0.4765
-3.4152,-2.1538,-8.9510,0.0713,0.2486,-0.4775
-3.4173,-2.1543,-8.9642,0.0668,-0.3819,-0.5622
-3.4325,-2.1516,-8.9752,0.1071,0.1259,-0.4695
-3.4356,-2.1563,-8.9738,0.1232,0.5808,-0.3904
-3.4369,-2.1668,-8.9704,0.0874,0.4668,-0.3590
-3.4288,-2.1595,-8.9661,0.0732,0.6743,-0.4729
-3.4198,-2.1537,-8.9500,0.1097,0.8833,-0.3497
-3.4277,-2.1629,-8.9407,0.0821,0.5450,-0.4271
-3.4309,-2.1637,-8.9457,0.1132,-0.0533,-0.5421
-3.4321,-2.1611,-8.9592,0.1256,0.1723,-0.5036
-3.4470,-2.1630,-8.9502,0.0462,0.1778,-0.4883
-3.4472,-2.1579,-8.9610,0.0990,0.0957,-0.6087
-3.4415,-2.1531,-8.9365,0.0778,-0.7378,-0.6144
-3.4364,-2.1598,-8.9613,0.0694,-0.0579,-0.7010
-3.4343,-2.1624,-8.9481,0.1082,0.3812,-0.6933
-3.4421,-2.1462,-8.9573,0.0815,-0.1184,-0.6481
-3.4251,-2.1599,-8.9552,0.0708,0.1464,-0.5458
-3.4298,-2.1510,-8.9255,0.0244,-0.4647,-0.5894
