ax,ay,az,gx,gy,gz
1.0675,-1.6639,-9.4428,12.3867,-1.4166,-1.8488
1.0173,-1.8557,-9.6699,9.6875,6.3314,0.9995
0.8677,-1.7187,-9.3079,11.2267,11.1423,6.1791
0.9350,-1.6268,-9.5701,16.8968,11.9606,13.3820
1.1289,-2.0195,-10.7118,19.1108,0.1055,16.6273
1.0274,-2.5850,-11.5896,7.1366,-5.9602,16.2747
1.1800,-2.8733,-11.2445,2.5829,-0.7871,15.4601
0.8835,-2.9564,-11.0668,2.6678,8.4785,15.2624
0.9643,-2.9030,-11.5205,-0.3753,17.5601,16.6590
1.1204,-2.9509,-13.4732,1.1114,15.8208,10.5552
1.9172,-3.3676,-12.8958,-8.9605,1.8943,11.2035
2.6060,-3.4095,-12.4903,-15.4969,-4.7006,6.4879
2.6582,-3.2936,-12.6661,-21.7223,-3.4891,-0.6990
2.7020,-3.2792,-13.2173,-35.5793,-5.7889,-8.7427
2.3276,-3.3023,-13.7132,-51.4190,-17.4095,-7.6020
2.9825,-3.3143,-13.7635,-72.3468,-32.6123,-1.5003
4.5311,-3.2039,-13.2476,-94.2453,-39.2092,-11.9698
5.1243,-2.7392,-12.2211,-108.1847,-39.1366,-30.9294
4.6197,-2.2230,-10.5275,-111.3708,-33.5020,-50.1902
3.6006,-1.3750,-8.4907,-107.1593,-33.5782,-58.1068
3.1231,-0.5564,-7.0032,-103.1654,-55.7362,-59.4443
2.6132,-0.0030,-5.5036,-95.2963,-62.4030,-57.1948
1.8744,0.5312,-4.2298,-83.8621,-59.4079,-49.2610
0.8947,1.0838,-3.7720,-65.2774,-50.3766,-38.6019
-0.3798,1.1538,-3.2527,-48.6523,-58.0367,-28.5022
-1.9473,0.8474,-3.2103,-26.3163,-63.8663,-6.6552
-2.3433,0.3654,-4.3057,-5.6698,-58.2199,7.8961
-2.7487,0.0093,-5.3697,3.3881,-49.5667,13.8544
-3.7831,-0.0632,-5.6374,9.4789,-24.8391,18.7540
-4.5837,0.1759,-5.9486,15.0213,4.0084,28.6695
-3.5883,0.7090,-5.9340,20.9777,26.8243,30.9288
-3.6849,0.8203,-5.3347,32.4095,49.0104,31.1534
-4.2853,0.9424,-5.1337,50.2346,79.1227,42.8756
-4.3253,1.1062,-6.6414,59.5608,83.1380,55.7585
-3.1887,1.2031,-7.0280,60.4899,86.0422,67.4595
-2.0362,1.0976,-6.1301,64.1049,88.7151,72.5789
-0.6901,1.1622,-6.7151,75.7431,90.7902,82.4553
-0.3822,0.7182,-6.9738,84.7571,93.0910,91.4006
0.4463,0.2160,-7.5205,88.2173,88.9066,92.7681
0.4359,-0.5775,-8.0464,93.2609,84.6284,97.3163
2.2356,-1.2505,-8.5322,92.4438,80.9874,106.2489
5.9917,-1.6940,-5.9362,105.4374,85.1444,92.5225
3.7229,-2.3460,-7.0990,107.9942,92.4884,101.3069
3.9152,-3.6139,-8.7863,113.8164,68.1408,133.8420
6.5130,-5.0548,-10.6737,112.3397,42.2684,133.3843
8.2958,-6.4811,-12.0758,81.6585,6.6853,109.9787
8.8236,-7.2100,-12.3715,52.6338,-5.1967,73.9020
7.0771,-7.4481,-12.4344,33.3722,-12.2004,52.0873
6.7280,-7.3383,-12.4825,9.1442,0.8184,39.0663
7.5457,-7.1707,-12.0608,-5.7644,1.1092,25.7930
8.6981,-7.1991,-11.6192,-19.6622,-1.6411,-11.1413
8.7330,-7.1787,-11.6308,-35.1811,-0.0801,-36.7533
7.3292,-6.5827,-11.0476,-53.3258,-9.9539,-45.3002
6.5430,-5.2535,-9.9050,-67.7948,-36.8952,-39.0912
6.6451,-4.2463,-8.1768,-65.6702,-57.3510,-39.7818
7.3658,-3.9695,-7.8118,-60.1043,-70.6743,-54.2183
8.2173,-4.3146,-9.4791,-76.3504,-90.9380,-81.2471
7.4151,-4.4779,-9.5748,-100.0952,-98.5370,-122.7273
5.0154,-4.1970,-8.0223,-105.4546,-70.1183,-146.8605
3.1587,-3.0710,-7.1280,-98.2302,-61.2554,-156.2942
1.4287,-2.1245,-7.2707,-82.7956,-75.1360,-153.7677
0.4234,-1.8574,-7.8000,-67.9720,-91.3224,-143.9536
0.7351,-2.0479,-8.3247,-62.9589,-105.1807,-142.0718
-0.8755,-2.0660,-7.0322,-44.6952,-80.5591,-136.1388
-2.3549,-1.5978,-6.3047,-16.1858,-38.4771,-120.4173
-2.9637,-1.3914,-7.2888,1.4800,-24.8522,-106.7860
-3.5401,-1.7875,-8.7351,5.0107,-26.4697,-84.5874
-3.6168,-2.0230,-8.9676,2.3271,-18.8102,-70.6129
-3.6761,-1.9380,-8.4896,8.9303,-15.5939,-55.5271
-3.3482,-1.7255,-9.3252,8.3122,-16.4638,-49.3983
-3.5375,-1.7649,-9.6836,12.0704,-17.9479,-42.7027
-3.6820,-1.9131,-9.5986,7.5807,-17.1897,-30.3025
-3.6127,-1.9346,-9.1440,6.1736,-14.4855,-17.5713
-3.4094,-1.9201,-9.1678,6.5832,-9.7427,-9.5974
-3.1527,-1.7933,-9.0159,9.3593,-1.9128,-0.9455
-2.9267,-1.8265,-9.3012,11.1382,-0.3147,3.2135
-3.4303,-2.1912,-9.9219,8.6428,0.9534,10.0103
-3.9563,-2.4083,-10.1717,4.3202,9.5925,24.6847
-3.6210,-2.4458,-9.9974,5.4242,16.9075,40.3860
-3.8853,-2.6537,-10.3862,4.6834,25.5502,52.0283
-4.6560,-2.7883,-10.6504,-1.3014,37.6714,68.7150
-4.8532,-2.5278,-10.4616,-5.9165,47.4256,90.4855
-3.9462,-2.4040,-10.2827,-8.9329,62.4759,108.5466
-3.0349,-2.1731,-10.2087,-14.3057,79.5070,118.2618
-2.8539,-1.8047,-9.8680,-22.1335,86.1570,125.4570
-2.8424,-1.6177,-9.3348,-24.4472,85.7683,149.0146
-1.9560,-1.7768,-8.2150,-23.0076,82.0310,175.2469
1.1081,-2.1109,-7.9193,-20.8331,84.4216,181.5961
5.9637,-2.3620,-8.3116,-23.2976,95.4462,149.9405
6.3830,-2.7875,-7.8540,-27.9029,104.7219,117.7463
5.7631,-2.5534,-7.3520,-35.3410,101.3738,109.1093
7.5076,-2.2153,-6.8210,-36.1088,88.2403,98.6762
10.2562,-2.6542,-6.9554,-32.3681,75.7230,66.1595
12.3267,-3.0507,-6.9859,-35.8953,61.5543,24.4766
11.6348,-2.7158,-6.5600,-31.1452,69.1091,-21.7384
