principal1,principal2,principal3
0.01865720173214556,-0.0324536347910943,-0.008675246230882552
0.02839486584950609,-0.0379639636391437,-0.006365362156620196
0.0217984188744562,-0.0521767874588514,-0.006716378113157753
0.006739766700210352,-0.06258591315953062,-0.009629395563564028
0.004272707759879978,-0.059474572458968096,-0.009857577277109633
0.011999373405452929,-0.05427560279588623,-0.00965659271319886
0.01623526599309589,-0.05604144830683767,-0.009661150013462209
0.002073271040482061,-0.06089665091138955,-0.009720775950508907
-0.022756365773540354,-0.05570996021184307,-0.009027014148273848
-0.037337117952293435,-0.040466407478873284,-0.009602243509811986
-0.030992778765341105,-0.025437376408948633,-0.011377689233245825
-0.01688478986204577,-0.022085581694887526,-0.012459245714222213
-0.019776467347722766,-0.01903182621403801,-0.013397007280866232
-0.027816807973267063,-0.004667534525119083,-0.011796685311135138
-0.031906072271046665,0.005781850456040216,-0.012449001769914331
-0.03236008257249139,0.012264912984347422,-0.014983502310334643
-0.026296755681011447,0.01743845628478102,-0.01873631295139813
-0.011475169218387106,0.02808491550108841,-0.017524494402155356
-0.0033453736217326866,0.039882260617750846,-0.01260264879960039
-0.0015168517279179063,0.04345564692229047,-0.011289487851979075
0.004036867343929037,0.04898848728233217,-0.011853949987292273
0.02092736310065874,0.06040436197406295,-0.009543792802126272
0.031678842208205035,0.06775794007372592,-0.008048502397634594
0.0416212131757354,0.07118425021062588,-0.007757405818623792
0.06095632798930643,0.0686361105109832,-0.007903412269523267
0.0743148770133314,0.06993359903111013,-0.004648412950220814
0.08178758800593859,0.07000968059302777,-0.001292104452109544
0.0819775284049497,0.06505003899759967,0.0005307667276592637
0.07991117234224722,0.06067050071822013,0.003239327640771528
0.07690915479437253,0.05861527770287614,0.007140727012390495
0.07421397630909933,0.05377728454677581,0.01015014965710467
0.0682140891100316,0.04953044826642578,0.012384178316682279
0.06751341701134908,0.0441124364733451,0.01650879006211018
0.07166086088534875,0.032273607094615644,0.018162887379220248
