ax,ay,az,gx,gy,gz
-0.8427,2.1976,-9.5667,-0.0202,-0.4375,-0.1813
-0.8838,2.2396,-9.5146,0.0725,0.3145,-0.5286
-0.8252,2.2707,-9.4881,0.9945,1.3723,-2.3528
-0.9921,2.2139,-9.4603,1.9514,0.8239,-0.6761
-0.9720,2.1308,-9.5558,1.5735,1.0692,0.7496
-0.7047,2.0776,-9.5016,1.4653,-0.3083,0.3475
-0.5782,1.9238,-9.4138,2.6024,-0.8564,-1.4562
-0.5797,1.8684,-9.7217,1.7482,-2.7183,-2.0475
-0.6293,1.9069,-9.5792,-0.0668,-3.7962,-2.2827
-0.8997,2.0432,-9.6752,0.0118,-3.8037,-1.8284
-1.2349,2.2098,-9.6269,1.2233,3.5271,-0.1303
-1.8899,2.3770,-9.7143,2.5061,8.7620,4.0857
-2.1418,2.4435,-9.8039,2.0893,6.7145,11.2846
-2.8875,2.2942,-10.0037,0.4904,10.6203,22.2835
-3.0142,2.2434,-9.5531,1.8351,25.7039,41.7909
-2.4163,2.2319,-9.6360,-0.7066,32.3377,59.6682
-1.3946,2.2561,-10.7956,-2.8137,28.4021,71.7969
0.4670,2.2686,-11.9832,-13.1776,8.5019,72.1551
3.0779,2.2333,-12.9916,-41.3255,0.8788,56.4079
4.5835,1.7639,-12.6005,-77.2660,-0.8477,31.2600
8.1966,1.6492,-13.8049,-111.1229,-22.3136,-9.6404
9.0464,1.0791,-12.5840,-154.3084,-40.5907,-61.1077
9.4796,0.9042,-7.9028,-165.8857,-56.3347,-108.0969
9.9516,1.2264,-5.8270,-144.0654,-54.5909,-175.0947
7.2695,1.0262,-4.8656,-113.1715,-49.3451,-233.4476
3.3237,0.4509,-5.0536,-91.9860,-26.1839,-268.9726
-2.4879,-0.1008,-3.7511,-61.8504,-18.3593,-268.2715
-6.5666,0.2733,-4.2846,-31.0618,-21.1888,-227.2777
-8.9041,0.8948,-4.8340,-11.2670,-48.2777,-172.8229
-7.5577,1.6290,-4.7990,1.5404,-64.2824,-136.4886
-6.2728,1.8894,-4.8773,11.3569,-59.2284,-133.4959
-6.3437,1.7885,-4.7788,17.3280,-34.3312,-137.7843
-7.0000,1.7915,-4.4428,26.0260,-12.7499,-143.2418
-10.4683,1.3375,-4.1996,43.5221,-4.4159,-123.6228
-10.8599,1.2951,-5.1229,57.6065,-14.7136,-79.7802
-8.9727,1.4166,-5.9282,65.4022,-19.1482,-61.8300
-8.1268,1.4245,-6.4072,62.8562,-9.3220,-51.5268
-7.2686,1.3298,-5.8975,60.3259,6.8950,-53.7494
-9.7943,0.7129,-5.7293,68.4652,9.6384,-28.6286
-9.9376,0.4184,-6.4692,77.3937,-0.0177,-4.2187
-9.4558,0.1485,-6.5071,87.5213,-12.7108,13.4596
-11.3186,-0.3709,-7.1504,92.8997,-12.5770,39.9659
-12.2212,-0.8830,-7.5562,91.7943,4.1246,89.8786
-11.3268,-1.1934,-7.7954,87.9405,15.9964,135.3220
-10.4494,-1.4667,-8.0491,85.8592,44.4492,168.3658
-10.0225,-1.9530,-7.6746,79.0882,66.9816,209.7526
-7.4668,-2.2761,-7.1222,93.6747,85.3459,232.1628
-6.5997,-2.9665,-7.2511,97.3290,81.9894,270.6673
-1.5204,-3.0079,-7.0171,109.3199,79.8110,278.7383
1.0192,-3.0906,-5.7166,138.5368,80.8408,241.6563
1.4534,-3.5701,-6.4757,163.2698,75.5185,220.1160
5.1243,-3.3633,-7.6076,190.2228,55.8673,164.1291
4.1155,-3.5634,-10.1096,194.9620,46.7417,123.6447
3.2127,-3.6805,-10.0303,186.8165,48.8008,91.2673
3.0465,-3.8250,-11.1513,184.1656,28.0403,56.1729
3.4616,-3.9488,-12.1074,163.3013,17.1668,28.1318
3.4453,-4.1969,-11.4390,142.7346,6.8975,0.7899
3.2947,-4.6154,-11.5188,123.2979,-3.9321,-35.1671
3.1858,-4.9232,-12.3487,102.7514,-4.3635,-61.8654
2.8024,-5.2848,-11.3419,81.5103,7.5191,-94.1524
3.1196,-5.6448,-10.8635,72.8059,5.7985,-123.5631
2.5542,-5.9753,-12.4251,46.9619,-8.2892,-157.7722
2.6895,-6.1731,-13.8619,14.0456,-41.2485,-194.7335
2.1670,-6.6264,-13.8948,-32.3904,-92.0006,-224.2760
0.5097,-7.4118,-11.7582,-74.5117,-136.9351,-244.9659
-2.0832,-7.9578,-10.6113,-108.4675,-120.7163,-237.7299
-4.1638,-7.7024,-10.2299,-121.8517,-72.8738,-195.6954
-5.0838,-7.0332,-9.5307,-136.7025,-51.8148,-166.1574
-7.7378,-5.8246,-7.7397,-127.8597,-27.1666,-95.9034
-7.0274,-4.4764,-6.9665,-98.4203,-31.3103,-44.0945
-5.1398,-3.3551,-7.1286,-68.7096,-31.5682,-9.6980
-3.7519,-2.5804,-8.0114,-55.0757,-28.4676,-1.7442
-3.1795,-2.0993,-7.7576,-47.0378,-15.2217,-0.3919
-2.9114,-1.8329,-6.7518,-31.4903,-3.0812,0.0619
-2.8451,-1.6319,-7.2045,-10.2995,-0.3581,2.9821
-2.4614,-1.5461,-8.0186,0.7452,-2.5200,5.0291
-2.3952,-1.5264,-9.1522,-1.0138,1.6354,7.1080
-2.1008,-1.5416,-8.8714,-0.3650,-1.0524,7.7244
-2.3525,-1.5793,-8.9527,3.3493,1.5450,11.5101
-1.7928,-1.5396,-9.0599,3.2256,-0.6669,12.3421
-1.3339,-1.5267,-8.9672,6.5482,-5.1296,9.9756
-1.2175,-1.5359,-9.3510,6.2264,-6.8631,7.5167
-1.0387,-1.5540,-9.6852,5.3819,-6.9627,2.9558
-1.4545,-1.6707,-9.5848,3.7393,-3.1248,6.2409
-1.1589,-1.6739,-9.6947,3.2964,-2.8622,5.0613
