ax,ay,az,gx,gy,gz
1.1996,1.1525,-9.6715,6.2291,-4.9806,-2.9660
1.0987,1.1379,-9.6917,6.5631,-5.1179,-3.5755
0.9260,1.1350,-9.8669,6.1059,-5.1725,-3.3122
0.8227,1.1166,-9.9107,4.4488,-4.2670,-1.9430
0.8220,1.1150,-9.6572,4.3796,-4.9182,-1.1032
0.9369,1.1115,-9.5766,6.4173,-6.4418,-0.7690
0.9222,0.9545,-9.8268,8.2817,-8.8182,-3.8393
0.4812,0.8114,-10.0158,8.2228,-8.9630,-6.5782
0.0205,0.7313,-9.9411,9.0423,-9.6949,-7.9209
-0.6239,0.7283,-9.9546,13.2459,-11.4192,-7.6965
-1.2174,0.5456,-10.5507,14.6656,-13.1589,-5.7106
-2.1711,0.2914,-11.0385,11.4794,-7.1496,0.3481
-3.1037,0.2449,-11.0050,6.8397,3.9238,15.4453
-4.0195,0.2149,-10.8159,3.9822,16.0429,32.2421
-4.3608,0.2289,-9.9627,7.6079,29.3366,50.0103
-4.8250,-0.1689,-10.9198,13.8132,42.0019,69.6822
-4.4998,-1.6786,-13.9027,-9.2594,67.7781,95.9702
-2.7221,-2.3744,-13.8274,-62.8636,84.3984,118.5685
-2.7150,-1.6946,-11.4836,-98.8173,86.6702,139.0664
-2.4615,-1.0524,-9.7529,-113.8815,63.6341,173.6068
0.5670,-1.1859,-8.1191,-116.6300,41.6132,192.1127
4.0916,-1.2880,-7.4806,-112.8344,40.9438,183.7970
6.6437,-1.0664,-7.1747,-111.0713,41.5625,157.3491
7.9185,-0.2204,-5.1022,-104.5534,29.3751,132.1162
8.9357,0.7243,-3.3007,-76.3341,22.8821,107.8303
10.2798,1.6562,-2.1805,-31.6827,12.4170,75.2389
11.3131,1.8772,-2.2938,3.4906,5.3448,39.8906
10.9578,1.7144,-2.5810,37.0423,-5.7722,7.5338
9.7647,1.4365,-3.7498,59.9174,-26.9283,-10.4826
8.6992,1.2913,-4.4714,74.3298,-51.2358,-21.2758
8.5058,0.9165,-4.1447,88.9154,-64.3635,-31.9347
9.2386,0.3842,-4.2741,109.6813,-69.4183,-57.3339
9.3716,-0.4846,-5.2505,127.1320,-74.8857,-101.9591
7.1770,-1.4642,-6.8838,138.2902,-71.4132,-131.7270
5.6612,-2.2949,-8.6949,133.5417,-75.5108,-151.8323
3.6635,-2.7896,-8.9026,131.3152,-75.7082,-161.7285
