ax,ay,az,gx,gy,gz
2.1617,0.7057,-9.3216,1.7491,2.8870,-3.3347
1.8763,0.6922,-9.3105,2.6732,-0.5966,1.0406
2.2007,0.5197,-9.6144,3.8417,-3.8793,1.5170
2.2895,0.3877,-9.7756,2.6628,-2.6144,-2.5083
2.0337,0.3668,-9.5660,1.3929,0.1227,-4.5313
1.7101,0.3268,-9.4538,2.1100,1.9704,-2.9338
1.9041,0.3484,-9.5878,2.6060,2.4948,-1.2445
2.3270,0.3944,-9.6527,1.1175,2.3663,-2.7219
2.1957,0.4992,-9.3673,-0.2335,1.2193,-3.9420
1.7861,0.5985,-9.1356,1.0835,0.1308,-0.8027
1.9055,0.5919,-9.2970,2.8720,-2.5362,3.3124
2.2412,0.5432,-9.6147,2.4456,-3.9767,3.7275
2.4093,0.5728,-9.6115,2.5288,-5.3507,1.3216
2.6116,0.5413,-10.0684,3.4049,-10.7865,-2.3331
2.6748,0.5231,-10.8178,2.6998,-14.1716,-6.4847
2.6683,0.6253,-11.7989,-1.0791,-22.2622,-11.0870
2.7377,0.7380,-12.4717,-3.0463,-30.6234,-13.0446
2.8864,0.4371,-13.5664,-7.1587,-43.3492,-20.9886
2.0407,0.0407,-14.0480,-16.2972,-55.0720,-26.0040
0.8773,-0.4109,-14.2397,-29.0795,-60.2421,-24.5855
0.0599,-0.5647,-13.5379,-40.7826,-57.0729,-16.0552
-0.2278,-0.4472,-12.6305,-46.6614,-56.2755,-7.2240
-0.3827,-0.4523,-12.5260,-50.8128,-50.8584,-3.1201
-0.8535,-0.6071,-12.4469,-58.3654,-47.8178,1.1259
-1.9225,-0.3748,-11.6057,-65.8802,-35.1438,17.8200
-1.8551,-0.1037,-10.4613,-67.5216,-32.9249,33.0606
-1.0359,0.1252,-9.4095,-65.7722,-28.6280,41.8220
-0.7935,0.3517,-8.6135,-61.4093,-22.2400,45.8982
-1.3541,0.6349,-8.3170,-57.1023,-18.6024,52.0720
-1.9747,0.8369,-7.9599,-55.3886,-18.8831,65.2341
-2.0142,1.1046,-7.4489,-52.0515,-24.0104,89.8591
-1.3816,1.1362,-7.5424,-47.9840,-29.0851,91.1011
-1.3057,1.3648,-7.2627,-46.7871,-22.4218,92.3961
-1.2380,1.7440,-6.6442,-41.6325,-13.6591,93.3749
-1.4185,1.8286,-6.7180,-34.8610,-6.2950,96.4197
-1.5682,1.7181,-6.7963,-32.2931,-0.8360,105.8079
-1.3568,1.6886,-6.7410,-29.4590,6.9417,115.0647
0.0326,1.8815,-6.3963,-24.7067,11.0479,121.7404
1.2856,2.0043,-6.0085,-17.3365,21.8700,115.8405
0.5941,2.0099,-5.8340,-12.5917,38.9468,115.2211
0.5149,2.1822,-5.4591,-8.0906,45.9100,127.1976
3.3245,2.2882,-5.4281,-1.8320,36.4998,127.7902
5.4625,2.3361,-5.6463,2.0912,31.9127,106.8256
4.5814,2.5656,-5.8483,3.5680,36.1989,88.8322
3.4672,2.8960,-5.7097,5.6728,31.7087,84.8761
3.6838,3.1082,-5.2425,12.4954,23.3470,87.6011
