ax,ay,az,gx,gy,gz
0.0638,0.8570,-9.7587,-2.1776,-0.3184,0.2017
-0.0304,0.8676,-9.6774,1.1951,10.0559,3.8807
0.0647,0.9727,-9.6624,4.3072,3.8574,4.9651
-0.0069,0.8445,-9.8120,3.1431,1.3069,5.2702
0.0164,0.7186,-9.8024,3.1857,-0.0452,6.5296
0.0545,0.7607,-9.7438,5.0993,-0.2881,5.2605
0.0899,0.8812,-9.7868,6.1135,-1.2277,2.9431
-0.6626,0.7966,-9.8673,1.9230,-4.5098,1.2624
-0.2819,0.7946,-9.7812,-2.5683,-5.5206,0.8466
-0.1074,0.7679,-9.7037,-1.7000,-2.1717,0.7233
-0.0264,0.7515,-9.8140,-0.5115,1.0997,0.0842
-0.0173,0.7392,-9.8118,-1.1767,-0.1276,-0.9710
-0.0107,0.7603,-9.7591,-2.2421,-1.2481,-1.6858
-0.0139,0.8176,-9.6603,-1.6967,-0.4295,-2.2231
-0.0238,0.8232,-9.7219,-2.1118,0.4862,-2.1840
-0.0133,0.8427,-9.7723,-2.2349,-0.5824,-2.2106
0.0052,0.8418,-9.7174,-1.6516,-2.1035,-2.2634
-0.0421,0.8472,-9.7014,0.1399,-2.1607,-2.6215
-0.0408,0.7888,-9.7670,1.3585,-3.1529,-1.5839
-0.0547,0.7973,-9.7701,0.1575,-3.3370,-1.1289
-0.0429,0.7632,-9.7886,0.1854,-1.9350,-1.2007
-0.0959,0.7669,-9.6403,4.7906,-2.1359,-1.0186
-0.2927,0.4630,-9.6851,17.1599,-7.0628,3.9431
0.9948,0.9241,-10.5558,24.3154,-27.3575,-1.6694
0.7262,0.2575,-11.1386,13.2536,-30.3326,-4.2818
0.4349,0.2315,-12.3040,0.7599,-27.4702,-6.2064
0.5553,0.3450,-12.2635,-12.8937,-18.5760,-8.9531
0.6752,0.5977,-11.4348,-18.4105,-4.6688,-15.3566
0.4723,0.8624,-10.0965,-15.5479,8.1142,-18.1153
0.5558,0.9217,-9.2874,-10.2784,13.0318,-19.2550
1.0241,0.8329,-8.9770,-9.7412,2.8920,-21.9424
1.2392,0.7140,-8.8593,-5.9449,-8.0969,-25.4983
1.6274,0.6868,-8.5733,3.1522,-8.6338,-29.1471
1.8424,0.5435,-8.5142,7.1091,-1.2608,-38.9441
1.9942,0.6277,-8.9518,16.6494,5.5504,-49.5859
1.9134,0.6583,-9.6474,25.6717,13.5290,-56.0961
2.2673,0.4226,-10.8405,29.3880,13.1210,-63.8706
2.0941,0.6948,-11.8195,24.5445,3.0961,-72.4433
1.4143,1.0711,-12.3963,20.7628,3.2378,-76.2757
1.3023,0.8635,-12.6575,11.3765,16.4864,-75.4403
1.7822,0.3487,-12.8479,3.8063,21.8001,-81.6829
1.6676,0.2332,-13.1743,-2.4090,24.4201,-92.8914
0.4205,0.2218,-14.0332,-13.3959,35.4516,-98.2362
-1.0842,0.4996,-13.2944,-9.9700,54.5926,-96.4431
-1.5072,0.5439,-12.9025,-12.2738,56.8137,-89.1125
0.5519,0.5760,-13.9827,-3.1171,70.2996,-79.9578
-0.6747,0.3178,-13.1936,-3.5621,88.7735,-91.1513
-2.2548,0.2007,-12.5252,-7.9961,115.1749,-95.6051
-2.0363,0.0706,-10.9453,14.4747,188.4800,-117.8189
-2.2606,-0.0648,-11.7027,20.2544,194.8030,-114.2660
-2.2490,-0.2944,-8.0910,12.1436,191.6289,-80.8621
-0.6394,-0.6682,-7.1207,0.9926,130.7689,-57.0342
-0.7251,-0.0763,-9.2214,-33.7064,38.0631,-28.3339
1.1628,-0.2558,-8.6424,-70.1040,-66.6814,-7.9369
0.9025,-0.3790,-9.7779,-119.4424,-167.4071,8.2290
0.5339,-0.2120,-10.6446,-119.5170,-180.0464,15.7571
1.3237,-0.4625,-10.9059,-109.6419,-140.6936,14.1162
2.1681,-0.3864,-10.4192,-96.2716,-114.7516,0.7767
1.1700,-0.0420,-9.9172,-105.9563,-138.8644,-10.4316
-1.1232,0.9076,-8.2738,-99.1464,-162.7046,-4.4385
-2.4793,1.7522,-7.5623,-90.0303,-142.8553,13.6672
-2.0969,2.0422,-7.7748,-71.1456,-105.3276,31.2818
-1.0543,2.5408,-7.7960,-46.2667,-69.7434,26.6154
-1.4521,2.7363,-8.3029,-36.6627,-62.4549,23.8315
-3.6533,3.3875,-8.6026,-43.3784,-64.7813,33.5979
-3.7540,3.3153,-8.5662,-45.0810,-48.2999,52.1514
-3.6443,3.0560,-8.3011,-42.3867,-35.1670,69.2275
-3.1770,3.1603,-8.0111,-40.6824,-23.9988,79.8152
-2.2909,2.5996,-7.3656,-41.3109,-17.6584,79.5181
-2.7740,2.3793,-6.1751,-40.4230,-16.6952,78.1355
-2.6838,2.2744,-5.7072,-41.2498,-15.0053,86.0149
-1.7229,2.1693,-4.8583,-42.0846,-12.1834,96.4416
-1.0035,2.1851,-3.3679,-39.6771,-25.7702,107.2918
-0.1957,2.0473,-2.4032,-23.6303,-38.5099,115.9923
