ax,ay,az,gx,gy,gz
-3.4470,-2.1250,-9.0064,0.0504,-0.3122,-1.3520
-3.4558,-2.1371,-9.0093,0.1428,0.1536,-0.7416
-3.4536,-2.1505,-9.0248,0.0952,0.6761,-0.7094
-3.4613,-2.1616,-9.0051,0.0342,1.0526,-0.5702
-3.4471,-2.1430,-9.0491,0.0942,0.8231,-0.5148
-3.4530,-2.1586,-9.0464,0.0337,-0.2798,-0.5349
-3.4611,-2.1562,-9.0252,0.0518,1.0516,-0.5429
-3.4701,-2.1668,-8.9966,0.1012,1.5392,-0.3354
-3.4593,-2.1566,-8.9650,0.0787,2.1968,-0.2949
-3.4607,-2.1785,-8.9208,0.1119,2.2056,-0.1524
-3.4642,-2.1872,-8.8888,0.0829,2.1669,-0.1800
-3.4511,-2.1877,-8.8472,0.0714,2.1094,-0.0224
-3.4661,-2.1707,-8.8105,0.1090,2.2973,-0.0439
-3.4807,-2.1869,-8.7901,0.1239,1.8662,0.0318
-3.4664,-2.1963,-8.7561,0.1299,2.1584,0.0197
-3.4578,-2.2029,-8.7397,0.0901,2.0639,-0.0693
-3.4716,-2.1854,-8.7562,0.0743,1.6891,-0.1048
-3.4656,-2.1697,-8.7599,0.0680,1.3292,-0.0767
-3.4632,-2.1722,-8.7700,0.1076,0.8067,-0.0656
-3.4623,-2.1818,-8.7683,0.1234,0.3459,-0.1454
-3.4706,-2.1914,-8.8310,0.1297,1.2584,-0.1772
-3.4652,-2.1779,-8.7954,0.0900,0.0620,-0.2320
-3.4515,-2.1725,-8.7928,0.1585,-0.5826,-0.3802
-3.4519,-2.1531,-8.8148,0.1858,9.6557,-0.4814
-3.4491,-2.1511,-8.8351,0.1123,2.6867,-0.5638
-3.4567,-2.1532,-8.8604,0.2517,-0.0441,-0.6387
-3.4539,-2.1598,-8.8878,0.2229,-0.7934,-0.6685
-3.4499,-2.1538,-8.8670,0.2114,-1.0073,-0.7225
-3.4541,-2.1514,-8.8616,0.1225,-1.1767,-0.7440
-3.4644,-2.1389,-8.9084,0.0872,-1.2862,-0.7104
-3.4570,-2.1426,-8.9213,0.1152,-1.1191,-0.6970
-3.4512,-2.1412,-8.9553,0.0421,-1.3476,-0.7339
-3.4488,-2.1320,-8.9371,0.1395,-1.1856,-0.7907
-3.4393,-2.1485,-8.9500,0.0939,-0.9947,-0.8133
-3.4441,-2.1580,-8.9292,0.1179,-0.7081,-0.7380
-3.4662,-2.1531,-8.9181,0.1275,-0.8890,-0.6659
-3.4750,-2.1454,-8.9079,0.0891,-0.8767,-0.6372
-3.4641,-2.1452,-8.9096,0.1160,-0.9140,-0.6679
-3.4626,-2.1480,-8.8929,0.1267,-0.8867,-0.6380
-3.4534,-2.1318,-8.8806,0.2153,-0.8758,-0.5839
-3.4584,-2.1254,-8.8497,0.2505,-0.4921,-0.5624
-3.4604,-2.1459,-8.8432,0.1802,-0.5081,-0.3853
-3.4611,-2.1655,-8.8204,0.0680,-0.4301,-0.4412
-3.4615,-2.1474,-8.8431,0.0233,-0.3991,-0.3792
-3.4587,-2.1575,-8.8636,0.0477,-0.1339,-0.3967
-3.4547,-2.1673,-8.8689,0.0995,0.1824,-0.3193
-3.4560,-2.1654,-8.8451,0.1202,0.0554,-0.3307
-3.4709,-2.1618,-8.8327,0.1284,0.6370,-0.2931
-3.4567,-2.1575,-8.8278,0.0473,0.4048,-0.2781
-3.4424,-2.1673,-8.8316,0.0994,0.6496,-0.2721
-3.4511,-2.1741,-8.8216,0.1201,0.5363,-0.2698
-3.4661,-2.1652,-8.8090,0.1284,0.4912,-0.3110
-3.4750,-2.1790,-8.8126,0.1316,0.6418,-0.4117
-3.4641,-2.1759,-8.8400,0.1329,0.9547,-0.2831
-3.4626,-2.1688,-8.8739,0.0913,1.2056,-0.3584
-3.4505,-2.1718,-8.8730,0.0747,1.3897,-0.5148
-3.4601,-2.1701,-8.8525,0.0682,1.5473,-0.3663
-3.4553,-2.1694,-8.8846,0.1077,1.1885,-0.3915
-3.4678,-2.1634,-8.8773,0.0813,1.2986,-0.3173
-3.4641,-2.1495,-8.9464,0.0707,0.9210,-0.5406
-3.4655,-2.1555,-8.9623,0.0666,-0.5359,-0.6716
-3.4661,-2.1636,-8.9485,0.0649,0.5282,-0.5130
-3.4577,-2.1611,-8.9718,0.0642,-0.1864,-0.4921
-3.4630,-2.1601,-8.9408,0.1483,0.7094,-0.3573
-3.4622,-2.1597,-8.9716,0.1396,0.0543,-0.5987
-3.4763,-2.1566,-8.9493,0.1361,0.7631,-0.4840
-3.4675,-2.1468,-8.9722,0.0926,0.7500,-0.6069
-3.4611,-2.1573,-8.9928,0.0752,1.0399,-0.7402
-3.4499,-2.1470,-8.9606,0.0684,1.3238,-0.6667
-3.4628,-2.1401,-8.9767,0.1078,0.0880,-0.7640
-3.4736,-2.1546,-8.9686,0.0813,-0.6566,-0.8026
-3.4549,-2.1373,-8.9597,0.0708,-0.9107,-0.7337
-3.4647,-2.1506,-8.9676,0.1509,-0.9275,-0.7485
-3.4629,-2.1415,-8.9852,0.0984,-0.8077,-0.7965
-3.4708,-2.1494,-9.0008,0.1197,-0.2543,-0.8156
-3.4826,-2.1410,-9.0100,0.0861,-0.8771,-0.7810
-3.4729,-2.1290,-8.9819,0.0727,-1.3356,-0.8937
-3.4632,-2.1329,-8.8987,0.0673,-1.6866,-0.6857
-3.4623,-2.1316,-8.9549,0.1073,-1.4048,-0.7715
-3.4590,-2.1224,-8.9888,0.1233,-1.4191,-0.8478
-3.4577,-2.1360,-8.9706,0.0875,-1.8463,-0.8781
-3.4601,-2.1472,-8.9374,0.1154,-1.6791,-0.8059
-3.4610,-2.1344,-8.9300,0.1265,-1.7812,-0.8615
-3.4701,-2.1495,-8.8434,0.0887,-0.5995,-0.4621
-3.4592,-2.1266,-8.8868,0.0737,-1.3094,-0.2189
-3.4607,-2.1435,-8.8234,0.0677,-1.1704,-0.3329
-3.4728,-2.1185,-8.8731,0.1075,-1.2837,-0.5047
-3.4690,-2.1258,-8.8554,0.0390,-1.5396,-0.6152
-3.4530,-2.1374,-8.8397,0.0540,-1.2620,-0.5327
-3.4611,-2.1535,-8.8507,0.1020,-1.4045,-0.3313
-3.4672,-2.1513,-8.8234,0.0790,-0.0703,-0.3355
-3.4639,-2.1447,-8.8299,0.1541,-0.3824,-0.3793
-3.4654,-2.1305,-8.8555,0.1419,-0.8859,-0.4810
-3.4516,-2.1421,-8.8801,0.0949,-1.0019,-0.5636
-3.4577,-2.1525,-8.9043,0.1183,-1.1745,-0.6386
