ax,ay,az,gx,gy,gz
4.8699,-0.8081,-8.2511,-1.1772,0.1860,-3.9527
4.6482,-0.6853,-7.9452,0.4973,0.6047,-1.9450
4.8279,-0.6623,-7.7226,6.3477,3.0473,-1.2725
4.9369,-0.7223,-7.7723,12.1317,4.0613,-1.6794
5.0264,-0.8442,-7.7777,14.0537,4.5912,-3.5271
4.8430,-0.7889,-7.6300,16.7994,5.6450,-3.2087
4.6288,-0.7122,-7.5194,20.6736,3.7462,-0.8903
4.4917,-0.9756,-8.2130,18.0846,-7.5885,6.7759
4.8291,-1.3282,-8.4746,11.0695,-12.6884,10.7112
5.4330,-1.4858,-8.7055,10.8072,-8.6905,5.1119
5.1460,-1.4390,-9.7223,15.5919,-9.5865,1.6617
4.8243,-1.6278,-11.3227,11.0471,-24.6105,5.9368
5.2899,-1.9364,-12.5732,-2.9420,-31.0520,7.4270
5.7863,-1.4915,-16.0099,-14.2401,-5.9238,-2.2641
5.1454,-1.2107,-18.5530,-29.1039,-24.6283,-11.7679
4.6166,-1.6984,-20.6281,-73.0776,-41.0902,-6.2347
5.5444,-1.6446,-21.2694,-129.3081,-35.1223,-3.8645
5.5562,-1.1737,-18.9542,-177.8974,-49.9862,-22.3516
4.8521,-0.7126,-15.2726,-186.5250,-74.6562,-43.5319
3.2925,-0.1372,-11.6696,-181.6968,-81.0581,-42.8131
4.1128,0.1580,-8.3718,-169.1123,-94.3531,-44.1288
4.1452,0.0305,-6.7801,-154.2846,-89.3589,-48.1927
3.6135,-0.2306,-3.7263,-134.4339,-78.3942,-30.4638
3.0187,-0.1356,-1.1051,-107.6533,-53.6320,-13.6314
1.7649,-0.5935,-0.1514,-83.1310,-13.3486,6.5112
1.3265,-0.6373,-0.6624,-67.9790,-16.0762,22.0702
-0.1907,-0.9573,-0.6553,-28.2740,-50.9219,59.1131
0.4908,-1.5947,-1.3210,30.3885,-51.6364,99.1408
1.2547,-2.6724,-1.5974,52.2544,18.0869,122.3167
1.9275,-2.8044,-2.6410,56.0233,83.0034,126.0589
1.8984,-1.5170,-3.9581,47.3652,109.4650,112.1217
0.1146,-0.6821,-3.8425,27.2719,116.8749,124.9106
0.5057,-0.0300,-3.6668,31.8370,81.3421,140.9576
1.7159,0.4110,-3.9197,42.0830,29.2710,151.0094
1.9438,0.3588,-5.1383,27.4461,9.1005,173.1325
2.6713,0.6291,-5.6088,3.3723,30.4941,185.8969
2.9954,1.2265,-5.0525,11.7486,57.5514,182.2932
3.4903,1.9915,-4.8053,57.3136,92.3836,186.5493
5.3239,1.9069,-5.6578,93.2297,94.2308,205.7341
