column_0,column_1,column_2,column_3,column_4,column_5
0.3348,2.2999,-9.2345,-42.4345,6.1214,4.0068
0.679,2.76125,-8.938749999999999,-36.37975,5.37535,2.6463
0.4508,3.1925,-8.6168,-31.4607,-16.3121,1.1263
0.4921,3.0727,-8.66515,-20.9936,-22.382550000000002,1.24785
0.6816,2.7375,-9.1643,-19.1961,-14.2339,-1.2862
0.2804,2.7214,-8.88025,-24.9089,-11.203,-1.59845
0.066,2.8613,-8.0109,-24.9852,-6.2173,1.3502
-0.28825,2.91425,-6.8468,-15.413499999999999,-0.3797500000000005,0.8654999999999999
-1.5285,2.9983,-4.5028,12.6128,3.2003,19.4101
-1.0715,2.012,-2.5808,57.3519,-27.36065,28.350700000000003
-0.6751,0.8803,3.0887,140.9921,12.0003,35.6875
1.3858000000000001,-1.42165,5.54385,334.46795,125.0846,70.62465
1.8949,-6.0569,4.967,466.5143,74.8637,80.8632
3.6743499999999996,-13.1601,3.1809499999999997,563.7607,65.5262,96.84105
5.6796,-22.0556,-8.8876,554.8055,174.9277,106.8866
8.6233,-27.13615,-24.288249999999998,320.6143,232.44125000000003,23.919249999999998
6.8851,-21.6935,-24.5148,44.122,-9.0213,-50.7824
6.8850999999999996,-18.02655,-17.09135,-108.20715000000001,-130.7158,-64.88895
7.6656,-16.7231,-18.474,-255.5894,-159.5572,-48.509
6.70645,-14.3975,-14.785,-396.08889999999997,-116.693,-57.9174
4.1659,-9.8861,-8.166,-350.3026,-59.1926,-115.6812
1.8339,-6.91045,-7.8118,-340.3204,-54.9798,-119.98580000000001
2.3565,-4.1546,-3.0941,-307.628,-74.9039,-132.4872
1.62825,-0.71585,-0.54555,-206.89010000000002,-116.0746,-136.93775
-1.9914,1.4805,-0.8878,-106.938,-184.0565,-106.9166
-5.36125,0.7565999999999999,-3.8624,-38.353,-195.156,-45.476
-10.3056,-1.4737,-5.4527,-10.115,-130.232,83.0945
-13.27675,-3.1884,-5.846399999999999,-14.830649999999999,-13.553849999999997,228.16655000000003
-9.251,-3.8026,-3.2518,1.3478,54.3119,295.8316
0.9754,-2.3259,-0.7976000000000001,65.79225,97.3819,239.86790000000002
10.3126,-2.4168,-1.088,156.2287,153.762,167.4058
21.0988,-3.8357,-5.1331500000000005,174.8536,243.8044,71.01685
23.2117,-2.8221,-4.1865,170.773,90.3856,-113.6809
15.7956,-4.7581,-6.26965,179.0351,-56.50075,-256.24025
2.5873,-7.091,-9.929,165.961,-190.9154,-291.601
-16.932650000000002,-8.67245,-15.466549999999998,107.55825,-151.8273,-117.9363
-24.2891,-9.8877,-21.4706,30.3194,-0.3201,129.7448
-16.68725,-10.63655,-15.0262,-65.71985000000001,33.78855,324.54305
-9.8838,-10.9924,-7.4946,-117.1008,161.6104,437.2705
8.9299,-8.34715,2.21595,-36.78235,187.57245,383.0283
17.5346,-4.9191,4.1469,142.721,164.5963,192.7335
12.1312,-5.55245,4.00265,259.69845,91.6663,149.78125
9.7665,-8.3865,2.2186,320.4547,62.6136,168.7811
11.32365,-11.36345,-3.06205,311.28415,-47.71555,82.93645000000001
12.1115,-14.6459,-6.068,272.7845,-238.803,-75.73
11.31905,-16.9556,-5.16315,161.86705,-447.17895,-244.4426
4.8206,-22.0608,-6.1722,57.0733,-332.2538,-372.6013
-2.9505,-19.610500000000002,-8.0896,-7.030549999999998,-194.26655,-405.17615
-8.363,-13.7256,-6.957,-53.5112,-84.9414,-289.3237
-11.31295,-8.645299999999999,-8.20995,-82.35589999999999,-46.99325,-97.11365
-10.6844,-6.7685,-7.1474,-119.5062,-70.8687,114.1318
-1.13375,-7.25135,-6.1392,-118.48885,-75.26665,191.53449999999998
6.9716,-7.8775,-5.4032,-94.3287,-106.8352,145.7274
7.26985,-7.27,-5.69865,-61.2969,-31.7177,21.285800000000002
1.8973,-6.02,-6.2829,-31.7969,-1.2037,-25.2025
1.3225500000000001,-5.5522,-7.050750000000001,-7.30295,-15.34365,12.233350000000002
3.4556,-6.0269,-9.0993,-5.5543,-56.4866,16.5668
2.49535,-6.2499,-9.06425,-16.79055,-35.93305,-2.48425
1.6577,-5.2788,-7.628,-22.8007,8.4795,-3.5877
2.4167,-4.8770500000000006,-6.5581499999999995,-10.17715,19.046300000000002,-0.19880000000000003
3.0829,-5.4501,-8.2106,-4.9623,-16.8742,-13.6004
1.30675,-5.9576,-8.57875,-11.731300000000001,-4.6272,-16.75695
0.8141,-5.1534,-7.5536,-12.9365,13.474,-3.1238
2.03605,-4.6857500000000005,-6.562749999999999,5.0718,8.1473,5.59285
2.4219,-5.0427,-8.2418,6.9418,-9.4331,-4.1212
