ax,ay,az,gx,gy,gz
1.4663,1.8767,-9.9397,-22.8425,-12.1377,5.9848
1.4699,1.9505,-9.7495,-22.6641,-19.0927,2.1355
1.5002,1.9540,-9.2098,-21.5394,-26.5383,1.0254
1.5094,1.9265,-9.2746,-17.9730,-25.9605,-1.1022
1.5130,1.7975,-9.5137,-18.8299,-15.7415,-8.2710
1.3329,1.6798,-9.3984,-19.1709,11.2108,-11.8820
1.3218,1.8434,-8.9808,-16.6934,32.9354,-12.5179
1.4355,2.0813,-7.7197,-4.4120,10.4320,-11.3801
1.5124,1.9743,-7.0393,14.7206,3.0799,-8.6514
1.2145,1.6839,-7.5494,27.0117,2.5148,-4.4046
1.0096,1.5886,-8.5996,25.6221,3.3858,-6.0445
0.5390,1.3691,-7.8763,30.0426,8.1579,-5.6433
0.2798,1.4374,-6.3985,43.8136,10.4781,-3.3763
0.1881,1.4242,-4.8308,78.6700,26.1952,8.2313
1.0046,1.2115,-3.5472,113.7815,50.6568,20.9422
0.7359,0.3258,-1.3046,169.3519,102.8748,34.9351
1.1534,-0.8075,-0.6285,237.1931,115.5171,46.3612
1.1034,-2.3736,-0.5410,300.8970,84.3002,52.2984
0.0058,-4.1810,0.7098,356.8012,29.2678,76.9148
-0.2984,-8.2340,-0.4695,403.8699,19.4254,104.7908
3.8827,-12.1893,-4.4456,444.8942,92.5135,126.5879
8.2549,-15.9358,-12.3582,417.6785,177.3138,87.9707
10.4239,-17.2852,-17.8550,308.3079,203.6367,44.2399
7.8637,-15.4622,-18.4861,202.7069,105.0737,7.4520
7.9428,-14.8752,-15.3312,149.5204,4.5737,-28.8495
8.7841,-14.8577,-14.9404,23.4521,-85.9493,-51.5122
8.1390,-14.8104,-13.8744,-72.9451,-138.6157,-85.8182
6.4676,-14.5697,-11.7674,-135.6197,-142.7961,-68.3629
6.8745,-12.8978,-10.0502,-199.9232,-104.7561,-68.0349
8.0391,-11.1520,-9.6811,-238.7432,-122.2008,-86.2388
7.6265,-10.1029,-8.6553,-274.7574,-125.7279,-119.8664
4.8114,-8.5646,-5.9276,-277.8756,-84.9412,-125.8705
2.5617,-5.9211,-3.5225,-252.6053,-56.5320,-88.8512
2.3726,-4.0538,-4.0409,-231.0442,-23.9436,-41.8365
5.8992,-3.5874,-5.8493,-230.2627,-39.3426,-18.9572
8.7547,-3.2578,-5.3903,-223.5031,-59.8000,-45.4267
7.3407,-2.1786,-4.2884,-189.4133,-105.7042,-76.0209
2.6403,-0.4497,-2.5764,-145.7980,-128.0573,-88.9948
-2.3132,0.8981,-3.1083,-102.1438,-124.6862,-74.9797
-6.7535,1.2845,-7.1841,-84.3528,-105.0949,-7.9516
-10.2607,0.6660,-10.3128,-84.1020,-94.2230,71.6136
-9.7601,-0.6548,-11.8083,-101.4935,-69.6240,138.8866
-6.5873,-0.8951,-10.6169,-112.6703,-32.5668,160.0058
-3.9244,-0.1349,-7.1316,-90.9858,13.1987,164.5313
-1.6921,0.7554,-3.6962,-33.1712,85.9054,170.3781
0.0807,1.5274,-1.9604,20.3054,127.2681,166.2980
1.7485,1.7856,-1.4859,72.1825,87.0369,174.2422
9.0165,0.0528,-3.0087,144.3706,-59.1654,146.7194
13.7582,-1.9996,-6.0638,161.4605,-79.7415,67.1095
12.9161,-3.1504,-4.0580,147.6079,38.8102,14.7813
13.5896,-1.9256,-4.3116,167.6799,90.5745,-64.1192
12.0970,-2.6974,-6.1760,219.1629,12.7978,-149.9678
8.5467,-4.7392,-9.7532,223.6311,-91.7810,-214.9782
2.2701,-6.1250,-12.4328,185.2420,-154.0019,-216.1041
