ax,ay,az,gx,gy,gz
0.6981,3.7066,-9.3606,-4.4835,11.5602,9.5559
0.7695,3.6468,-9.8648,-9.0371,13.6864,7.5604
0.1381,3.6691,-9.9415,-15.7802,12.9729,11.0234
0.3623,3.8509,-9.4303,-18.6318,15.5129,15.3938
0.7454,4.0010,-9.1866,-17.7855,19.7268,5.5842
0.9382,3.9801,-9.0550,-15.8893,26.2504,9.8999
1.0811,3.9746,-8.9912,-16.7364,27.6238,12.4179
1.0487,4.1338,-8.7439,-19.1387,26.2315,12.6189
1.5401,4.1971,-8.5446,-17.5657,25.1717,11.8138
1.7068,4.2454,-8.3386,-15.5911,26.8996,12.5050
1.8336,4.5643,-8.5793,-15.3533,29.6945,8.5653
1.8005,4.7142,-8.4936,-14.6686,28.0248,10.3695
2.6575,4.6038,-8.9666,-17.6416,26.6861,5.7346
3.6901,4.6579,-9.3075,-28.5607,38.7135,-8.4167
3.9136,5.1866,-7.9880,-28.1004,39.9164,-16.4076
4.7604,5.3364,-8.0134,-21.5107,29.8160,-27.8481
6.0454,4.9465,-8.2309,-21.2491,23.0997,-53.4741
7.2136,4.8000,-7.8853,-21.6508,5.8442,-77.2419
6.0331,4.8253,-6.8372,-14.0132,3.4882,-115.4016
5.9697,4.9881,-4.5990,21.9010,-34.6236,-140.2367
4.4806,4.8771,-5.7976,26.4547,-41.6533,-152.5628
4.5163,5.1038,-4.6666,36.2746,-24.6408,-133.8645
3.0552,4.8251,-5.2453,49.0750,-24.9104,-127.3940
2.0243,4.3051,-6.4265,55.1376,-24.4698,-121.6584
1.2742,4.1126,-6.2078,58.5192,-18.7309,-122.2845
0.4167,3.8977,-5.2649,70.2330,-27.1531,-117.8552
0.4472,3.5874,-4.7515,86.3581,-27.0480,-111.5408
0.8310,3.2248,-4.1438,108.6216,-10.0628,-116.1514
-0.2610,2.1066,-5.5819,136.5309,-21.0910,-129.4080
-1.6781,0.4860,-8.7157,138.0680,-36.4795,-128.9084
-1.5706,0.1553,-8.7870,128.0584,-10.9073,-122.0924
-1.4760,0.1735,-6.5246,136.0457,18.9086,-124.1431
-0.6027,-0.3091,-4.9271,169.1065,50.2021,-131.8713
-1.5000,-1.9851,-9.2246,183.1462,26.2376,-145.9468
-3.1508,-3.5596,-11.8825,169.3865,21.6337,-132.4543
-3.8422,-3.7971,-10.8683,152.4474,32.0669,-104.7474
-2.0110,-3.4046,-8.4793,147.4778,40.0958,-92.9224
-0.7089,-3.6403,-5.9152,173.5710,57.1149,-96.2255
-0.9458,-5.0654,-6.7478,205.5328,55.6677,-95.5166
-2.7286,-6.4824,-10.7645,198.4405,18.0439,-78.4176
-2.5591,-6.9166,-11.2216,175.5562,18.1628,-53.4483
-1.0596,-6.6542,-9.1011,163.4162,21.8770,-41.5746
0.7243,-6.8293,-6.3268,177.0044,11.0055,-39.8848
1.0220,-7.4695,-5.7128,195.6876,22.7382,-40.9827
0.2644,-8.4245,-8.8111,193.2167,22.6859,-33.8751
-0.6046,-8.9370,-11.8995,160.6226,13.2240,-29.7826
-1.3308,-8.7807,-10.1085,119.0775,13.8848,-14.0347
-0.0003,-8.7128,-5.6615,130.8285,9.9329,7.5730
1.4656,-9.1266,-4.3013,144.3130,19.1503,-2.4589
0.7262,-9.8186,-4.6332,154.4410,30.3202,-8.7265
0.0488,-10.3677,-4.8344,155.9420,31.8563,-6.4997
-0.1977,-10.6841,-4.4879,154.0103,32.0882,1.9729
-0.3995,-11.0405,-3.0390,151.8508,34.5829,9.8961
-0.7766,-11.1449,-2.0966,155.7122,33.5102,21.3517
-1.3012,-11.2901,-2.1192,161.7162,29.2058,36.2360
-2.0344,-11.3652,-2.0994,164.1052,19.1900,52.7795
-2.3405,-11.7207,-2.1780,163.3698,24.0981,79.0450
-1.6440,-11.8737,-1.9643,151.2757,31.8673,99.3584
-0.8021,-11.8078,-1.3635,145.3257,22.2721,109.9275
-0.1674,-11.7729,-1.2484,135.8353,23.3013,112.3205
0.6268,-11.6582,-1.1478,126.6642,22.0249,104.6744
1.5105,-11.4540,-1.4190,112.8154,28.5557,81.0219
2.0206,-11.1509,-1.5586,78.6867,26.2651,56.7748
1.5320,-10.7854,-1.0436,60.8925,24.1314,30.7738
0.3982,-10.6169,-0.3748,51.0307,18.7726,16.8457
-0.8194,-10.5124,0.2717,40.2788,21.8667,10.7138
-1.3615,-10.3527,0.2465,31.7439,18.3773,8.6112
-1.8250,-10.2258,0.2538,22.6579,13.4063,11.4415
-1.7068,-9.9851,1.3229,14.1958,14.9688,12.9048
-1.8615,-9.8057,0.9385,11.9246,23.6830,13.6556
-1.8914,-9.7776,0.7337,8.8714,30.1848,17.2841
-1.7650,-9.6627,0.7041,-1.0259,26.3232,17.2526
-1.2911,-9.4124,0.9113,-6.2283,19.8133,13.0253
-1.1198,-9.2494,1.1638,-7.5818,4.9580,6.4541
-1.4839,-9.3055,1.1288,-8.4575,-0.9948,1.6057
-2.0581,-9.4374,0.8065,-13.4422,2.4952,-1.0821
-2.2001,-9.4553,1.3296,-14.9198,11.5125,-1.8143
-2.4843,-9.4249,1.0795,-16.8143,10.2534,-0.5462
-2.4705,-9.3754,1.1414,-16.3036,10.4268,1.9815
-2.0876,-9.2721,0.9153,-17.1963,7.6298,1.5120
-1.7825,-9.2541,0.8369,-19.4903,-0.8169,-3.5218
-2.2173,-9.3708,0.9699,-23.5220,-4.3463,-5.6511
-2.5228,-9.3106,1.6452,-20.7428,-1.0722,-1.1034
-2.3331,-9.1023,1.6604,-13.3569,7.5643,3.6564
-1.9724,-8.9618,0.9114,-10.5025,8.6825,3.6115
-1.7136,-8.9721,0.4002,-15.9839,2.0044,-2.1806
-2.2331,-9.1174,0.7126,-19.9352,-5.8791,-4.9067
-2.7221,-9.1407,1.8051,-17.2504,-14.1157,-2.8725
-2.5277,-9.0519,2.1015,-1.5147,-7.5303,1.5616
-2.3265,-9.0973,0.9169,5.5472,-1.7490,3.0730
-1.9755,-9.1961,-0.1278,1.2340,0.2563,-1.3833
-1.8186,-9.2987,-0.0795,-5.3291,-5.8160,-8.5936
-2.1509,-9.2618,0.9597,-3.6836,-22.3094,-16.8995
-2.4445,-9.2730,1.7881,2.1975,-12.8136,-13.3342
