ax,ay,az,gx,gy,gz
0.2702,1.9031,-10.5255,0.3667,4.7544,1.4522
0.1353,1.5058,-11.2533,-5.4213,-8.2410,4.1253
0.6925,1.2900,-11.8714,-17.7555,-5.5300,0.0891
0.2803,1.3828,-11.7542,-33.0315,-5.4629,-6.5325
-0.1142,1.4284,-11.4915,-49.5202,-10.2832,-6.9333
0.1063,1.5618,-11.2112,-69.1045,-13.2549,-9.6217
0.1623,1.7186,-10.2640,-86.2537,-15.9967,-11.3236
-0.6280,2.6858,-7.3601,-89.0309,-12.4936,-10.0619
-1.2363,3.3703,-5.5332,-72.6868,-12.4063,0.4291
-1.3631,3.6455,-4.0831,-39.3775,-10.6013,16.1097
-1.0246,3.8300,-3.1978,-10.9089,-0.3156,24.1191
-0.7314,3.7766,-2.5199,14.9174,8.9190,23.9341
-0.0384,3.7496,-1.5702,43.8226,17.9883,20.0671
0.2575,3.4017,-0.9618,76.9877,27.4554,16.2526
-0.1925,2.8080,-2.5696,109.0238,11.9606,19.0339
-0.1813,2.1309,-4.3015,128.6406,-10.0521,23.5123
0.0767,1.0806,-6.0077,135.3922,-21.2553,20.7844
-0.5007,0.4034,-6.6203,138.0786,-4.0489,21.9329
-0.4912,0.3183,-6.7344,148.0407,14.4301,23.4014
-0.7785,0.0597,-6.3591,176.1130,38.6840,19.1808
-1.5037,-1.0171,-7.9358,192.9305,10.4855,23.8237
-0.7549,-2.9958,-11.0268,202.4037,-20.8389,32.7940
1.5543,-4.5669,-13.7291,186.4056,-8.9831,29.8724
2.8333,-4.9586,-13.8246,170.9363,48.7983,4.9386
0.6538,-5.3853,-13.3786,183.2841,78.4904,-3.5493
-0.5563,-5.9124,-14.3969,179.4725,51.1069,8.7947
1.3106,-7.7271,-14.3439,169.3157,-12.1363,26.9406
3.9062,-8.4693,-15.3630,152.2928,-27.8588,18.4816
4.3685,-9.5081,-17.4168,107.1651,-24.3785,6.2227
4.0136,-10.1289,-19.0897,23.4586,-50.0948,-11.8051
2.4835,-9.7707,-18.4673,-74.4598,-18.8535,-16.6600
1.2205,-8.6889,-15.6667,-138.6669,-10.6377,-12.5224
1.6401,-7.4718,-13.9040,-163.9191,-23.0899,-10.1174
2.7061,-6.4775,-13.5139,-182.2276,-41.2368,-19.8661
2.9977,-5.4249,-11.7594,-212.6094,-41.1656,-39.3818
1.4914,-4.0926,-8.9492,-209.5246,-29.2938,-51.9096
0.6587,-2.2659,-8.6753,-188.6985,-40.1648,-48.6333
1.0132,-1.3690,-9.3818,-187.8722,-78.2507,-47.6668
1.1542,-0.7528,-9.2393,-194.8350,-97.3244,-46.9030
1.3342,0.2559,-6.4395,-191.3676,-96.3575,-63.1632
