ax,ay,az,gx,gy,gz
-0.0333,3.0785,-9.0890,-58.8129,23.5124,0.0338
-0.0921,3.1952,-9.2554,-61.9278,20.9709,-1.4125
-0.0693,3.4923,-8.2352,-60.6805,2.9740,1.4682
0.4469,3.6797,-6.6537,-49.6893,-9.6237,2.5301
0.3267,3.5266,-6.8975,-42.7451,-32.3384,1.8568
-0.2139,3.0363,-5.9601,-35.0929,-21.1452,5.9301
-0.6394,2.8931,-4.5613,-24.4194,8.3864,10.8383
-0.4456,3.5565,-2.5812,-1.2482,5.5956,14.0557
-0.5442,3.9934,-0.4910,45.4408,1.1976,20.6886
-0.9494,3.9972,0.7470,106.7979,12.6400,27.7955
-0.4681,4.0823,1.6142,194.9808,52.5971,32.8570
-0.7117,3.1681,1.8987,274.2387,94.8800,32.5950
-0.9901,1.1302,1.9572,370.2607,86.1623,54.1969
-2.4581,-1.4729,0.0095,445.4724,76.9193,69.3249
-4.5002,-6.0500,-1.7682,516.3660,23.5915,114.8367
0.4445,-12.7899,-10.6619,503.2687,3.2159,137.2865
5.7919,-18.2350,-17.9062,390.0746,130.1084,134.5019
9.5102,-19.7532,-22.2553,248.1803,242.7233,60.5203
8.4049,-17.8648,-22.1589,132.1673,166.4827,-4.4468
7.4090,-14.8255,-19.8700,31.3414,7.0485,-23.8055
7.1280,-14.3971,-18.1900,-40.5554,-102.0766,-18.5266
9.5001,-14.2669,-18.0229,-126.3148,-158.8992,-32.2317
9.8733,-13.8463,-18.7459,-225.3873,-162.2887,-60.9503
7.9299,-13.7856,-14.5270,-303.1615,-178.5156,-65.5070
6.9981,-11.7905,-10.4451,-323.2749,-132.1186,-64.3697
4.4086,-9.1525,-7.9998,-317.0318,-12.8401,-87.0986
3.2256,-6.1060,-6.2805,-321.7971,-1.0799,-111.3575
1.3257,-2.8278,-3.5189,-311.0489,-42.5527,-123.4965
1.6186,0.2890,-0.4088,-261.2104,-87.6725,-122.7629
1.3173,2.4945,1.8430,-186.9252,-52.0131,-135.0733
-1.2490,3.4930,0.0361,-90.4794,-4.2749,-148.2324
-4.0191,3.5013,-2.2821,-33.8548,-7.1974,-130.2448
-10.3484,3.2193,-4.6221,8.2320,-3.0496,-70.1078
-16.1718,2.7326,-7.7115,18.7400,-13.8328,46.6295
-20.7940,2.0692,-10.5341,1.1305,-42.6956,184.6652
-21.9157,-1.5546,-12.3430,-34.4945,-144.9662,395.1136
-11.7523,-7.2322,-12.3050,-82.5562,-110.3823,517.1186
3.8579,-8.2292,-9.2613,-121.1516,76.9010,466.4889
12.3339,-3.8426,-4.4283,-113.2005,151.3344,341.1428
13.1476,0.6431,-0.6006,-51.8306,107.7818,176.5848
12.2294,0.7018,0.4902,63.3321,30.0548,101.7524
16.0740,-2.8248,-4.0234,106.7936,-89.6352,49.3020
18.8485,-4.6631,-6.6318,112.5379,-13.2593,-128.2732
15.5178,-3.9883,-5.8227,121.0613,51.3538,-240.0223
11.1382,-2.8122,-4.5902,161.6272,121.6550,-312.6406
6.4046,-2.2952,-5.2552,205.8804,67.2279,-328.1737
3.1467,-3.6801,-7.6550,206.2076,-95.6655,-343.5002
-1.3769,-5.6979,-9.2208,199.5941,-98.8586,-340.2837
-5.4416,-5.6449,-10.9848,192.7058,-4.4955,-300.8179
-8.7043,-3.9525,-12.0613,190.1336,96.2301,-228.5525
-13.1807,-2.3686,-17.8694,158.5950,117.6360,-155.1644
-24.4247,-0.6665,-18.2843,54.1217,35.7459,69.2648
-27.3396,-1.9803,-15.7063,-21.0387,-13.1905,351.9368
-24.0302,-7.5111,-12.9343,-47.4880,-13.6530,571.2954
-14.1842,-12.9938,-11.0850,-59.9928,-29.0102,693.3475
2.0748,-16.9676,-9.0641,-41.6184,38.6803,648.6793
22.2312,-17.3990,-12.8329,-76.7503,161.7949,422.9488
24.0473,-14.1704,-7.0135,-60.7618,118.6876,47.1179
7.7547,-10.2781,-1.5630,26.5238,73.5495,-36.9226
8.1588,-7.9917,-6.1341,34.9112,-36.1663,-42.5858
13.3248,-8.8801,-9.9238,5.8368,-77.7135,-112.3601
15.6396,-9.8674,-9.3167,-0.6739,-23.8997,-241.4459
12.7109,-9.4477,-4.9229,42.1711,48.0474,-379.0842
7.1860,-7.6383,-4.0477,105.6233,67.6546,-442.9105
0.7374,-5.5698,-5.9874,146.0434,29.2198,-441.8795
-2.0445,-4.8678,-4.4137,180.5447,3.4323,-408.6782
-3.8660,-4.8881,-5.8449,224.8717,9.0194,-360.2744
-7.2820,-4.5908,-7.3278,247.6509,20.6414,-263.6316
-10.2520,-3.9798,-8.7938,254.1856,40.7339,-148.2166
-18.5395,-2.8952,-13.5322,222.2665,61.8786,31.1879
-26.0295,-3.2705,-15.0372,152.3716,44.9609,272.1738
-26.8918,-9.8715,-9.1786,116.7640,88.7228,496.4836
-15.9049,-20.9926,-3.1419,118.9917,152.9613,668.4278
-1.0159,-29.0339,-6.7335,93.4513,289.4964,665.6123
13.3050,-29.8504,-9.3843,-26.4218,361.6927,557.6051
20.6570,-24.7753,-4.5377,-83.3903,255.9670,241.6385
19.2342,-17.6904,-0.1140,-60.1583,190.6765,22.3932
10.5883,-11.1023,-1.6819,-18.9665,84.7859,-74.6200
5.8515,-8.4234,-5.3775,0.7107,-43.5812,-93.3266
5.5142,-8.1470,-8.2166,-31.9641,-146.0351,-91.2021
6.2560,-9.3597,-9.8073,-72.1504,-178.4550,-114.0861
5.3783,-9.4877,-8.5932,-102.1331,-171.4606,-145.9933
2.2427,-7.6369,-6.0988,-109.9323,-179.0460,-167.5820
-1.2842,-5.6067,-4.6049,-79.8651,-165.7951,-166.3092
-3.7709,-4.2601,-4.6762,-55.5946,-194.7468,-148.4801
-5.1580,-3.7329,-5.0532,-31.2702,-139.2933,-123.9790
-6.2430,-3.0852,-5.5807,-4.1848,-68.3375,-79.2054
-6.8793,-2.9744,-6.1738,12.4929,-38.1242,-34.8374
-4.3345,-3.9014,-8.2568,18.0750,-27.7886,8.3998
-3.1145,-4.8033,-10.1172,7.4831,-41.9683,30.8297
-1.8857,-5.2976,-10.2408,-18.9853,-49.1698,30.1446
-2.0134,-5.5749,-9.0624,-24.7541,-62.1085,23.4233
-2.2169,-5.9216,-9.1785,-22.0338,-44.8761,17.2086
-1.9146,-6.0797,-9.3774,-24.8291,-29.5057,19.8779
-1.9500,-6.1397,-10.3815,-27.3743,-4.5499,26.7564
-1.5405,-5.9388,-10.9828,-51.3154,0.2798,21.0637
