ax,ay,az,gx,gy,gz
0.5309,3.1269,-7.9203,-17.6453,5.8796,-2.5787
0.4897,3.2404,-7.8568,-11.6187,9.4031,-3.2949
0.5425,3.4527,-7.2437,-5.1324,17.2115,-2.4840
0.7883,3.6870,-6.5646,6.8895,20.7820,-3.9738
0.4539,3.5929,-6.2714,21.4933,20.7696,-2.8384
0.3237,3.1837,-5.8550,34.7642,18.1515,3.9355
0.2142,2.7270,-5.9400,48.0947,16.3933,9.0753
0.0526,2.4848,-5.7779,63.8515,21.5101,10.3617
0.3455,2.4893,-5.8546,80.4049,22.2394,12.6016
0.2719,2.3326,-6.0090,94.1144,19.4107,20.9530
0.9544,1.9273,-5.7766,114.2788,28.1056,23.8545
0.9378,1.8641,-4.7735,137.4330,34.2205,22.2693
-1.4029,1.4326,-6.3713,161.2290,3.7361,42.9233
-1.8501,0.1948,-5.8775,185.1538,-10.7114,87.5991
-0.6708,-1.4936,-4.0241,249.4233,6.4686,110.7279
0.7608,-5.2111,-4.8744,299.7361,-10.6779,111.7960
1.0106,-7.9840,-5.3049,335.0547,-10.6302,94.2238
-1.6851,-10.5425,-3.1970,396.4395,-3.1931,95.3245
-2.5070,-13.5113,-5.8679,420.1473,-4.9546,118.5223
-2.6294,-16.6951,-10.0801,356.2851,-8.2686,161.8500
2.7535,-19.6707,-16.2512,223.2295,-30.5347,146.8886
4.4544,-20.7826,-18.3609,116.0861,-32.1447,97.0597
6.0936,-20.3231,-20.1944,-13.7067,-32.4481,26.5716
5.0602,-18.4027,-16.3481,-127.4334,-23.7599,-64.4858
3.4128,-16.3564,-13.4000,-223.5564,-36.1085,-108.9352
2.1464,-15.5191,-12.2529,-286.2061,-43.7192,-134.4184
1.9451,-15.3876,-12.2518,-361.5003,-63.2273,-137.4349
1.6201,-13.6843,-7.0704,-399.7621,-50.7583,-141.5011
0.4592,-10.4881,-3.8591,-361.9218,-1.4575,-144.0885
-0.2707,-7.5220,-4.1460,-314.6225,37.3360,-138.1214
-0.9241,-5.1172,-4.8221,-287.1202,39.9163,-126.5167
-1.1986,-2.6246,-4.3073,-257.5902,28.0457,-105.5039
-0.1869,0.0933,-2.0019,-226.9583,-1.2075,-77.8816
2.6563,1.9411,-0.9693,-138.7777,-43.5307,-85.5203
1.2259,2.6159,-3.3103,-73.5559,-21.8473,-108.5378
-0.2999,2.7806,-5.2099,-41.1564,-22.6610,-112.1748
-1.5956,2.5349,-5.4327,-11.1109,14.3162,-111.9782
-3.5952,2.3651,-6.0284,20.1055,14.1086,-95.3358
-6.9149,1.0211,-8.9539,24.5601,-57.8783,-39.5274
-12.9327,-0.3176,-12.3482,-4.2668,-86.8582,49.9882
-17.8830,-0.6111,-12.2753,-32.9330,5.1685,154.6857
-20.9994,-1.5664,-11.1024,-46.8678,84.3962,344.5355
-8.1605,-5.3582,-11.9438,-124.7802,23.7425,501.6305
3.8924,-5.3541,-8.2993,-168.9307,-20.8326,464.5411
