ax,ay,az,gx,gy,gz
3.0518,-1.3880,-11.7475,-22.0606,47.1230,56.2789
5.8179,-1.6220,-11.3793,-48.9483,36.6453,44.8646
5.8783,-1.8591,-10.9101,-65.6737,31.4226,18.5747
5.9830,-1.3311,-10.4612,-71.3592,33.8544,-5.3309
6.3906,-1.0518,-10.8444,-91.5342,27.3197,-22.8929
7.3481,-1.2260,-9.8040,-110.8150,11.1058,-33.0417
7.3401,-1.0503,-8.5717,-119.3296,9.7123,-50.1035
6.8672,-0.3523,-6.7299,-109.2301,21.0435,-67.5134
7.1862,1.1587,-5.8905,-77.5627,32.0007,-86.3684
7.7914,1.3565,-6.7495,-53.7512,24.1375,-122.4890
7.6490,1.0895,-7.5753,-49.2504,16.4990,-153.5515
4.9586,1.7497,-5.9070,-46.9538,20.2035,-145.8064
4.3925,2.7327,-4.4105,-29.1387,-1.7568,-133.1149
5.6540,3.1297,-3.3828,7.3267,-1.3485,-140.1616
5.1359,3.0167,-3.9940,51.0444,12.9336,-160.3303
2.9531,2.6836,-4.5599,81.1256,-11.0981,-162.8760
2.4246,2.0872,-3.7967,114.3370,-26.3920,-153.4783
2.6552,1.3081,-3.3230,158.8673,26.1925,-153.8275
1.1880,0.8627,-3.1864,195.4676,53.8589,-142.2493
0.5351,-0.1444,-4.9243,228.0276,7.2930,-112.0587
0.4511,-1.8648,-5.6879,239.8869,-34.7535,-97.2223
0.2044,-3.3360,-5.6805,258.7673,-33.5283,-87.0201
-0.2712,-5.0451,-6.8388,275.8050,0.8883,-64.4999
-0.6362,-6.1516,-7.6166,277.9478,21.8738,-46.8148
-2.0061,-7.1394,-7.0328,287.1878,71.7815,-14.0680
-3.2917,-8.2182,-8.5064,264.6062,52.9473,20.4992
-2.7169,-9.7568,-9.8073,259.0774,62.6920,85.9685
-0.8745,-11.2680,-11.9069,198.8399,107.4948,142.3222
1.0255,-11.4198,-11.2727,138.2878,129.1989,154.2077
0.6174,-10.8232,-7.9545,105.7653,156.9698,157.9673
-0.5910,-10.9720,-9.2448,81.6137,187.1968,193.0130
1.7636,-12.4575,-13.4927,-13.3876,134.6954,191.5311
3.3373,-12.7691,-14.0245,-82.4190,118.7370,179.3929
3.9923,-12.5329,-12.7146,-143.2247,107.2875,157.2405
6.8030,-12.4648,-12.6487,-219.8504,56.7064,119.9765
8.7800,-12.9218,-12.0376,-274.3632,-7.6745,65.9521
8.7426,-12.2680,-12.4168,-320.9203,-56.8094,2.1822
7.0881,-11.4633,-8.6604,-360.1395,-77.5818,-36.4255
5.1907,-9.1520,-4.4917,-324.7032,-8.9270,-47.9937
3.8422,-5.3249,-3.3316,-269.1300,34.7854,-59.6774
2.1012,-1.9061,-1.3082,-187.5896,68.9950,-68.7939
0.0772,0.8200,-0.5204,-105.5798,78.8555,-53.3703
-0.8376,2.7144,-1.3826,-28.6096,52.3059,-15.4540
-1.1699,3.3010,-0.9332,32.7839,32.2167,19.6526
-1.3828,2.8890,-1.5008,90.4241,42.0099,49.5952
-3.9254,1.5580,0.5296,157.9087,76.8852,98.4305
-2.8509,0.2994,-0.3914,247.1388,79.3395,152.2120
-3.1869,-3.2356,-2.4896,313.1153,13.6803,202.0186
3.9609,-8.8174,-10.1565,290.0113,-16.3645,206.1992
8.5943,-11.8308,-15.8869,169.6746,50.4134,138.4029
6.6459,-10.3960,-12.8678,75.0100,78.6693,55.9188
3.6173,-8.7158,-13.1131,9.7794,-1.2539,11.0030
5.4003,-9.7762,-15.6715,-74.4656,-59.7339,-7.2899
7.2854,-10.5525,-15.6319,-153.8425,-103.7391,-51.9957
4.1685,-9.3399,-10.7609,-175.0571,-72.5253,-109.6977
1.6807,-6.9759,-8.0188,-161.8342,-38.3995,-100.4134
2.9470,-5.3149,-8.9189,-160.2819,-39.5731,-94.6962
4.8858,-4.7231,-9.4758,-175.9334,-39.7871,-118.1738
5.3864,-4.2370,-7.1387,-164.2902,2.2334,-171.8548
3.5887,-2.8103,-3.7969,-108.0685,24.3478,-213.1919
1.2511,-0.7903,-3.5796,-44.7309,23.0313,-226.3518
-0.0132,-0.1451,-5.1586,-7.6018,-7.0381,-220.9246
-1.8735,-0.1708,-6.4755,22.2603,-1.8482,-193.2236
-2.9219,0.0409,-7.5470,36.2074,-1.7641,-150.5065
-3.7915,-0.2322,-8.1750,43.3583,-28.8318,-101.0138
-3.6563,-1.0555,-8.7966,36.8468,-50.4758,-52.5344
-2.9974,-1.9305,-8.8855,41.3367,-22.4190,-23.0873
-3.6371,-2.3334,-8.8229,50.4148,21.4933,20.5773
-6.1652,-2.7214,-9.9880,52.6360,69.3962,93.7126
-14.1212,-3.0112,-12.1286,-1.9468,25.4451,244.1560
-19.6468,-6.8580,-11.1074,-27.3737,-51.8082,444.7052
-12.5525,-14.3850,-10.3841,-30.5363,-56.3303,640.9979
2.9171,-17.7027,-10.4882,-56.2826,-4.1803,618.2404
19.7828,-15.4035,-12.5380,-89.1180,134.8786,376.2341
13.3769,-9.1983,-7.6482,-101.0026,143.4243,141.9928
4.4484,-4.5192,-6.2588,-61.2232,96.7949,99.8744
6.6474,-3.9801,-6.2448,-3.3319,26.7792,85.3499
9.3059,-4.7799,-9.7172,38.9639,20.5426,6.6128
5.7130,-3.5738,-11.0412,29.4505,24.4677,-35.8428
3.0098,-2.1343,-10.2972,8.5110,-15.9078,-33.0944
2.1820,-2.0169,-8.9667,-6.3956,-53.5102,-9.3253
