ax,ay,az,gx,gy,gz
1.3921,2.2141,-9.5738,-61.5123,-2.9268,-9.2518
1.6162,2.6524,-9.3734,-63.8448,-0.6760,-11.1764
1.7399,3.0862,-8.2591,-61.3168,-8.6315,-13.1223
1.7431,3.4691,-7.9541,-51.5863,-26.4643,-13.5594
1.1392,3.6503,-7.4092,-31.3613,-14.5932,-2.9434
0.9220,3.9298,-6.8379,-6.2862,-3.7163,7.7713
0.4235,3.9546,-6.5876,17.3888,0.7801,21.0121
-0.2618,4.0538,-5.9434,46.1548,20.5242,37.2810
-0.2838,4.0673,-5.2952,84.4907,26.6942,55.5134
0.2924,3.6261,-4.5503,123.1783,24.6814,65.8447
1.1383,2.6869,-3.7957,173.4279,22.6162,67.0472
1.3538,1.2586,-3.6655,216.6451,17.6218,61.0770
1.1687,-0.4652,-3.4840,256.1369,4.9712,63.0006
0.8444,-2.3872,-4.2244,302.9553,11.8655,81.5103
0.3926,-4.8117,-5.0204,332.5001,27.2952,103.4161
0.7632,-6.7359,-7.7259,335.7838,37.3121,111.4156
2.5243,-8.8501,-11.4850,298.2300,14.1966,124.7983
4.6716,-10.5759,-13.6002,234.5228,-7.4344,99.1865
4.9323,-11.9109,-15.1277,170.7356,9.9220,69.6922
6.1051,-12.2894,-17.3404,74.2941,-8.0394,28.1582
5.3269,-11.9184,-16.2038,-7.1538,-15.6075,-7.8399
4.3632,-10.9870,-14.3425,-82.6361,-42.1372,-32.7001
3.6398,-10.1122,-11.8413,-135.7244,-64.7474,-47.1015
3.9541,-9.3780,-10.6847,-174.9712,-79.0543,-59.9546
5.4508,-8.6277,-9.4955,-212.8411,-91.9120,-86.1427
6.4094,-8.1275,-7.6220,-221.7976,-90.7900,-119.3224
6.7937,-7.2657,-5.9342,-202.3907,-54.8129,-170.9631
4.8287,-5.2832,-4.4271,-164.7439,-44.8393,-214.3965
2.3323,-3.7424,-4.3720,-117.5637,-6.8155,-234.9657
-1.7240,-2.1467,-5.5574,-87.1585,-26.3740,-226.1222
-5.2080,-0.7280,-5.6315,-55.7148,-33.9875,-173.2904
-9.1012,0.6087,-6.0845,-27.2297,-47.7223,-80.8708
-13.0246,1.1723,-5.2879,15.1250,-33.1670,70.9234
-14.4905,0.1546,-4.4293,62.8297,-10.9801,200.1478
-12.3883,-2.3337,-4.9463,104.6128,20.5655,323.8482
-6.8406,-6.1101,-6.5265,129.6251,48.2482,384.6999
0.2394,-9.0247,-8.0456,138.2707,112.3691,367.0170
8.6408,-10.5531,-11.1771,118.9508,208.3533,259.6692
9.0992,-9.9741,-11.5097,89.7260,338.9745,142.1023
6.9735,-7.9630,-12.6764,39.6590,386.5636,70.1616
5.2258,-6.3588,-10.9969,-21.3140,229.1941,61.4311
9.7172,-7.6397,-10.5245,-76.1738,71.0295,29.5075
12.0459,-8.2300,-9.9764,-133.1953,-50.6142,-59.1450
10.8488,-7.9000,-10.6977,-155.8413,-104.7046,-122.2784
6.8427,-6.7545,-12.0133,-205.5667,-107.4286,-143.3522
5.1018,-5.4919,-11.8395,-247.3109,-105.3091,-141.9589
4.4869,-2.7563,-6.5059,-279.1779,-107.2898,-145.8722
2.8418,0.3549,-1.9027,-244.8625,-97.0772,-142.0765
-0.8038,3.6502,0.6031,-169.5464,-68.3151,-112.5379
-3.4328,5.7163,0.5974,-70.3723,-53.8364,-43.5480
-3.4819,6.1206,-0.4365,15.1554,-28.8982,3.8381
-1.6659,5.1980,-1.6546,98.2460,11.1601,32.8923
-0.2143,3.9866,-0.3730,168.4811,76.3275,54.1887
0.6370,3.0955,0.1427,245.2762,123.1622,60.2177
0.0969,1.5480,-0.7643,313.3436,79.2918,71.7627
-1.1756,-2.0876,0.9437,377.5169,41.3946,94.2270
-0.8145,-6.1620,-0.4946,434.3243,36.5577,122.6797
1.5537,-9.0914,-6.4294,436.1063,-15.7336,134.0428
5.0691,-11.6862,-12.1246,364.3631,-55.1268,92.1171
5.0386,-13.3209,-13.9297,315.3335,-25.8291,34.7627
2.1623,-12.1473,-15.2040,239.2206,-16.1950,9.2446
0.4992,-11.2798,-13.1897,161.8571,-16.3658,18.5215
0.9439,-11.1882,-11.7514,103.4682,-5.0959,23.0134
1.8528,-11.2065,-10.5193,56.4225,-4.2365,14.9381
2.6351,-10.8335,-8.9860,18.7792,-7.0135,-1.3829
2.1511,-9.9358,-8.0243,-9.2223,-18.4868,-13.3140
1.1373,-8.8266,-5.6563,-20.7852,-18.0785,-11.4439
1.7713,-7.8291,-4.7459,-9.1169,0.3762,-3.5347
2.2655,-7.4870,-4.9973,-1.6081,4.1365,-3.6332
2.5285,-7.4315,-6.0396,1.4217,5.0848,-10.3738
1.6880,-7.4297,-6.7483,-7.5726,-14.9375,-16.2591
-0.0324,-7.2733,-4.5666,-6.7258,-13.5473,-9.5811
-0.2646,-7.0785,-2.7649,20.0379,33.0735,17.9011
1.5016,-7.2200,-5.0361,38.3577,47.3664,22.7244
2.2850,-8.1581,-6.8907,29.9258,25.7415,14.5281
2.6774,-8.6696,-8.2338,9.2902,8.8763,-5.7187
1.5571,-8.4640,-7.6760,-16.6226,-17.8544,-15.0813
1.0681,-8.0566,-6.6934,-31.4006,-24.3176,-13.0322
0.9225,-7.7907,-5.4466,-37.4492,-40.7137,-9.2245
1.2391,-7.5178,-4.2619,-27.0850,-32.5701,-5.1805
1.5928,-7.2479,-4.8883,-14.1102,-12.4707,-5.3417
1.2062,-7.1779,-5.6130,-9.3692,-6.4122,-6.1645
0.8910,-7.0982,-4.9678,-0.6970,2.5314,1.6848
1.4485,-7.1357,-5.9501,-1.2083,-10.8957,3.2485
1.6501,-7.4013,-6.3640,-2.8448,-18.8935,0.0774
1.5172,-7.5559,-6.2982,-5.2240,-17.8188,-6.2000
1.2107,-7.4619,-6.4708,-6.0442,-12.5020,-8.7398
0.7919,-7.3956,-6.5107,-8.6887,-11.8196,-5.3249
1.3630,-7.4874,-6.7887,-14.5457,-4.1300,-4.8091
1.7832,-7.4115,-6.8763,-18.6464,-14.0520,-9.2822
1.2618,-7.3497,-6.6374,-26.5580,-38.9473,-9.4604
