ax,ay,az,gx,gy,gz
1.2029,3.0875,-8.6045,-51.5264,0.7025,3.4516
1.1692,3.1527,-8.4200,-47.4801,11.8529,-5.5318
0.9858,3.4206,-7.7213,-40.1801,20.0829,-7.6310
0.7716,3.7463,-7.3137,-28.8460,19.5220,-12.8918
-0.0571,4.0862,-8.6527,-20.2058,15.8006,-5.7967
0.3048,3.9333,-8.6841,-21.3621,6.7333,6.7625
1.4631,3.8638,-8.3163,-21.6114,14.3790,-2.1071
0.6273,4.1733,-7.8213,-22.0478,8.5700,-2.5172
0.3898,4.2618,-7.1863,-16.1100,18.3130,-0.0250
0.8255,4.4325,-7.3947,-9.1112,23.2434,2.6946
1.0363,4.5090,-7.0339,-6.4950,20.0209,2.0908
1.1173,4.7009,-6.0864,5.1250,23.7964,0.7126
1.1236,4.7916,-6.3030,18.1360,22.6855,0.4171
0.5815,4.8133,-6.3603,24.6616,20.3047,4.7672
0.5762,4.9430,-5.7694,32.5686,23.8251,15.1805
1.2800,4.8879,-4.9176,51.9417,25.6894,16.7528
1.0414,4.7681,-5.5065,71.4093,28.0750,13.6694
0.5085,4.2680,-6.1270,96.6044,18.0657,18.9754
0.6018,3.5215,-6.5900,109.5374,14.3782,27.4510
0.8839,2.9248,-7.7395,110.7635,2.4161,35.9232
1.8318,2.0218,-8.3726,101.0938,-4.5351,41.8652
2.9437,1.2879,-8.5468,87.8895,1.4237,36.6007
3.1182,1.0132,-8.6362,75.3019,16.9869,24.3905
2.1531,1.0595,-8.8966,66.3737,5.7723,19.9537
1.3744,0.7667,-8.9685,60.9668,-4.5906,24.9320
2.2949,0.1459,-9.6598,52.4933,-0.5372,24.6790
2.5978,-0.1731,-9.8974,46.1293,2.7194,15.3058
2.0008,-0.1300,-9.2024,46.4632,-1.7591,14.4845
1.4492,-0.1100,-8.4274,53.5926,-2.1080,22.3766
2.0452,-0.5602,-9.0901,64.8167,-6.5459,26.0225
2.8846,-1.3128,-10.1087,68.6083,-14.7604,17.1469
2.4636,-1.8715,-10.3325,65.7756,-18.9139,8.5999
1.4979,-1.8893,-9.7963,74.2162,-6.4891,8.9503
1.4796,-1.8733,-9.6924,83.1380,7.3477,20.3010
2.4233,-1.9908,-9.3888,99.2902,3.8758,18.8745
3.1070,-2.2479,-9.3315,131.0478,-8.5906,5.2832
1.9528,-3.3271,-11.1384,147.3506,-37.9966,-4.6344
0.8509,-4.5143,-11.1975,147.1779,-59.3909,2.7151
0.5767,-5.7272,-11.6446,145.5497,-22.8051,9.4327
1.6375,-7.0915,-12.2892,120.7933,-11.0720,14.0443
3.3160,-8.0724,-12.1164,90.6278,18.4215,1.3382
3.8426,-7.9584,-11.7134,61.0918,40.6093,-16.3196
2.8880,-6.7864,-10.8586,35.5995,39.2799,-22.5024
1.7273,-5.5132,-10.1669,17.8277,4.7376,-6.5439
2.9396,-5.6982,-8.9437,9.4921,-55.1583,-1.0372
3.3557,-6.6247,-9.4454,7.4399,-46.5362,-16.0846
1.9336,-6.6130,-10.4057,-7.2854,-13.4335,-31.7236
-0.5658,-5.4558,-8.9235,-17.3171,11.3283,-30.7389
-1.7130,-4.2144,-7.3511,-16.0822,18.4833,-3.4568
0.0782,-3.6686,-6.9272,-8.0464,24.4069,21.5602
2.7877,-3.8923,-7.5481,-3.8375,9.8204,15.2028
3.4537,-4.0966,-8.0602,-2.4157,7.6414,-10.3394
1.6902,-3.6073,-7.7626,-1.5128,12.5486,-21.1346
0.2364,-3.0525,-7.3301,2.4711,12.9417,-13.6284
0.2919,-3.0133,-7.5585,6.6695,14.2782,-1.4536
2.0342,-3.9284,-7.2547,10.5316,10.3845,1.3254
2.8572,-4.5086,-7.5343,19.0227,18.0656,-5.7034
2.2913,-4.6530,-8.2103,19.9145,7.5080,-1.7986
2.1555,-5.1196,-8.5571,14.1157,-12.0345,4.7285
2.5654,-5.9479,-8.6720,5.9078,-21.3276,1.8885
2.6017,-6.0584,-8.7091,3.9907,-11.8329,-5.3951
2.2300,-5.7682,-8.4271,4.6187,-2.1965,-8.8410
1.4828,-5.3703,-8.6635,1.4968,-4.4737,-5.8288
1.6753,-5.2264,-8.7345,-2.0635,-2.0923,-0.2890
2.3513,-5.1230,-8.7513,-7.0205,0.9626,0.5665
2.7528,-4.9868,-8.4727,-12.2382,-3.8490,-4.6567
2.4400,-4.7943,-8.2465,-13.0499,-6.0585,-11.8348
1.4827,-4.4238,-8.1508,-12.4034,-8.0756,-12.0777
0.9809,-4.1899,-8.1848,-10.7553,-10.8592,-4.1662
1.3949,-4.3447,-7.9677,-7.5285,-13.7369,2.0163
1.7527,-4.6397,-8.2012,-7.8041,-17.5794,2.9168
1.8749,-4.7224,-8.0982,-5.2163,-10.9316,1.2519
1.6671,-4.7093,-8.3482,-3.6808,-5.6312,3.3291
2.2068,-4.9836,-9.1220,-9.3499,-0.4454,2.3854
2.0037,-5.0725,-9.1273,-18.4336,2.6295,-2.8371
1.3582,-4.6094,-8.4782,-20.9520,7.6884,-0.5317
1.4701,-4.0794,-8.0154,-13.3137,10.4178,6.2020
1.8979,-4.0097,-8.1971,-10.3588,-1.3935,6.6475
1.7857,-4.1260,-8.2090,-7.3286,-14.8177,7.3305
1.8823,-4.2126,-8.1647,-3.9734,-15.2698,6.9700
1.6787,-4.2068,-8.3488,0.1855,-12.4994,6.8687
1.6005,-4.2246,-8.3673,0.8287,-16.6655,5.8590
1.5291,-4.2259,-7.9309,6.3532,-11.3266,5.1201
1.6131,-4.3014,-8.1779,10.9958,-9.3710,4.1096
1.6033,-4.5129,-8.5615,11.2836,-15.1679,3.5811
1.4092,-4.7354,-9.1838,7.3098,-12.1216,-0.0432
0.8882,-4.6655,-8.9905,3.5370,-2.0585,-0.9373
0.8279,-4.4503,-8.4929,2.2887,-3.4916,4.3126
1.2246,-4.4685,-8.2978,4.7002,-5.1155,6.6543
1.6446,-4.6716,-8.3729,6.2498,-5.2137,2.4019
1.5351,-4.8014,-8.6449,6.1920,-1.7124,-2.5355
0.8086,-4.6744,-8.9807,2.8815,1.7460,-3.6571
0.6291,-4.5029,-8.5985,0.1734,4.0493,1.0387
