ax,ay,az,gx,gy,gz
-0.5010,3.3680,-7.4580,60.8097,-19.7106,18.5153
0.6987,2.9877,-6.2724,83.3251,-12.4539,27.4787
1.4555,2.2110,-4.6193,136.4548,53.5709,26.2402
0.8692,1.7983,-7.3213,169.7329,47.3454,29.7515
0.2238,0.3777,-10.0533,164.0074,-21.5989,41.8120
1.2407,-1.1269,-10.3277,148.1998,-36.9345,36.6217
2.3282,-1.7601,-9.1691,148.1480,-9.9503,24.5675
1.5391,-1.5049,-7.6160,160.2660,-0.9838,20.6142
-0.3914,-1.5763,-7.4792,173.9387,-24.5594,28.4824
-0.4737,-3.0540,-9.1796,178.4094,-41.7793,54.5836
1.9313,-4.8926,-10.4383,159.9152,-19.3803,46.4239
2.8854,-5.5608,-9.8643,148.8475,7.4448,16.2869
1.2998,-5.0515,-8.5207,154.9808,26.6321,1.3876
-0.5500,-4.8056,-7.2485,158.8120,2.7398,19.9472
0.9991,-6.4021,-7.8718,155.1101,-21.1812,35.4243
2.8861,-7.5992,-9.0247,141.6672,-31.1626,18.9490
1.8044,-7.6635,-8.5901,139.4795,-32.3102,-12.5157
-1.3260,-6.9024,-7.6824,137.0917,-11.9880,-7.6281
-2.1883,-6.5967,-6.9121,134.6243,-17.3050,22.4293
0.9379,-8.1953,-6.7612,130.3129,-44.2457,34.9367
3.7839,-10.0099,-8.6461,107.8607,-40.7191,0.4206
1.6688,-9.9367,-8.8458,91.0455,-13.1842,-38.2222
-1.1956,-9.0315,-8.0780,62.5646,-15.1256,-38.3402
-1.0155,-8.7088,-6.2684,52.0332,-15.6031,-23.3825
1.2518,-9.1222,-5.1018,53.7014,-21.4830,-27.6308
3.8050,-9.9984,-5.4213,52.2156,-37.9421,-78.2549
2.9220,-9.9724,-6.0499,41.8883,-56.5031,-120.6938
0.0436,-9.0371,-6.7293,20.7514,-62.2024,-134.0393
-2.8017,-8.2356,-7.4290,0.6664,-70.0758,-114.0605
-3.2855,-7.8331,-6.7968,-14.9961,-80.1629,-75.5962
-1.5647,-7.9439,-6.2571,-25.0213,-76.8005,-52.3679
1.0218,-8.7890,-8.0191,-41.4860,-78.3287,-59.6898
2.3823,-9.8024,-10.2733,-81.7976,-76.1129,-85.1943
1.1227,-10.1624,-9.0120,-119.7961,-69.4570,-95.5530
-0.4850,-9.2164,-5.8102,-116.3280,-49.8652,-59.2969
-0.2228,-9.1340,-8.9132,-131.5122,-51.3424,-29.0656
0.8065,-10.4756,-11.3494,-186.2346,-44.9336,-21.0410
0.6801,-10.8135,-6.6249,-211.7591,-23.6700,-17.9324
0.8142,-8.9482,-3.9095,-183.3497,-17.3590,0.7115
1.1269,-7.1859,-7.3242,-150.8455,12.7589,7.4975
0.9920,-6.8507,-12.2415,-181.9150,9.6535,8.9331
2.2782,-7.3282,-11.4347,-231.1986,-48.2288,6.4275
3.6573,-6.7027,-9.1398,-236.7727,-64.9795,-0.9759
2.6702,-4.6529,-7.5582,-233.0477,-70.6328,-11.4661
-0.5896,-1.9500,-6.7532,-220.6493,-20.9138,9.5223
-1.4228,-0.1541,-6.4069,-202.4817,31.1119,34.5639
1.8534,0.8774,-7.3266,-193.5671,21.8029,33.6113
3.6813,1.1293,-6.4334,-178.8088,-59.3688,16.1624
3.7085,1.8981,-5.9195,-148.8280,-60.3501,-18.7244
2.4053,2.5440,-5.3173,-113.3806,-46.1153,-44.4489
1.5900,2.9220,-6.2361,-81.5743,-18.1552,-70.4477
1.7007,3.2626,-5.7257,-39.8370,27.3625,-100.1382
1.4278,3.5537,-5.8828,-5.8653,49.8146,-138.8841
-0.3953,3.5946,-6.8617,22.5719,32.2370,-156.6610
-4.9300,3.0893,-8.7409,20.6523,-3.1646,-113.4517
-7.6391,2.8076,-9.6845,8.0028,-31.6650,-41.7199
-9.9907,2.9462,-9.2330,0.1880,-33.8167,32.0881
-19.9541,3.7967,-10.1195,-11.7303,-79.6446,181.8719
-30.1539,-0.7433,-11.8063,-24.9021,-262.8458,476.7806
-28.7922,-13.1854,-11.9416,-5.8236,-386.4010,744.0832
-5.5673,-22.4783,-16.9198,15.4655,-226.4243,801.1265
16.6721,-13.4684,-14.5957,-76.6708,-50.4896,589.1439
19.5619,4.0399,2.3819,28.7077,-11.2975,292.3312
11.8252,3.9840,-6.6017,172.2129,-47.3346,108.4403
1.6728,-2.4496,-15.9708,115.2175,-107.9517,24.2719
-2.4762,-1.4594,-13.7887,56.3347,19.2404,47.8506
3.3706,0.6750,-12.5776,9.9775,34.2336,49.6456
5.1581,1.8470,-9.1797,8.3496,43.5711,19.0018
3.4575,2.1318,-10.0089,21.1049,20.5645,-0.6090
1.9568,1.2452,-11.4857,14.1679,-14.4683,-0.7831
1.2502,1.3794,-11.6353,2.3881,-2.9079,4.6690
1.3897,2.2339,-10.4846,-7.5674,19.7733,1.0640
1.0850,3.0032,-9.4707,-10.3906,26.6483,-9.2636
0.4624,3.3352,-9.1825,-1.6934,22.8508,-10.5910
-0.0965,2.9458,-9.6153,1.8092,22.8150,-10.1919
-0.2152,3.0156,-9.8855,-4.7631,12.7696,-3.3738
0.2765,3.2653,-9.3908,-7.6732,11.8916,-0.1130
0.7545,3.6326,-8.9547,-8.1988,6.4002,-1.9345
0.7257,3.6807,-8.7611,-1.5379,2.9087,-4.3030
0.5817,3.4953,-9.2661,0.9017,-4.9292,-5.3719
0.0633,3.3178,-9.7321,-3.6490,-2.5264,-4.3220
-0.0766,3.5267,-9.1857,-8.0728,-8.4405,1.3642
0.3662,3.7798,-8.0029,-4.7331,-6.1573,0.4235
0.3579,3.8834,-8.6215,1.4005,-12.1190,-1.8054
0.3604,3.5760,-9.5506,-0.7109,-34.3849,0.2160
-0.0132,3.4969,-9.1999,-8.1261,-43.3285,1.2311
-0.0523,3.7852,-8.5071,-5.2180,-34.7485,5.3018
-0.2178,3.9893,-8.6089,-0.2254,-50.7226,4.5612
0.6414,3.7391,-8.2114,25.7011,-79.6276,-6.1440
0.0122,3.3514,-8.8774,17.3454,-45.4403,1.1451
-0.0134,3.1885,-9.6754,9.8060,-32.2590,5.4362
0.1233,3.1756,-9.4224,3.7294,-28.9953,4.2353
