ax,ay,az,gx,gy,gz
-6.7707,1.0809,-7.0777,0.0921,-0.0813,-0.4638
-6.7665,1.0720,-7.0922,-0.1357,-0.3868,-0.3882
-6.7533,1.0857,-7.0547,0.1952,-0.1711,-0.4424
-6.7452,1.0826,-7.0744,0.2425,-0.0432,-0.4218
-6.7679,1.1044,-7.0764,0.1771,0.0499,-0.4558
-6.7654,1.1101,-7.1032,-0.0597,-0.3767,-0.4693
-6.7702,1.0980,-7.1109,-0.1118,-0.2514,-0.5168
-6.7519,1.0961,-7.0679,0.3311,0.2621,-0.5779
-6.7533,1.0838,-7.0450,0.3388,-0.0394,-0.6021
-6.7855,1.0933,-7.0878,0.0468,-0.4965,-0.4854
-6.7811,1.1115,-7.0933,-0.0273,-0.0040,-0.4389
-6.7851,1.0928,-7.0580,0.2383,-0.2717,-0.4204
-6.7636,1.0883,-7.0325,0.3018,-0.1675,-0.4974
-6.7695,1.0720,-7.0367,-0.0522,0.0004,-0.6544
-6.7631,1.0714,-7.0355,0.0176,-0.1013,-0.5062
-6.7635,1.0884,-7.0869,0.0454,-0.2261,-0.5315
-6.7810,1.0865,-7.0670,0.3094,-0.1072,-0.4572
-6.7908,1.0973,-7.0648,0.4144,0.0666,-0.5120
-6.7659,1.1073,-7.0006,0.2033,-0.2436,-0.4917
-6.7905,1.0912,-7.0586,-0.1336,0.0966,-0.4414
-6.7600,1.0934,-7.0068,0.1960,0.0634,-0.4636
-6.7536,1.0827,-7.0927,0.3693,-0.3292,-0.4724
-6.7597,1.0987,-7.0290,0.1432,0.1468,-0.5602
-6.7708,1.0819,-7.0584,-0.1575,-0.4224,-0.5108
-6.7723,1.1012,-7.0297,-0.1928,0.1519,-0.5755
-6.7700,1.0858,-7.0212,-0.3333,-0.4626,-0.5169
-6.7720,1.0740,-7.0322,0.0322,0.1359,-0.5357
-6.7613,1.0923,-7.0078,0.3463,0.3319,-0.5011
-6.7772,1.0794,-7.0442,0.0497,0.0727,-0.4030
-6.7835,1.0743,-7.0183,0.2689,0.0117,-0.5747
-6.7630,1.0982,-7.0455,0.3140,0.1560,-0.6009
-6.7634,1.0846,-7.0620,0.3741,0.0027,-0.6113
-6.7608,1.0850,-7.0225,0.3980,0.0260,-0.6576
-6.7799,1.0880,-7.0616,-0.0140,-0.1755,-0.5074
-6.7558,1.0806,-7.0656,0.2857,0.1237,-0.5320
-6.7462,1.0892,-7.0614,-0.1429,-0.3052,-0.4575
-6.7568,1.0695,-7.0799,-0.0606,0.0299,-0.4699
-6.7696,1.0963,-7.0613,0.0565,-0.1739,-0.4328
-6.7603,1.0868,-7.0741,0.3138,0.1243,-0.5444
-6.7710,1.0772,-7.0533,0.4161,0.1165,-0.5467
-6.7667,1.0821,-7.0680,0.4147,-0.1816,-0.5476
-6.7534,1.1013,-7.0192,0.5406,0.2056,-0.5901
-6.7539,1.1032,-7.0228,0.5064,-0.1462,-0.5649
-6.7886,1.0953,-7.0818,-0.0130,-0.1175,-0.5127
-6.7794,1.1008,-7.0333,0.2861,0.1468,-0.5341
-6.7815,1.0914,-7.0831,0.3630,-0.0431,-0.6269
-6.7795,1.1079,-7.0857,0.0986,0.1764,-0.5374
-6.7902,1.0856,-7.0896,0.2462,-0.1156,-0.6282
-6.7772,1.0883,-7.0392,0.1785,0.3161,-0.6643
-6.7864,1.0893,-7.0163,0.2359,0.0664,-0.6366
-6.7814,1.1099,-7.0188,-0.0363,0.0092,-0.5412
-6.7794,1.1037,-7.0629,-0.1446,-0.1822,-0.5454
-6.7642,1.1012,-7.0661,-0.1877,-0.0054,-0.4628
-6.7812,1.0916,-7.0760,-0.2049,0.0649,-0.4299
-6.7765,1.1051,-7.0511,-0.2538,0.0929,-0.4590
-6.7717,1.1047,-7.0528,0.2325,0.0619,-0.6391
-6.7727,1.1074,-7.0707,0.0045,0.0917,-0.5844
-6.7673,1.1085,-7.0634,0.2931,0.0193,-0.5626
-6.7681,1.0974,-7.0778,0.3658,0.1590,-0.6804
-6.7683,1.1016,-7.0403,-0.0689,0.0461,-0.5586
-6.7713,1.0860,-7.0456,0.2639,0.0433,-0.4259
-6.7553,1.0798,-7.0707,0.3541,-0.1265,-0.4574
-6.7661,1.0917,-7.0577,-0.0314,-0.2361,-0.5964
-6.7647,1.0878,-7.0496,0.0681,-0.1955,-0.6517
-6.7843,1.0719,-7.0435,0.0233,0.0736,-0.5894
-6.7662,1.0943,-7.0267,-0.1209,-0.0301,-0.6489
-6.7791,1.0946,-7.0315,-0.1361,0.1394,-0.5883
-6.7728,1.0948,-7.0046,0.2793,0.0382,-0.6484
-6.7846,1.1034,-7.0602,-0.1033,-0.0442,-0.5459
-6.7865,1.1011,-7.0708,-0.2556,-0.1191,-0.4630
-6.7728,1.0887,-7.0894,0.1053,-0.1068,-0.4300
-6.7760,1.0866,-7.0334,0.0382,0.1089,-0.5433
-6.7686,1.1060,-7.0688,-0.0307,0.0683,-0.4620
-6.7599,1.0993,-7.0483,0.4477,0.3471,-0.4296
-6.7738,1.0937,-7.0286,0.6380,-0.0898,-0.3746
-6.7706,1.0800,-7.0784,0.0815,-0.1373,-0.4791
-6.7521,1.1091,-7.0723,-0.1820,-0.0718,-0.4786
-6.7591,1.0919,-7.0900,0.0503,-0.0458,-0.3519
-6.7475,1.1052,-7.0423,0.0584,-0.1197,-0.4279
-6.7544,1.0759,-7.0579,0.3145,0.0194,-0.4582
-6.7600,1.0873,-7.0497,0.5429,-0.1359,-0.5124
-6.7594,1.0947,-7.0637,0.4652,-0.4506,-0.4918
-6.7966,1.0833,-7.0866,0.0128,0.0142,-0.6101
-6.7912,1.0902,-7.0554,0.1699,-0.0116,-0.6150
-6.7949,1.1103,-7.1034,-0.1047,-0.1904,-0.5326
-6.7790,1.0981,-7.0304,0.3339,0.1599,-0.6263
-6.7871,1.0875,-7.0704,0.4242,-0.1222,-0.6214
-6.7673,1.1150,-7.0143,0.0807,0.1870,-0.5352
-6.7652,1.1028,-7.0641,0.1127,0.0572,-0.5430
-6.7989,1.0980,-7.0579,0.2097,0.3006,-0.6304
-6.7806,1.0903,-7.0526,0.2904,0.0181,-0.5388
-6.7791,1.1190,-7.0562,0.1118,0.4536,-0.5444
-6.7785,1.1016,-7.0519,-0.0435,-0.5533,-0.4624
